trade_sequence,split,expected_entry_timestamp,actual_entry_time,expected_actual_entry_delay_minutes,actual_exit_time,actual_entry_month,actual_entry_hour,entry_weekday,actual_side,expected_side,p_short,p_flat,p_long,long_margin,entry_score,exit_score,threshold,actual_net_profit_after_cost,expected_net_profit,net_profit_gap_actual_minus_expected,actual_profit_before_swap,actual_swap,actual_hold_m5_calendar,expected_held_m5,closed_balance_drawdown_percent,drawdown_increment_percent,tail_loss_ge_10,tail_loss_ge_20,tail_gain_ge_20,tail_hold_gt_12_m5,tail_hold_gt_96_m5,swap_drag_trade,drawdown_after_ge_10pct,drawdown_after_ge_20pct,drawdown_increment_positive,avoid_candidate_label,rescue_candidate_label,join_method(결합 방법),claim_boundary(주장 경계),log_return_1,log_return_3,hl_range,close_open_ratio,gap_percent,close_prev_close_ratio,return_zscore_20,hl_zscore_50,overnight_return,return_1_over_atr_14,close_ema20_ratio,close_ema50_ratio,ema9_ema20_diff,ema20_ema50_diff,ema50_ema200_diff,ema20_ema50_spread_zscore_50,sma50_sma200_ratio,rsi_14,rsi_50,rsi_14_slope_3,rsi_14_minus_50,stoch_kd_diff,stochrsi_kd_diff,ppo_hist_12_26_9,roc_12,trix_15,atr_14,atr_50,atr_14_over_atr_50,bollinger_width_20,bb_position_20,bb_squeeze,historical_vol_20,historical_vol_5_over_20,adx_14,di_spread_14,supertrend_10_3,vortex_indicator,is_us_cash_open,minutes_from_cash_open,is_first_30m_after_open,is_last_30m_before_cash_close,vix_change_1,vix_zscore_20,us10yr_change_1,us10yr_zscore_20,usdx_change_1,usdx_zscore_20,nvda_xnas_log_return_1,aapl_xnas_log_return_1,msft_xnas_log_return_1,amzn_xnas_log_return_1,mega8_equal_return_1,top3_weighted_return_1,mega8_pos_breadth_1,mega8_dispersion_5,us100_minus_mega8_equal_return_1,us100_minus_top3_weighted_return_1
1,validation,2025-01-02 16:55:00+00:00,2025-01-02 17:00:00,5.0,2025-01-02 17:40:00,2025-01,17,3,long,long,0.382710188627,0.204135432839,0.41315433383,0.030444145203,0.030444145203,0.004977762699,-0.000562137088,-13.78,-11.75,-2.0299999999999994,-13.78,0.0,8,8,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,sequence_order_expected_trade_to_mt5_closed_trade_plus_entry_timestamp_probability_feature,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.003692580853,0.009738569148,0.004307245836,1.003663659096,3.5630605e-05,1.003699421883,1.92502617836,2.507328748703,0.006326620001,1.703329324722,1.001281142235,0.999716639519,-36.824878692627,-33.020606994629,17.213441848755,-2.70491194725,1.00304543972,51.56156539917,49.773017883301,12.66605091095,1.561566710472,20.956954956055,28.968418121338,-0.033209942281,-0.002250312129,-0.000208613361,45.885471343994,28.330001831055,1.619677782059,0.01442909427,0.52944535017,0.0,0.533972263336,1.861026287079,34.130207061768,-6.12632894516,-1.0,-0.321809321642,1.0,25.0,1.0,0.0,-0.005780346692,0.374634325504,0.000459221163,-0.6823117733,4.5989276e-05,2.109822511673,0.006296235602,0.002275406383,0.001885858946,0.005072165746,0.003525168868,0.002747213468,1.0,0.019137665629,0.000174238085,0.000952193397
2,validation,2025-01-02 17:40:00+00:00,2025-01-02 17:45:00,5.0,2025-01-02 18:30:00,2025-01,17,3,long,long,0.37793520093,0.226209357381,0.395855605602,0.017920404673,0.017920404673,0.02294549346,-0.000562137088,5.07,3.025,2.0450000000000004,5.07,0.0,9,8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,sequence_order_expected_trade_to_mt5_closed_trade_plus_entry_timestamp_probability_feature,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,-0.000452247652,-0.000785351964,0.003220255487,0.999529778957,1.8085817e-05,0.999547839165,-0.029621722177,1.100579857826,0.006326620001,-0.17436003685,0.996067404747,0.994481801987,-27.677875518799,-33.617122650146,4.451697826385,-1.789666056633,1.00236415863,37.738945007324,43.300605773926,-0.228375419974,-12.26105594635,-5.113522052765,-2.643394708633,-0.032330103219,0.003775850171,-0.000162199736,54.460327148438,33.908176422119,1.606112003326,0.013057330623,0.224744796753,0.0,0.610203504562,0.793362855911,26.66756439209,-17.733491897583,-1.0,-0.176025748253,1.0,70.0,0.0,0.0,0.002873563208,1.403252005577,0.000183637865,-0.392397671938,-0.000688711531,1.432526707649,-0.000292184064,-0.000896897633,-0.001422913861,-0.000763993477,-0.000467387959,-0.001070386264,0.125,0.002342514927,1.5242556e-05,0.000618240854
3,validation,2025-01-02 18:30:00+00:00,2025-01-02 18:35:00,5.0,2025-01-02 19:15:00,2025-01,18,3,long,long,0.3680947721,0.260950386524,0.370954930782,0.002860158682,0.002860158682,0.011874973774,-0.000562137088,3.02,-0.662,3.682,3.02,0.0,8,8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,sequence_order_expected_trade_to_mt5_closed_trade_plus_entry_timestamp_probability_feature,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.000261446374,0.002063957741,0.00157465192,1.000243902206,1.759051e-05,1.000261425972,0.150005683303,-0.426173955202,0.006326620001,0.093683220446,0.999993979931,0.997924566269,-18.908864974976,-43.629985809326,-20.59065246582,-1.349332690239,1.000706195831,48.199111938477,46.828056335449,1.876354932785,-1.800889611244,10.23653793335,24.38507270813,0.018781753257,0.000130723187,-0.000215195192,58.723834991455,39.441715240479,1.488876223564,0.01243798621,0.449744820595,0.0,0.511141836643,0.173286244273,24.671987533569,-4.684640884399,-1.0,-0.23180423677,1.0,120.0,0.0,0.0,0.002881844295,0.479884147644,-0.000183840428,-1.555889725685,0.000229086683,1.430219650269,0.000362673629,0.0,-0.000403287995,-0.001210355433,0.000295099104,-0.000150295615,0.375,0.002687548753,-3.3618551e-05,0.000411776156
4,validation,2025-01-02 19:15:00+00:00,2025-01-02 19:20:00,5.0,2025-01-02 20:00:00,2025-01,19,3,long,long,0.36570340395,0.260045796633,0.374250859022,0.008547455072,0.008547455072,-0.065141439438,-0.000562137088,-22.28,-28.513,6.2330000000000005,-22.28,0.0,8,8,4.507292994274854,4.507292994274854,1,1,0,0,0,0,0,0,1,1,0,sequence_order_expected_trade_to_mt5_closed_trade_plus_entry_timestamp_probability_feature,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.001792864641,0.000545830291,0.002579886466,1.001842141151,-4.7535701e-05,1.001794457436,1.086868405342,0.145741388202,0.006326620001,0.719823300838,1.001052737236,0.999913930893,4.292675971985,-23.976289749146,-23.749881744385,-0.268991172314,0.999237418175,52.510959625244,48.963813781738,0.429595112801,2.510959386826,0.236800372601,-0.725413382053,0.0384843871,0.003733058227,-8.1337283e-05,52.537536621094,40.404396057129,1.300292491913,0.006797846407,0.788996875286,0.0,0.406917184591,1.031133294106,14.943484306335,0.525145530701,-1.0,0.233451008797,1.0,165.0,0.0,0.0,-0.00579710165,-1.366319894791,0.0,-1.351242184639,4.5842538e-05,-0.047211445868,0.002093636896,0.00200118497,0.000997435302,0.00210644328,0.002183966804,0.001493139542,1.0,0.001071573584,-0.000389494147,0.000301333203
5,validation,2025-01-02 20:45:00+00:00,2025-01-02 20:50:00,5.0,2025-01-02 21:30:00,2025-01,20,3,long,long,0.365793138742,0.266421675682,0.367785185575,0.001992046833,0.001992046833,-0.007684528828,-0.000562137088,8.58,4.225,4.355,8.58,0.0,8,8,2.7715401266411743,-1.7357528676336798,0,0,0,0,0,0,0,0,0,0,0,sequence_order_expected_trade_to_mt5_closed_trade_plus_entry_timestamp_probability_feature,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.002122731879,0.0,0.003183363704,1.002191066742,-6.5969441e-05,1.002125024796,1.293112635612,0.252228409052,0.006326620001,0.753598630428,0.998463392258,0.993789553642,-47.923839569092,-98.027206420898,-112.723526000977,-1.951750993729,0.994500279427,43.45728302002,42.458911895752,1.015362739563,-6.542715549469,8.490087509155,5.371336936951,0.015879033133,0.000721281453,-0.000455938076,58.683460235596,46.867126464844,1.252124190331,0.019572561607,0.413580417633,0.0,0.576570630074,0.838272094727,39.801902770996,-15.075233459473,-1.0,-0.212768450379,1.0,255.0,0.0,0.0,-0.004904631991,0.887167155743,0.0,0.837292850018,-0.000348163885,0.130676478148,0.00382184796,0.000701074314,0.001561505604,0.002142939484,0.002119600074,0.001673124963,1.0,0.001229665941,5.386615e-06,0.00045186159
6,validation,2025-01-03 16:35:00+00:00,2025-01-03 16:40:00,5.0,2025-01-03 17:20:00,2025-01,16,4,long,long,0.362052798271,0.26515007019,0.372797101736,0.010744303465,0.010744303465,0.020393580198,-0.000562137088,-9.02,1.475,-10.495,-9.02,0.0,8,8,4.59630596184581,1.8247658352046359,0,0,0,0,0,0,0,0,1,1,0,sequence_order_expected_trade_to_mt5_closed_trade_plus_entry_timestamp_probability_feature,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.001809096662,0.002468972933,0.0039896979,1.001798868179,1.1881457e-05,1.001810789108,2.539840698242,6.24791765213,0.005993955769,1.847927212715,1.003190040588,1.003722786903,15.355993270874,11.152013778687,8.641800880432,2.553569793701,1.000667929649,74.32088470459,60.177558898926,4.059588909149,24.32088470459,-2.78186750412,3.772159814835,0.033543806523,0.002877422608,4.2019627e-05,20.655029296875,15.499844551086,1.332595825195,0.004213104956,1.292345523834,0.0,0.169139504433,1.041351795197,22.78332901001,34.481616973877,-1.0,0.457992315292,1.0,5.0,1.0,0.0,-0.005727376789,-2.906061887741,0.0,-1.741684675217,-0.000156176786,0.791006624699,0.019330499694,-0.005305924919,0.007284359075,0.015727775171,0.011754917912,0.005432886537,0.875,0.008010433055,-0.009944184683,-0.003622152377
7,validation,2025-01-03 17:20:00+00:00,2025-01-03 17:25:00,5.0,2025-01-03 18:05:00,2025-01,17,4,long,long,0.371211946011,0.238994091749,0.389793932438,0.018581986427,0.018581986427,0.02223560214,-0.000562137088,7.76,5.0,2.76,7.76,0.0,8,8,3.0264408974125505,-1.5698650644332597,0,0,0,0,0,0,0,0,0,0,0,sequence_order_expected_trade_to_mt5_closed_trade_plus_entry_timestamp_probability_feature,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,-0.001328050392,-0.004853047896,0.003304296173,0.998696506023,-2.3699446e-05,0.998672842979,-0.975319087505,1.741081118584,0.005993955769,-0.621594667435,0.999560654163,1.001438260078,27.036991119385,39.522350311279,35.076587677002,2.425933837891,1.001441955566,50.702865600586,54.00280380249,-6.736371517181,0.702866971493,-14.93862247467,-21.369314193726,0.002001470886,0.002008340554,0.000217042165,44.985649108887,24.716148376465,1.820091485977,0.012541794218,0.516588151455,0.0,0.406773716211,1.151564359665,26.12163734436,-1.705362677574,-1.0,0.222209662199,1.0,50.0,0.0,0.0,-0.000577700732,-1.02020406723,0.000275887433,-1.612387537956,0.00016528774,2.372785329819,-0.000557607855,-0.001274907147,-0.001495247474,-0.001034521614,-0.001311201719,-0.001269631553,0.0,0.003519309917,-1.5967275e-05,-5.7537429e-05
8,validation,2025-01-03 18:05:00+00:00,2025-01-03 18:10:00,5.0,2025-01-03 18:50:00,2025-01,18,4,long,long,0.357981234789,0.259829461575,0.382189303637,0.024208068848,0.024208068848,0.038122177124,-0.000562137088,12.72,6.912,5.808000000000001,12.72,0.0,8,8,0.4531569258157854,-2.5732839715967653,0,0,0,0,0,0,0,0,0,0,0,sequence_order_expected_trade_to_mt5_closed_trade_plus_entry_timestamp_probability_feature,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.001123639988,0.001170978881,0.002234196756,1.001130461693,-6.153907e-06,1.00112426281,0.547293007374,0.58595842123,0.005993955769,0.528286218643,1.002316236496,1.004159092903,18.054761886597,38.723709106445,47.68928527832,1.47471010685,1.002073645592,62.012516021729,58.819442749023,0.903949916363,12.012515068054,3.190331459045,8.149584770203,-0.003094938817,-0.001109954435,0.000173894528,45.007232666016,28.200080871582,1.595996499062,0.006631706841,0.752380847931,0.0,0.411470264196,0.527929902077,16.527473449707,2.252067565918,-1.0,0.111164517701,1.0,95.0,0.0,0.0,-0.003496503457,-1.798438549042,-9.1970935e-05,-1.180987119675,-0.000229587386,-0.050118014216,0.001744531328,0.002055583755,-0.000356171862,0.000897746708,0.001480865641,0.000743925164,0.875,0.002429001965,-0.00035659413,0.000380346348
9,validation,2025-01-03 18:50:00+00:00,2025-01-03 18:55:00,5.0,2025-01-03 19:35:00,2025-01,18,4,long,long,0.327830255032,0.307377368212,0.364792257547,0.036962002516,0.036962002516,0.006634682417,-0.000562137088,-2.93,-3.113,0.18299999999999983,-2.93,0.0,8,8,1.0459023689587537,0.5927454431429682,0,0,0,0,0,0,0,0,1,1,0,sequence_order_expected_trade_to_mt5_closed_trade_plus_entry_timestamp_probability_feature,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.000223817318,0.001161095686,0.000753826636,1.00020635128,1.7436143e-05,1.000223875046,0.044120334089,-0.788071453571,0.005993955769,0.125211134553,1.003712534904,1.006188750267,34.530799865723,52.042087554932,67.878494262695,1.64848613739,1.003150463104,69.222343444824,61.992473602295,0.980602502823,19.222343444824,-1.121115446091,0.0,0.039251074195,0.004793174099,0.000190941399,37.944416046143,28.774019241333,1.318704009056,0.008914494887,0.990554869175,0.0,0.300356775522,0.447324872017,17.705278396606,14.828549385071,-1.0,0.470116466284,1.0,140.0,0.0,0.0,0.0,-2.034874916077,-0.000275811355,-0.539259850979,0.000229619021,0.06790202111,0.000903876324,-0.000574523991,-0.000639530073,-8.9090827e-05,0.00013613826,-0.000361784769,0.5,0.001909810817,8.7704109e-05,0.00058562716
10,validation,2025-01-03 19:35:00+00:00,2025-01-03 19:40:00,5.0,2025-01-03 20:25:00,2025-01,19,4,long,long,0.328143954277,0.322539746761,0.349316269159,0.021172314882,0.021172314882,0.001032888889,-0.000562137088,2.13,2.162,-0.03200000000000003,2.13,0.0,9,8,0.6149986850357104,-0.43090368392304323,0,0,0,0,0,0,0,0,0,0,0,sequence_order_expected_trade_to_mt5_closed_trade_plus_entry_timestamp_probability_feature,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,0.000353758398,0.000424525118,0.000937058183,1.000353813171,0.0,1.000353813171,0.123720817268,-0.74584209919,0.005993955769,0.238636225462,1.000983834267,1.00355219841,19.798038482666,54.213848114014,87.094818115234,1.185897350311,1.004486441612,58.434837341309,58.834007263184,0.113329589367,8.434836387634,-2.852784395218,-8.117630004883,-0.019511863589,0.000200467824,0.000224454707,31.439708709717,28.056449890137,1.120587587357,0.007801996544,0.624169170856,0.0,0.249194696546,0.697789013386,19.135805130005,5.49612569809,-1.0,0.357273727655,1.0,185.0,0.0,0.0,-0.002915452002,-0.055295430124,-0.000183840428,0.299104034901,-0.000137923431,-1.470908403397,0.000626370194,-0.000247188233,0.000830988807,0.000491060491,0.000361324375,0.000462298281,0.75,0.001408269629,-7.503398e-06,-0.000108477288
