run_id,slice_id,group_columns,group_values,trade_count,net_profit_after_cost,profit_factor_after_cost,expectancy_after_cost,avoid_label_rate,tail_loss_ge_10_rate,tail_hold_gt_96_rate,max_drawdown_after_percent,median_hold_m5_calendar,claim_boundary(주장 경계)
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,oos|16,72,5.93,1.022443418,0.082361,0.527778,0.125,0.0,8.030792,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,oos|17,120,32.33,1.086527138,0.269417,0.433333,0.1,0.0,8.153587,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,oos|18,104,62.08,1.280879558,0.596923,0.423077,0.067308,0.0,8.549359,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,oos|19,70,79.44,1.611547344,1.134857,0.357143,0.057143,0.0,7.504891,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,oos|20,52,-8.63,0.949187471,-0.165962,0.442308,0.096154,0.076923,6.725778,9.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,oos|21,43,190.19,2.225845956,4.423023,0.744186,0.162791,0.55814,7.194939,230.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,oos|22,3,50.9,,16.966667,1.0,0.0,1.0,5.579973,230.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,validation|16,86,50.91,1.181103483,0.591977,0.418605,0.116279,0.0,25.010007,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,validation|17,154,-1.85,0.995404868,-0.012013,0.474026,0.058442,0.0,33.998035,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,validation|18,122,9.6,1.030634713,0.078689,0.491803,0.057377,0.0,31.747389,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,validation|19,84,80.61,1.339897116,0.959643,0.416667,0.083333,0.0,34.167243,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,validation|20,73,182.02,2.177360931,2.493425,0.465753,0.068493,0.09589,27.371639,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,validation|21,59,34.57,1.086271867,0.585932,0.864407,0.186441,0.677966,28.170372,230.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,hour,split|actual_entry_hour,validation|22,5,50.57,5.914480078,10.114,1.0,0.2,1.0,2.019077,230.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,oos|2025-10,66,81.38,1.526970148,1.23303,0.393939,0.090909,0.045455,2.918419,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,oos|2025-11,61,118.38,1.507002441,1.940656,0.491803,0.131148,0.098361,6.637287,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,oos|2025-12,60,-12.18,0.92371289,-0.203,0.533333,0.066667,0.066667,4.221005,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,oos|2026-01,70,34.42,1.188210849,0.491714,0.457143,0.1,0.057143,5.356718,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,oos|2026-02,76,18.09,1.071178438,0.238026,0.565789,0.092105,0.078947,8.153587,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,oos|2026-03,88,102.47,1.396141802,1.164432,0.443182,0.102273,0.068182,8.549359,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,oos|2026-04,43,69.68,1.988509008,1.620465,0.348837,0.069767,0.046512,3.137649,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,validation|2025-01,74,-23.76,0.910874376,-0.321081,0.5,0.067568,0.094595,15.604421,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,validation|2025-02,63,20.5,1.12279861,0.325397,0.571429,0.079365,0.095238,13.598486,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,validation|2025-03,74,-26.96,0.927852708,-0.364324,0.540541,0.189189,0.148649,34.167243,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,validation|2025-04,105,269.55,1.647256573,2.567143,0.419048,0.142857,0.07619,18.769332,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,validation|2025-05,67,61.98,1.436909629,0.925075,0.462687,0.074627,0.119403,5.062133,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,validation|2025-06,65,74.9,1.62957048,1.152308,0.476923,0.046154,0.061538,2.462005,8.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,validation|2025-07,40,7.09,1.092245641,0.17725,0.5,0.0,0.05,2.655428,9.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,validation|2025-08,46,3.63,1.028078589,0.078913,0.521739,0.021739,0.043478,4.047971,8.5,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364P_materialize_drawdown_side_balance_offensive_inputs_without_db_v1,month,split|actual_entry_month,validation|2025-09,49,19.5,1.178555077,0.397959,0.632653,0.040816,0.081633,3.953245,9.0,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
