run_id,adapter_id,split,status,report_path,initial_balance,final_balance,net_profit,closed_trade_count,profit_factor,legacy_34d_pf,legacy_34d_dd_percent,max_drawdown_amount,max_drawdown_percent,report_balance_drawdown_maximal,report_equity_drawdown_maximal,report_balance_drawdown_relative,report_equity_drawdown_relative,late_net_share,weak_segments,split_quality_flag
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_cap0305_control,validation_is,completed,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_cap0305_control_rt_val.htm,500,1476.67,976.67,269,1.58972,1.583157,12.909136,134.71,12.9428,134.71 (12.94%),146.78 (14.02%),12.94% (134.71),14.02% (146.78),0.4623,mid,validation_dd_above_34d;validation_segment_pf_below_34d
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_cap0305_control,oos,completed,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_cap0305_control_rt_oos.htm,500,1275.76,775.76,195,1.775729,1.583157,12.909136,95.37,9.5076,95.37 (9.51%),107.36 (10.66%),12.23% (70.03),14.13% (81.69),0.4163,,acceptable_measurement_only
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat003,validation_is,completed,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlow_flat003_rt_val.htm,500,1421.3,921.3,269,1.578731,1.583157,12.909136,123.76,12.2261,123.76 (12.23%),138.14 (9.08%),12.23% (123.76),13.23% (134.59),0.4624,mid,validation_segment_pf_below_34d
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat003,oos,completed,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlow_flat003_rt_oos.htm,500,1272.8,772.8,195,1.788604,1.583157,12.909136,94.87,9.5137,94.87 (9.51%),106.86 (10.67%),12.23% (70.03),14.13% (81.69),0.4217,,acceptable_measurement_only
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat005,validation_is,completed,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlow_flat005_rt_val.htm,500,1405.28,905.28,269,1.580111,1.583157,12.909136,116.51,11.6296,116.51 (11.63%),135.83 (9.03%),11.63% (116.51),12.58% (126.66),0.4619,mid,validation_segment_pf_below_34d
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat005,oos,completed,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlow_flat005_rt_oos.htm,500,1267.37,767.37,195,1.794124,1.583157,12.909136,94.87,9.5307,94.87 (9.53%),106.86 (10.69%),12.23% (70.03),14.13% (81.69),0.42,,acceptable_measurement_only
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_lite,validation_is,completed,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlowmid_lite_rt_val.htm,500,1405.7,905.7,269,1.575841,1.583157,12.909136,120.82,12.0496,120.82 (12.05%),135.99 (9.04%),12.05% (120.82),13.02% (131.28),0.4637,mid,validation_segment_pf_below_34d
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_lite,oos,completed,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlowmid_lite_rt_oos.htm,500,1273.15,773.15,195,1.793976,1.583157,12.909136,95.41,9.5594,95.41 (9.56%),107.40 (10.72%),12.23% (70.03),14.13% (81.69),0.4208,,acceptable_measurement_only
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_balanced,validation_is,completed,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlowmid_balanced_rt_val.htm,500,1397.16,897.16,269,1.576429,1.583157,12.909136,116.72,11.6721,116.72 (11.67%),136.07 (9.09%),11.67% (116.72),12.62% (126.87),0.4598,mid,validation_segment_pf_below_34d
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_balanced,oos,completed,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/mt5/reports/Project_Obsidian_Prime_v2_run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1_s246_softlowmid_balanced_rt_oos.htm,500,1265.43,765.43,195,1.793373,1.583157,12.909136,94.56,9.5101,94.56 (9.51%),106.55 (10.67%),12.23% (70.03),14.13% (81.69),0.4195,,acceptable_measurement_only
