run_id,adapter_id,split,gate_column,source_feature,soft_feature,total_rows,signal_rows,mid_window_rows,reference_blocked_signal_rows,soft_adjusted_signal_rows,allowed_signal_rows,rank_counts,allowed_signal_rank_counts,soft_adjusted_rank_counts,low_penalty,mid_penalty,gate_description,side_filter_feature_index,rank_feature_index
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_cap0305_control,validation_is,stage246_gate_cap0305_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/s246_cap0305_control/features/s246_cap0305_control_val.csv,9844,468,3587,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""soft_low"":0,""soft_mid"":0,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""soft_low"":0,""soft_mid"":0,""vhigh"":17}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_cap0305_control,oos,stage246_gate_cap0305_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/s246_cap0305_control/features/s246_cap0305_control_oos.csv,7584,348,2397,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""soft_low"":0,""soft_mid"":0,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""soft_low"":0,""soft_mid"":0,""vhigh"":7}","{""soft_low"":0,""soft_mid"":0}",0,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat003,validation_is,stage246_gate_softlow_flat003,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/s246_softlow_flat003/features/s246_softlow_flat003_val.csv,9844,468,3587,193,73,275,"{""high"":573,""low"":7366,""mid"":1559,""soft_low"":73,""soft_mid"":0,""vhigh"":273}","{""high"":33,""low"":115,""mid"":37,""soft_low"":73,""soft_mid"":0,""vhigh"":17}","{""soft_low"":73,""soft_mid"":0}",0.03,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat003,oos,stage246_gate_softlow_flat003,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/s246_softlow_flat003/features/s246_softlow_flat003_oos.csv,7584,348,2397,148,40,200,"{""high"":494,""low"":5414,""mid"":1362,""soft_low"":40,""soft_mid"":0,""vhigh"":274}","{""high"":28,""low"":87,""mid"":38,""soft_low"":40,""soft_mid"":0,""vhigh"":7}","{""soft_low"":40,""soft_mid"":0}",0.03,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat005,validation_is,stage246_gate_softlow_flat005,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/s246_softlow_flat005/features/s246_softlow_flat005_val.csv,9844,468,3587,193,73,275,"{""high"":573,""low"":7366,""mid"":1559,""soft_low"":73,""soft_mid"":0,""vhigh"":273}","{""high"":33,""low"":115,""mid"":37,""soft_low"":73,""soft_mid"":0,""vhigh"":17}","{""soft_low"":73,""soft_mid"":0}",0.05,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlow_flat005,oos,stage246_gate_softlow_flat005,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/s246_softlow_flat005/features/s246_softlow_flat005_oos.csv,7584,348,2397,148,40,200,"{""high"":494,""low"":5414,""mid"":1362,""soft_low"":40,""soft_mid"":0,""vhigh"":274}","{""high"":28,""low"":87,""mid"":38,""soft_low"":40,""soft_mid"":0,""vhigh"":7}","{""soft_low"":40,""soft_mid"":0}",0.05,0,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_lite,validation_is,stage246_gate_softlowmid_lite,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/s246_softlowmid_lite/features/s246_softlowmid_lite_val.csv,9844,468,3587,193,87,275,"{""high"":573,""low"":7366,""mid"":1545,""soft_low"":73,""soft_mid"":14,""vhigh"":273}","{""high"":33,""low"":115,""mid"":23,""soft_low"":73,""soft_mid"":14,""vhigh"":17}","{""soft_low"":73,""soft_mid"":14}",0.04,0.015,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_lite,oos,stage246_gate_softlowmid_lite,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/s246_softlowmid_lite/features/s246_softlowmid_lite_oos.csv,7584,348,2397,148,46,200,"{""high"":494,""low"":5414,""mid"":1356,""soft_low"":40,""soft_mid"":6,""vhigh"":274}","{""high"":28,""low"":87,""mid"":32,""soft_low"":40,""soft_mid"":6,""vhigh"":7}","{""soft_low"":40,""soft_mid"":6}",0.04,0.015,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_balanced,validation_is,stage246_gate_softlowmid_balanced,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/s246_softlowmid_balanced/features/s246_softlowmid_balanced_val.csv,9844,468,3587,193,87,275,"{""high"":573,""low"":7366,""mid"":1545,""soft_low"":73,""soft_mid"":14,""vhigh"":273}","{""high"":33,""low"":115,""mid"":23,""soft_low"":73,""soft_mid"":14,""vhigh"":17}","{""soft_low"":73,""soft_mid"":14}",0.05,0.025,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
run246A_stage246_soft_timestamp_guard_repair_after_stage244_overprune_v1,s246_softlowmid_balanced,oos,stage246_gate_softlowmid_balanced,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/246_adapter_research__soft_timestamp_guard_repair_after_stage244_overprune/02_runs/run246A/s246_softlowmid_balanced/features/s246_softlowmid_balanced_oos.csv,7584,348,2397,148,46,200,"{""high"":494,""low"":5414,""mid"":1356,""soft_low"":40,""soft_mid"":6,""vhigh"":274}","{""high"":28,""low"":87,""mid"":32,""soft_low"":40,""soft_mid"":6,""vhigh"":7}","{""soft_low"":40,""soft_mid"":6}",0.05,0.025,Stage246 reference side filter plus soft middle-window low/mid flat tilt.,2,1
