run_id,variant_id,split,source_scope_id,threshold_id,threshold,target_trade_day,exit_policy_id,max_hold_bars,force_same_day_flat,desired_long_rows,desired_long_density,proxy_trade_count,proxy_trade_density_per_feature_day,cost_0_30_net_profit,cost_0_30_gross_profit,cost_0_30_gross_loss,cost_0_30_profit_factor,cost_0_30_expectancy,win_rate,max_drawdown_cost_0_30,recovery_factor_cost_0_30,max_hold_observed_bars,strict_success,soft_density_positive,no_trade_splitting_status,proxy_boundary,claim_boundary
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,validation,q05_long_dense_flat_fill,run364E_fixed_density_3_0,0.435066855164,3.0,close_on_flat_m5_max6,6,False,2813,15.3715846995,903,4.9344262295,-114.991,1746.337,-1861.328,0.9382209906,-0.1273433001,0.4540420819,-334.716,-0.343547963,6,false,false,single_position_entry_transition_only,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,oos,q05_long_dense_flat_fill,run364E_fixed_density_3_0,0.435066855164,3.0,close_on_flat_m5_max6,6,False,2349,17.9312977099,708,5.4045801527,40.913,1481.17,-1440.257,1.0284067357,0.0577867232,0.447740113,-150.392,0.2720423959,6,false,true,single_position_entry_transition_only,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max12,validation,q05_long_dense_flat_fill,run364E_fixed_density_3_0,0.435066855164,3.0,close_on_flat_m5_max12,12,False,2813,15.3715846995,753,4.1147540984,-69.991,1554.199,-1624.19,0.9569071352,-0.0929495352,0.4581673307,-322.116,-0.2172850774,12,false,false,single_position_entry_transition_only,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max12,oos,q05_long_dense_flat_fill,run364E_fixed_density_3_0,0.435066855164,3.0,close_on_flat_m5_max12,12,False,2349,17.9312977099,569,4.3435114504,82.613,1325.885,-1243.272,1.06644805,0.1451898067,0.4481546573,-135.415,0.6100727394,12,true,true,single_position_entry_transition_only,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max24,validation,q05_long_dense_flat_fill,run364E_fixed_density_3_0,0.435066855164,3.0,close_on_flat_m5_max24,24,False,2813,15.3715846995,698,3.8142076503,-53.491,1446.622,-1500.113,0.9643420196,-0.0766346705,0.4584527221,-317.616,-0.1684140597,24,false,false,single_position_entry_transition_only,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max24,oos,q05_long_dense_flat_fill,run364E_fixed_density_3_0,0.435066855164,3.0,close_on_flat_m5_max24,24,False,2349,17.9312977099,518,3.9541984733,97.913,1229.682,-1131.769,1.0865132372,0.1890212355,0.4382239382,-130.915,0.7479127678,24,true,true,single_position_entry_transition_only,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__same_day_flat_m5_max24,validation,q05_long_dense_flat_fill,run364E_fixed_density_3_0,0.435066855164,3.0,same_day_flat_m5_max24,24,True,2813,15.3715846995,701,3.8306010929,-54.391,1455.41,-1509.801,0.9639747225,-0.0775905849,0.4579172611,-317.916,-0.1710860731,24,false,false,single_position_entry_transition_only,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__same_day_flat_m5_max24,oos,q05_long_dense_flat_fill,run364E_fixed_density_3_0,0.435066855164,3.0,same_day_flat_m5_max24,24,True,2349,17.9312977099,520,3.9694656489,97.313,1229.382,-1132.069,1.0859603081,0.1871403846,0.4384615385,-131.215,0.741630149,24,true,true,single_position_entry_transition_only,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__validation_dense_target_3_0__close_on_flat_m5_max6,validation,q05_long_dense_flat_fill,validation_dense_target_3_0,0.556657373905,3.0,close_on_flat_m5_max6,6,False,549,3.0,283,1.5464480874,35.459,362.526,-327.067,1.1084150954,0.1252968198,0.4487632509,-33.339,1.0635891898,6,false,false,single_position_entry_transition_only,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__validation_dense_target_3_0__close_on_flat_m5_max6,oos,q05_long_dense_flat_fill,validation_dense_target_3_0,0.556657373905,3.0,close_on_flat_m5_max6,6,False,534,4.0763358779,254,1.9389312977,-12.349,332.532,-344.881,0.9641934464,-0.0486181102,0.4881889764,-85.175,-0.1449838568,6,false,false,single_position_entry_transition_only,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
