run_id,variant_id,split,entry_index,exit_index,entry_time,exit_time,entry_price,exit_price,entry_keep_probability,hold_bars,gross_proxy_profit,cost_0_30_proxy_profit,exit_reason,proxy_boundary
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,validation,3550,3556,2025.04.07 18:00:00,2025.04.07 18:30:00,17491.21,17029.96,0.49008718133,6,-46.125,-46.425,calendar_max_hold,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,validation,2351,2357,2025.03.05 21:35:00,2025.03.06 16:35:00,20608.3,20235.08,0.490563362837,6,-37.322,-37.622,close_on_flat,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,validation,2289,2292,2025.03.04 21:55:00,2025.03.05 16:40:00,20545.18,20329.55,0.545549094677,3,-21.563,-21.863,close_on_flat,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,validation,3593,3599,2025.04.07 21:35:00,2025.04.08 16:35:00,17489.21,18003.43,0.507464826107,6,51.422,51.122,calendar_max_hold,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,validation,4257,4263,2025.04.22 21:55:00,2025.04.23 16:55:00,18259.39,18910.47,0.491834670305,6,65.108,64.808,calendar_max_hold,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,validation,3710,3716,2025.04.09 20:20:00,2025.04.09 20:50:00,17819.52,18544.02,0.480156570673,6,72.45,72.15,calendar_max_hold,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,oos,5276,5281,2026.02.17 16:35:00,2026.02.17 17:00:00,24699.1,24426.1,0.490156054497,5,-27.3,-27.6,close_on_flat,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,oos,6720,6722,2026.03.23 21:00:00,2026.03.24 16:40:00,24277.8,24024.55,0.562482774258,2,-25.325,-25.625,close_on_flat,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,oos,2809,2811,2025.12.10 21:55:00,2025.12.11 16:35:00,25796.65,25590.75,0.500222206116,2,-20.59,-20.89,close_on_flat,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,oos,7062,7068,2026.03.31 21:35:00,2026.04.01 16:35:00,23658.2,23996.25,0.588039338589,6,33.805,33.505,calendar_max_hold,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,oos,1574,1578,2025.11.07 21:45:00,2025.11.10 16:35:00,24994.01,25476.41,0.534473538399,4,48.24,47.94,close_on_flat,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max6,oos,2033,2034,2025.11.19 22:00:00,2025.11.20 16:35:00,24587.88,25117.89,0.473176509142,1,53.001,52.701,close_on_flat,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max12,validation,2345,2357,2025.03.05 21:05:00,2025.03.06 16:35:00,20567.17,20235.08,0.484824568033,12,-33.209,-33.509,close_on_flat,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
run364I_design_dense_m5_runtime_repair_proxy_without_db_v1,q05_long_dense_flat_fill__run364E_fixed_density_3_0__close_on_flat_m5_max12,validation,3550,3562,2025.04.07 18:00:00,2025.04.07 19:00:00,17491.21,17221.58,0.49008718133,12,-26.963,-27.263,calendar_max_hold,raw_m5_open_to_open_long_proxy_not_mt5_strategy_tester
