run_id,split,parent_trade_count,side_filter_trade_count,parent_trade_density,side_filter_trade_density,parent_net_profit,side_filter_net_profit,net_profit_delta,parent_profit_factor,side_filter_profit_factor,parent_expectancy,side_filter_expectancy,parent_max_drawdown,side_filter_max_drawdown,drawdown_delta,parent_recovery_factor,side_filter_recovery_factor,claim_boundary
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,validation,583,517,3.4294117647,3.1524390244,320.697,321.868,1.171,1.1726757343,1.1922865073,0.5500806175,0.6225686654,-186.463,-194.154,-7.691,1.7198961724,1.6577974185,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,oos,464,418,3.5968992248,3.4833333333,253.996,403.359,149.363,1.1728966014,1.326943746,0.5474051724,0.9649736842,-116.816,-88.47,28.346,2.1743254349,4.5592743303,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
