attempt_index,attempt_name,selected_candidate,adapter_package,tier,split,attempt_role,status,runtime_output_status,model_backend,feature_order_hash,ini_path,set_path,claim_boundary
1,run282A_cp282D_macro_trend_countercheck_tier_a_val_onnx,cp282D_macro_trend_countercheck_surface,stage283_cp282d_macro_trend_countercheck_adapter_package_v1,Tier A,validation_is,tier_only_total,completed,completed,onnx,171b545c231c11df3686e77d62d930c01807dc1165c49fb5e96bbb1bf97ed22d,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_tier_a_val_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_tier_a_val_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
2,run282A_cp282D_macro_trend_countercheck_tier_b_val_onnx,cp282D_macro_trend_countercheck_surface,stage283_cp282d_macro_trend_countercheck_adapter_package_v1,Tier B,validation_is,tier_b_fallback_only_total,completed,completed,onnx,171b545c231c11df3686e77d62d930c01807dc1165c49fb5e96bbb1bf97ed22d,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_tier_b_val_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_tier_b_val_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
3,run282A_cp282D_macro_trend_countercheck_routed_val_onnx,cp282D_macro_trend_countercheck_surface,stage283_cp282d_macro_trend_countercheck_adapter_package_v1,Tier A+B,validation_is,actual_routed_total,completed,completed,onnx,171b545c231c11df3686e77d62d930c01807dc1165c49fb5e96bbb1bf97ed22d,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_routed_val_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_routed_val_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
4,run282A_cp282D_macro_trend_countercheck_tier_a_oos_onnx,cp282D_macro_trend_countercheck_surface,stage283_cp282d_macro_trend_countercheck_adapter_package_v1,Tier A,oos,tier_only_total,completed,completed,onnx,171b545c231c11df3686e77d62d930c01807dc1165c49fb5e96bbb1bf97ed22d,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_tier_a_oos_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_tier_a_oos_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
5,run282A_cp282D_macro_trend_countercheck_tier_b_oos_onnx,cp282D_macro_trend_countercheck_surface,stage283_cp282d_macro_trend_countercheck_adapter_package_v1,Tier B,oos,tier_b_fallback_only_total,completed,completed,onnx,171b545c231c11df3686e77d62d930c01807dc1165c49fb5e96bbb1bf97ed22d,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_tier_b_oos_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_tier_b_oos_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
6,run282A_cp282D_macro_trend_countercheck_routed_oos_onnx,cp282D_macro_trend_countercheck_surface,stage283_cp282d_macro_trend_countercheck_adapter_package_v1,Tier A+B,oos,actual_routed_total,completed,completed,onnx,171b545c231c11df3686e77d62d930c01807dc1165c49fb5e96bbb1bf97ed22d,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_routed_oos_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/285_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp282d/02_runs/run285A/mt5/run282A_cp282D_macro_trend_countercheck_routed_oos_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
