comparison_key,split,tier_scope,route_role,metric,source_value,onnx_value,absolute_diff,tolerance,status
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,net_profit,89.64,89.64,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,profit_factor,1.36,1.36,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,max_drawdown_amount,170.27,170.27,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,recovery_factor,0.53,0.53,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,expectancy,1.12,1.12,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,trade_count,80,80,0,0,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,net_profit,85.5,85.5,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,profit_factor,1.36,1.36,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,max_drawdown_amount,163.97,163.97,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,recovery_factor,0.52,0.52,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,expectancy,1.14,1.14,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,trade_count,75,75,0,0,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,net_profit,89.64,89.64,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,profit_factor,1.36,1.36,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,max_drawdown_amount,170.27,170.27,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,recovery_factor,0.53,0.53,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,expectancy,1.12,1.12,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,trade_count,80,80,0,0,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,net_profit,190.55,190.55,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,profit_factor,1.74,1.74,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,max_drawdown_amount,88.32,88.32,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,recovery_factor,2.16,2.16,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,expectancy,2.35,2.35,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,trade_count,81,81,0,0,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,net_profit,254.16,254.16,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,profit_factor,2.43,2.43,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,max_drawdown_amount,83.54,83.54,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,recovery_factor,3.04,3.04,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,expectancy,3.53,3.53,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,trade_count,72,72,0,0,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,net_profit,190.55,190.55,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,profit_factor,1.74,1.74,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,max_drawdown_amount,88.32,88.32,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,recovery_factor,2.16,2.16,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,expectancy,2.35,2.35,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,trade_count,81,81,0,0,passed
