split,variant_count,effective_signature_count,kpi_signature_count,effective_collapsed_all_variants,kpi_collapsed_all_variants,matches_f68h_cap_signature_rows,claim_boundary
oos,3,3,3,False,False,0,unit_corrected_atr_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
validation,3,3,3,False,False,0,unit_corrected_atr_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
