label_id,split,rows,long_count,flat_count,short_count,directional_rate
econ_fast_balanced_first_hit_net_h6_tp55_sl45,train,29222,8411,13061,7750,0.5530422284580111
econ_fast_balanced_first_hit_net_h6_tp55_sl45,validation,9844,2798,4324,2722,0.5607476635514018
econ_fast_balanced_first_hit_net_h6_tp55_sl45,oos,7584,2186,3189,2209,0.5795094936708861
econ_fast_balanced_path_balanced_h6_tp55_sl45,train,29222,10035,9752,9435,0.6662788310177263
econ_fast_balanced_path_balanced_h6_tp55_sl45,validation,9844,3341,3253,3250,0.6695449004469728
econ_fast_balanced_path_balanced_h6_tp55_sl45,oos,7584,2514,2432,2638,0.679324894514768
econ_fast_balanced_dd_guarded_h6_tp55_sl45,train,29222,7761,14357,7104,0.5086920813086031
econ_fast_balanced_dd_guarded_h6_tp55_sl45,validation,9844,2556,4813,2475,0.511072734660707
econ_fast_balanced_dd_guarded_h6_tp55_sl45,oos,7584,2011,3547,2026,0.5323048523206751
econ_mid_payoff_first_hit_net_h12_tp85_sl55,train,29222,7928,14048,7246,0.5192663062076518
econ_mid_payoff_first_hit_net_h12_tp85_sl55,validation,9844,2566,4799,2479,0.5124949207639171
econ_mid_payoff_first_hit_net_h12_tp85_sl55,oos,7584,1991,3499,2094,0.5386339662447257
econ_mid_payoff_path_balanced_h12_tp85_sl55,train,29222,10033,9961,9228,0.6591266853740333
econ_mid_payoff_path_balanced_h12_tp85_sl55,validation,9844,3264,3397,3183,0.6549167005282406
econ_mid_payoff_path_balanced_h12_tp85_sl55,oos,7584,2446,2544,2594,0.6645569620253164
econ_mid_payoff_dd_guarded_h12_tp85_sl55,train,29222,7270,15343,6609,0.47495037985079736
econ_mid_payoff_dd_guarded_h12_tp85_sl55,validation,9844,2387,5189,2268,0.4728768793173507
econ_mid_payoff_dd_guarded_h12_tp85_sl55,oos,7584,1839,3865,1880,0.49037447257383965
econ_slow_payoff_first_hit_net_h18_tp105_sl70,train,29222,7988,14079,7155,0.5182054616384916
econ_slow_payoff_first_hit_net_h18_tp105_sl70,validation,9844,2582,4762,2500,0.516253555465258
econ_slow_payoff_first_hit_net_h18_tp105_sl70,oos,7584,1966,3588,2030,0.5268987341772152
econ_slow_payoff_path_balanced_h18_tp105_sl70,train,29222,10248,9744,9230,0.6665525973581549
econ_slow_payoff_path_balanced_h18_tp105_sl70,validation,9844,3270,3370,3204,0.6576594880130029
econ_slow_payoff_path_balanced_h18_tp105_sl70,oos,7584,2463,2530,2591,0.6664029535864979
econ_slow_payoff_dd_guarded_h18_tp105_sl70,train,29222,7355,15313,6554,0.475977003627404
econ_slow_payoff_dd_guarded_h18_tp105_sl70,validation,9844,2376,5194,2274,0.47236895570906134
econ_slow_payoff_dd_guarded_h18_tp105_sl70,oos,7584,1842,3888,1854,0.4873417721518987
econ_slow_tight_dd_first_hit_net_h24_tp95_sl50,train,29222,5888,18178,5156,0.3779344329614674
econ_slow_tight_dd_first_hit_net_h24_tp95_sl50,validation,9844,1882,6226,1736,0.3675335229581471
econ_slow_tight_dd_first_hit_net_h24_tp95_sl50,oos,7584,1426,4685,1473,0.38225210970464135
econ_slow_tight_dd_path_balanced_h24_tp95_sl50,train,29222,9490,11380,8352,0.610567380740538
econ_slow_tight_dd_path_balanced_h24_tp95_sl50,validation,9844,3064,3914,2866,0.6023973994311256
econ_slow_tight_dd_path_balanced_h24_tp95_sl50,oos,7584,2288,2966,2330,0.6089135021097046
econ_slow_tight_dd_dd_guarded_h24_tp95_sl50,train,29222,5114,19615,4493,0.32875915406200806
econ_slow_tight_dd_dd_guarded_h24_tp95_sl50,validation,9844,1639,6704,1501,0.31897602600568875
econ_slow_tight_dd_dd_guarded_h24_tp95_sl50,oos,7584,1250,5083,1251,0.32977320675105487
