candidate_id,label_id,horizon_bars,tp_atr,sl_atr,utility_mode,feature_set_id,feature_count,model_id,model_family,model_role,selection_id,mask_name,threshold_quantile,threshold,relaxed_threshold_quantile,density_lift_fracture_pass,validation_net_profit,validation_gross_profit,validation_gross_loss,validation_profit_factor,validation_max_drawdown_percent,validation_trade_count,validation_trades_day,validation_win_rate,validation_expectancy,validation_recovery_factor,validation_smooth_equity_proxy,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_max_drawdown_percent,oos_trade_count,oos_trades_day,oos_win_rate,oos_expectancy,oos_recovery_factor,oos_smooth_equity_proxy,scout_clue,meaningful_candidate,final_like_reference_only,meaningful_with_fracture
f71b_1e511d3db9c3,econ_slow_payoff_first_hit_net_h18_tp105_sl70,18,1.05,0.7,first_hit_net,econ_macro_context_v1,58,extratrees_shallow_v1,extra_trees(엑스트라트리스),tree_reference(트리 참조),vol_expansion_q45,vol_expansion,0.45,0.34849907677995673,0.30000000000000004,True,1098.074251298905,5839.370569162369,-4741.2963178634645,1.231597895951317,2.6050367126464846,345,1.2720033797191248,45.21739130434783,3.1828239168084203,4.2151968376037185,False,899.1492283344272,4488.256428003313,-3589.1071996688843,1.2505216975456683,3.5373227987289417,255,1.3129055902175661,45.88235294117647,3.526075405233048,2.5418919321061577,False,True,False,False,False
f71b_a486f5581c84,econ_slow_tight_dd_first_hit_net_h24_tp95_sl50,24,0.95,0.5,first_hit_net,econ_core_price_v1,25,linear_logreg_balanced_l2_v1,linear_logistic(선형 로지스틱),economics_label_carrier(경제성 라벨 운반),vol_expansion_q45,vol_expansion,0.45,0.17692646740698395,0.30000000000000004,False,314.1853760051725,3435.771826219559,-3121.586450214386,1.100649263128239,3.0441006698608386,279,1.0286636027293792,38.70967741935484,1.1261124587999014,1.0321123053382315,False,547.5691061019895,2892.9061369895935,-2345.3370308876033,1.2334713940429962,1.897522974014285,207,1.0657704202942595,38.64734299516908,2.645261382135215,2.8857047508815423,False,True,False,False,False
f71b_7beac2309506,econ_slow_payoff_path_balanced_h18_tp105_sl70,18,1.05,0.7,path_balanced,econ_no_macro_v1,42,extratrees_shallow_v1,extra_trees(엑스트라트리스),tree_reference(트리 참조),vol_expansion_q45,vol_expansion,0.45,0.39275698576390317,0.30000000000000004,False,1043.0103237056737,4671.056564779282,-3628.046241073608,1.287485399689125,3.40354008655548,289,1.0655332659096437,45.674740484429066,3.6090322619573487,3.0644866732309954,False,506.18083934783954,3691.0149813652038,-3184.8341420173647,1.1589347566549288,2.945205691337585,229,1.1790407065091084,42.79475982532751,2.210396678374845,1.71866040065254,False,True,False,False,False
f71b_edaf9fba5281,econ_slow_payoff_dd_guarded_h18_tp105_sl70,18,1.05,0.7,dd_guarded,econ_macro_context_v1,58,extratrees_shallow_v1,extra_trees(엑스트라트리스),tree_reference(트리 참조),vol_expansion_q45,vol_expansion,0.45,0.33684325847079555,0.30000000000000004,True,1179.2600725460056,5875.657947015763,-4696.397874469757,1.2510988429997851,3.1512615194320683,346,1.2756903460371511,45.664739884393065,3.4082661056242936,3.7421840912731867,False,574.2033197402957,4328.786716175081,-3754.5833964347835,1.1529339634020488,3.5792843017578124,254,1.3077569408441638,43.30708661417323,2.260642991103526,1.604240600441547,False,True,False,False,False
f71b_20304bf28969,econ_slow_payoff_dd_guarded_h18_tp105_sl70,18,1.05,0.7,dd_guarded,econ_core_price_v1,25,extratrees_shallow_v1,extra_trees(엑스트라트리스),tree_reference(트리 참조),early_late_q45,early_late,0.45,0.3456120922479015,0.30000000000000004,False,589.9203737163547,4826.45924990654,-4236.538876190186,1.139245830371526,5.812647599983216,310,1.142959558588199,46.45161290322581,1.9029689474721119,1.014891000304333,False,521.9314729022979,4045.191909837723,-3523.260436935425,1.14813877152842,2.244115182876585,241,1.240824498989935,43.15352697095436,2.1656907589306966,2.325778448828406,False,True,False,False,False
f71b_3cb5f937f89e,econ_slow_payoff_first_hit_net_h18_tp105_sl70,18,1.05,0.7,first_hit_net,econ_minimal_linear_v1,10,histgb_small_tree_v1,hist_gradient_boosting(히스토그램 그래디언트 부스팅),nonlinear_reference(비선형 참조),vol_expansion_q45,vol_expansion,0.45,0.24350339790457884,0.30000000000000004,False,781.8959908390052,5298.0019839763645,-4516.105993137358,1.1731349955087789,4.717470938301081,329,1.2130119186307016,44.07294832826747,2.376583558781171,1.657447393031725,False,501.3352788925171,4020.385350036621,-3519.0500711441036,1.142463241146644,2.556356595039367,242,1.2459731483633372,43.388429752066116,2.0716333838533765,1.9611320262023018,False,True,False,False,False
f71b_314cd716ce40,econ_slow_payoff_dd_guarded_h18_tp105_sl70,18,1.05,0.7,dd_guarded,econ_no_macro_v1,42,histgb_small_tree_v1,hist_gradient_boosting(히스토그램 그래디언트 부스팅),nonlinear_reference(비선형 참조),vol_expansion_q45,vol_expansion,0.45,0.1838449128798036,0.30000000000000004,False,765.4689390373233,5484.022221355438,-4718.553282318115,1.1622253460410785,2.6577763092040976,331,1.2203858512667545,45.9214501510574,2.3125949819858707,2.8801104757629203,False,426.31413307189945,4103.967674064636,-3677.6535409927365,1.115920145364433,3.694284275054934,245,1.261419096483544,43.26530612244898,1.7400576860077528,1.153983021692504,False,True,False,False,False
f71b_b818b44e4d40,econ_slow_payoff_first_hit_net_h18_tp105_sl70,18,1.05,0.7,first_hit_net,econ_no_macro_v1,42,histgb_small_tree_v1,hist_gradient_boosting(히스토그램 그래디언트 부스팅),nonlinear_reference(비선형 참조),trend_q45,trend,0.45,0.29256036692241566,0.30000000000000004,False,526.5459121227266,5370.640377378464,-4844.094465255737,1.108698522685587,7.31420171356201,325,1.1982640533585958,46.76923076923077,1.6201412680699279,0.7198952568486098,False,462.25906081199645,4598.909009313583,-4136.649948501587,1.1117472028251847,3.4175474119186395,258,1.3283515383377729,45.73643410852713,1.7917017860930096,1.352604675504649,False,True,False,False,False
f71b_3482ec5c5fb8,econ_slow_payoff_first_hit_net_h18_tp105_sl70,18,1.05,0.7,first_hit_net,econ_no_macro_v1,42,extratrees_shallow_v1,extra_trees(엑스트라트리스),tree_reference(트리 참조),early_late_q45,early_late,0.45,0.35444533707738973,0.30000000000000004,False,934.82818602562,5003.561294698715,-4068.7331086730956,1.2297590333543622,6.684371812152862,312,1.150333491224252,44.871794871794876,2.9962441859795512,1.3985281074969649,False,381.18859260559105,3922.8257415771486,-3541.6371489715575,1.1076306173025894,4.10948664188385,237,1.220229901496326,43.037974683544306,1.6083906860995403,0.9275820213661736,False,True,False,False,False
f71b_767f404af83b,econ_slow_tight_dd_first_hit_net_h24_tp95_sl50,24,0.95,0.5,first_hit_net,econ_macro_context_v1,58,extratrees_shallow_v1,extra_trees(엑스트라트리스),tree_reference(트리 참조),vol_expansion_q45,vol_expansion,0.45,0.3546912927876294,0.30000000000000004,False,319.64572164535497,3268.823793048858,-2949.1780714035035,1.108384680038407,4.390908634185789,268,0.9881069732310882,39.55223880597015,1.1927079165871455,0.7279716985152601,False,893.7886684417723,3036.7143071174614,-2142.9256386756892,1.4170880465054898,1.6108282890319827,204,1.0503244721740528,43.13725490196079,4.3813170021655505,5.54862783654544,False,False,False,False,False
