candidate_id,selection_id,relaxed_quantile,relaxed_entry_gap_bars,validation_profit_factor,validation_max_drawdown_percent,validation_trades_day,oos_profit_factor,oos_max_drawdown_percent,oos_trades_day,fracture_pass
f71c_ed61fa938708,all_q20_gap6,0.1,4,0.7631548448893134,59.77050802383429,8.520579160959123,0.86996479333086,28.669822149276758,9.236676975883583,False
f71c_f25aa7e9ef64,all_q30_gap6,0.19999999999999998,4,0.8445209199382501,40.56635947856898,7.842177358442257,0.899954519761287,21.886808306407936,8.711514739796556,False
f71c_d8d49399c1db,all_q40_gap9,0.30000000000000004,7,0.8635642353705579,17.94433570041655,4.457542278493976,0.8864297110366579,16.224956841278086,4.947852047839533,False
f71c_e36d05a9f2b7,cash_q20_gap6,0.1,4,0.7631548448893134,59.77050802383429,8.520579160959123,0.86996479333086,28.669822149276758,9.236676975883583,False
f71c_10d56ea5266d,cash_q30_gap6,0.19999999999999998,4,0.8445209199382501,40.56635947856898,7.842177358442257,0.899954519761287,21.886808306407936,8.711514739796556,False
f71c_7e54a29c730c,cash_q40_gap9,0.30000000000000004,7,0.8635642353705579,17.94433570041655,4.457542278493976,0.8864297110366579,16.224956841278086,4.947852047839533,False
f71c_068c14403e99,vol_expansion_q20_gap6,0.1,4,0.857339199224327,13.994799328041074,3.4731222715809147,0.9779523043566233,6.423628174018862,3.573162665141141,False
f71c_4505d7eb0ab8,vol_expansion_q30_gap6,0.19999999999999998,4,0.8467168998523805,14.418671969795238,3.2150346293190633,0.9730058138739043,6.871169561576846,3.3157301964710295,False
f71c_8d47cb4166dc,vol_expansion_q40_gap9,0.30000000000000004,7,0.9561870361741984,5.696205653762815,2.145814397091393,1.060520404978479,2.875925339126588,2.229365178683161,False
f71c_5c61b4ac25d9,trend_q20_gap6,0.1,4,0.7609533307376788,34.12090292282102,4.748812617618066,0.8862239384693201,15.211099952507013,5.236176412750058,False
f71c_e511cdcfbe6e,trend_q30_gap6,0.19999999999999998,4,0.8309460981486343,23.1634720178604,4.376429019497395,0.8697889801701764,17.32183270778656,4.947852047839533,False
