bar_time_server,timestamp_utc,split,row_index,stage42_session_reliability_signal,tier_label,routing_source,partial_context_subtype,candidate_id,stage42_session_bucket_label,stage42_session_reliability_score,entry_decision
2025.10.01 17:30:00,2025-10-01T17:30:00Z,oos,0,0,Tier B,tier_b_fallback,B_macro_missing,c10_session_specific_long_short_thresholds,early_cash_30_60,-0.12775735294117646,0
2025.10.01 17:55:00,2025-10-01T17:55:00Z,oos,1,0,Tier B,tier_b_fallback,B_macro_missing,c10_session_specific_long_short_thresholds,morning_60_120,-0.1698966408268734,0
2025.10.01 18:10:00,2025-10-01T18:10:00Z,oos,2,0,Tier B,tier_b_fallback,B_macro_missing,c10_session_specific_long_short_thresholds,morning_60_120,-0.1698966408268734,0
2025.10.01 19:30:00,2025-10-01T19:30:00Z,oos,3,0,Tier B,tier_b_fallback,B_macro_missing,c10_session_specific_long_short_thresholds,midday_lull_120_240,-0.1762380357885976,0
2025.10.01 20:05:00,2025-10-01T20:05:00Z,oos,4,0,Tier B,tier_b_fallback,B_macro_missing,c10_session_specific_long_short_thresholds,midday_lull_120_240,-0.1762380357885976,0
2025.10.01 20:25:00,2025-10-01T20:25:00Z,oos,5,0,Tier B,tier_b_fallback,B_macro_missing,c10_session_specific_long_short_thresholds,midday_lull_120_240,-0.1762380357885976,0
2025.10.01 20:35:00,2025-10-01T20:35:00Z,oos,6,0,Tier B,tier_b_fallback,B_macro_missing,c10_session_specific_long_short_thresholds,late_cash_240_330,-0.17209668943772988,0
2025.10.01 20:40:00,2025-10-01T20:40:00Z,oos,7,0,Tier B,tier_b_fallback,B_macro_missing,c10_session_specific_long_short_thresholds,late_cash_240_330,-0.17209668943772988,0
2025.10.01 21:10:00,2025-10-01T21:10:00Z,oos,8,0,Tier B,tier_b_fallback,B_macro_missing,c10_session_specific_long_short_thresholds,late_cash_240_330,-0.17209668943772988,0
2025.10.02 18:20:00,2025-10-02T18:20:00Z,oos,9,0,Tier B,tier_b_fallback,B_macro_missing,c10_session_specific_long_short_thresholds,morning_60_120,-0.1698966408268734,0
