run_id,record_view,split,tier_scope,route_role,trade_index,direction,open_time,close_time,hold_bars,volume,open_price,close_price,gross_profit,net_profit,swap,commission,mfe,mae,realized_over_mfe,session_slice,volatility_regime,trend_regime,adx_bucket,spread_regime
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,1,buy,2025-01-02 16:40:00,2025-01-02 17:40:00,12,0.1,20924,21001.2,7.72,7.72,0,0,26.617,1.033,0.29004,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,2,buy,2025-01-02 17:45:00,2025-01-02 18:45:00,12,0.1,20988.8,21044.3,5.56,5.56,0,0,8.83,5.558,0.629672,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,3,buy,2025-01-02 18:50:00,2025-01-02 19:50:00,12,0.1,21093.5,20748.2,-34.53,-34.53,0,0,0.967,34.558,-35.7084,mid,vol_high,range_or_weak_trend,adx_lt20,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,4,buy,2025-01-02 20:10:00,2025-01-02 21:10:00,12,0.1,20821.6,20819.1,-0.26,-0.26,0,0,2.893,8.67,-0.0898721,mid,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,5,buy,2025-01-03 16:40:00,2025-01-03 17:40:00,12,0.1,21161.9,21101.5,-6.03,-6.03,0,0,2.605,15.157,-2.31478,early,vol_mid,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,6,buy,2025-01-03 17:45:00,2025-01-03 18:45:00,12,0.1,21124.7,21220.7,9.59,9.59,0,0,10.142,3.958,0.945573,early,vol_high,downtrend,adx_20_25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,7,buy,2025-01-06 16:35:00,2025-01-06 17:35:00,12,0.1,21539.8,21617,7.72,7.72,0,0,10.505,2.47,0.734888,early,vol_mid,downtrend,adx_20_25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,8,buy,2025-01-07 16:45:00,2025-01-07 17:45:00,12,0.1,21529.1,21217.3,-31.18,-31.18,0,0,2.805,34.607,-11.1159,early,vol_mid,downtrend,adx_20_25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,9,buy,2025-01-07 18:00:00,2025-01-07 19:00:00,12,0.1,21311.7,21198,-11.37,-11.37,0,0,2.342,12.358,-4.85482,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,10,buy,2025-01-08 16:35:00,2025-01-08 17:35:00,12,0.1,21137.2,21067.7,-6.96,-6.96,0,0,3.268,14.07,-2.12974,early,vol_mid,downtrend,adx_20_25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,11,buy,2025-01-08 17:40:00,2025-01-08 18:40:00,12,0.1,21091.4,21156.5,6.52,6.52,0,0,7.68,4.083,0.848958,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,12,buy,2025-01-10 16:35:00,2025-01-10 17:35:00,12,0.1,20930.8,20800.6,-13.02,-13.02,0,0,0.78,28.295,-16.6923,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,13,buy,2025-01-10 17:40:00,2025-01-10 18:40:00,12,0.1,20842.8,20673.1,-16.97,-16.97,0,0,5.142,18.47,-3.30027,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,14,buy,2025-01-13 16:55:00,2025-01-13 17:55:00,12,0.1,20592.8,20605.8,1.31,1.31,0,0,6.98,9.558,0.187679,early,vol_high,downtrend,adx_20_25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,15,buy,2025-01-14 16:35:00,2025-01-14 17:35:00,12,0.1,20859.2,20779.9,-7.93,-7.93,0,0,5.63,10.62,-1.40853,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,16,buy,2025-01-14 17:40:00,2025-01-14 18:40:00,12,0.1,20743,20676.5,-6.65,-6.65,0,0,6.392,8.07,-1.04036,early,vol_high,downtrend,adx_20_25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,17,buy,2025-01-15 16:35:00,2025-01-15 17:35:00,12,0.1,21056,21170.3,11.43,11.43,0,0,14.18,7.882,0.806065,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,18,buy,2025-01-15 17:40:00,2025-01-15 18:40:00,12,0.1,21173.5,21088.5,-8.51,-8.51,0,0,0.805,11.07,-10.5714,early,vol_mid,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,19,buy,2025-01-15 18:45:00,2025-01-15 19:45:00,12,0.1,21060.7,21146.5,8.58,8.58,0,0,9.067,2.433,0.946289,mid,vol_mid,downtrend,adx_20_25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,20,buy,2025-01-16 16:45:00,2025-01-16 17:45:00,12,0.1,21213.2,21167.5,-4.57,-4.57,0,0,0.655,8.27,-6.9771,early,vol_mid,downtrend,adx_20_25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,21,buy,2025-01-16 18:05:00,2025-01-16 19:05:00,12,0.1,21242,21199.8,-4.22,-4.22,0,0,2.58,13.032,-1.63566,early,feature_missing,feature_missing,feature_missing,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,22,buy,2025-01-17 16:35:00,2025-01-17 17:35:00,12,0.1,21354.5,21346.7,-0.78,-0.78,0,0,2.993,7.545,-0.260608,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,23,buy,2025-01-17 17:45:00,2025-01-17 18:45:00,12,0.1,21352.7,21399.5,4.68,4.68,0,0,8.243,1.582,0.567754,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,24,buy,2025-01-21 16:55:00,2025-01-21 17:55:00,12,0.1,21397.5,21437,3.94,3.94,0,0,6.43,5.908,0.612753,early,vol_mid,downtrend,adx_20_25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,25,buy,2025-01-27 16:35:00,2025-01-27 17:35:00,12,0.1,21073.6,21235.9,16.23,16.23,0,0,16.505,3.52,0.983338,early,vol_high,downtrend,adx_20_25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,26,buy,2025-01-27 17:40:00,2025-01-27 18:40:00,12,0.1,21225.6,21035.4,-19.02,-19.02,0,0,2.68,19.87,-7.09701,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,27,buy,2025-01-27 19:05:00,2025-01-27 20:05:00,12,0.1,21084.8,21005.7,-7.91,-7.91,0,0,0.517,11.07,-15.2998,mid,vol_high,range_or_weak_trend,adx_lt20,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,28,buy,2025-01-28 16:55:00,2025-01-28 17:55:00,12,0.1,21104.3,21247.5,14.32,14.32,0,0,21.542,1.095,0.664748,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,29,buy,2025-01-28 18:00:00,2025-01-28 19:00:00,12,0.1,21295.4,21311.5,1.61,1.61,0,0,2.18,6.92,0.738532,early,vol_high,downtrend,adx_gt25,spread_low
run12C_catboost_q80_direction_balance_probe_v1,mt5_routed_long_only_validation_is,validation,Tier A+B,routed_total,30,buy,2025-01-29 17:15:00,2025-01-29 18:15:00,12,0.1,21379.8,21340.7,-3.91,-3.91,0,0,1.842,8.033,-2.12269,early,vol_mid,downtrend,adx_gt25,spread_low
