branch_name,attempt_name,rolling_window_trades,window_eligible,observed_trades,worst_window_net,worst_window_start_trade,worst_window_end_trade,worst_window_start_time,worst_window_end_time,longest_underwater_trades,underwater_trade_share,closed_balance_max_drawdown,max_losing_streak,curve_use,claim_boundary
cost_curve_drawdown_interaction_guard,c56_bal_rf,5,true,75,-87.58,60,64,2026-05-18 22:55:00,2026-05-19 18:15:00,39,0.893333333333,106.45,7,diagnostic_curve_quality_only_no_forward_pocket_filter,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_drawdown_interaction_guard,c56_bal_rf,10,true,75,-97.14,2,11,2026-04-15 16:45:00,2026-04-22 16:40:00,39,0.893333333333,106.45,7,diagnostic_curve_quality_only_no_forward_pocket_filter,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_drawdown_interaction_guard,c56_bal_rf,20,true,75,-66.07,49,68,2026-05-15 17:20:00,2026-05-20 16:35:00,39,0.893333333333,106.45,7,diagnostic_curve_quality_only_no_forward_pocket_filter,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_drawdown_interaction_guard,c56_bal_rf,50,true,75,26.89,19,68,2026-04-28 17:40:00,2026-05-20 16:35:00,39,0.893333333333,106.45,7,diagnostic_curve_quality_only_no_forward_pocket_filter,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,c56_bal_rf,5,true,75,-87.58,60,64,2026-05-18 22:55:00,2026-05-19 18:15:00,39,0.893333333333,106.45,7,diagnostic_curve_quality_only_no_forward_pocket_filter,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,c56_bal_rf,10,true,75,-97.14,2,11,2026-04-15 16:45:00,2026-04-22 16:40:00,39,0.893333333333,106.45,7,diagnostic_curve_quality_only_no_forward_pocket_filter,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,c56_bal_rf,20,true,75,-66.07,49,68,2026-05-15 17:20:00,2026-05-20 16:35:00,39,0.893333333333,106.45,7,diagnostic_curve_quality_only_no_forward_pocket_filter,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,c56_bal_rf,50,true,75,26.89,19,68,2026-04-28 17:40:00,2026-05-20 16:35:00,39,0.893333333333,106.45,7,diagnostic_curve_quality_only_no_forward_pocket_filter,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,c56_bal_rf,5,true,75,-87.58,60,64,2026-05-18 22:55:00,2026-05-19 18:15:00,39,0.893333333333,106.45,7,diagnostic_curve_quality_only_no_forward_pocket_filter,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,c56_bal_rf,10,true,75,-97.14,2,11,2026-04-15 16:45:00,2026-04-22 16:40:00,39,0.893333333333,106.45,7,diagnostic_curve_quality_only_no_forward_pocket_filter,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
