branch_name,attempt_name,trade_count,total_volume,net_profit,net_per_lot,expectancy_per_lot,lot_normalized_use,claim_boundary
cost_curve_drawdown_interaction_guard,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_noncalendar_state_holdout,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direction_symmetry_no_side_drop,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
drawdown_underwater_recovery_quality,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_direction_interaction_guard,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_predeclared_macro_state,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_identity_strict_handoff,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
subject_swap_negative_control,c56_bal_rf,75,7.5,1.45,0.193333333333,0.193333333333,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_drawdown_interaction_guard,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_noncalendar_state_holdout,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direction_symmetry_no_side_drop,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
drawdown_underwater_recovery_quality,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_direction_interaction_guard,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_predeclared_macro_state,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_identity_strict_handoff,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
subject_swap_negative_control,c56_plain_rf,77,7.7,147.06,19.0987012987,19.0987012987,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_drawdown_interaction_guard,m48_bal_rf,277,27.7,57.84,2.0880866426,2.0880866426,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,m48_bal_rf,277,27.7,57.84,2.0880866426,2.0880866426,diagnostic_scale_separation_only_no_lot_optimization,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
