side,pnl,entry_hour,entry_month,entry_quarter,source
long,-10.4,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-3.76,17,2025-01,2025Q1,parent_kept(부모 유지)
long,1.71,18,2025-01,2025Q1,parent_kept(부모 유지)
long,-16.61,19,2025-01,2025Q1,parent_kept(부모 유지)
short,-1.795,19,2025-01,2025Q1,synthetic_short(합성 숏)
short,-0.72,20,2025-01,2025Q1,parent_kept(부모 유지)
long,5.16,20,2025-01,2025Q1,parent_kept(부모 유지)
long,-1.0,16,2025-01,2025Q1,parent_kept(부모 유지)
long,2.53,17,2025-01,2025Q1,parent_kept(부모 유지)
long,0.29,17,2025-01,2025Q1,parent_kept(부모 유지)
long,8.63,18,2025-01,2025Q1,parent_kept(부모 유지)
long,-1.61,19,2025-01,2025Q1,parent_kept(부모 유지)
long,1.19,19,2025-01,2025Q1,parent_kept(부모 유지)
long,4.63,20,2025-01,2025Q1,parent_kept(부모 유지)
long,3.32,21,2025-01,2025Q1,parent_kept(부모 유지)
long,2.82,16,2025-01,2025Q1,parent_kept(부모 유지)
long,-0.02,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-2.55,18,2025-01,2025Q1,parent_kept(부모 유지)
long,-3.95,19,2025-01,2025Q1,parent_kept(부모 유지)
long,-5.08,20,2025-01,2025Q1,parent_kept(부모 유지)
long,-13.58,16,2025-01,2025Q1,parent_kept(부모 유지)
short,11.53,17,2025-01,2025Q1,synthetic_short(합성 숏)
long,-3.27,18,2025-01,2025Q1,parent_kept(부모 유지)
long,-3.96,18,2025-01,2025Q1,parent_kept(부모 유지)
long,4.89,16,2025-01,2025Q1,parent_kept(부모 유지)
long,6.26,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-2.28,18,2025-01,2025Q1,parent_kept(부모 유지)
long,-1.47,18,2025-01,2025Q1,parent_kept(부모 유지)
short,-11.245,19,2025-01,2025Q1,synthetic_short(합성 숏)
long,6.56,20,2025-01,2025Q1,parent_kept(부모 유지)
long,-4.96,20,2025-01,2025Q1,parent_kept(부모 유지)
long,-8.15,21,2025-01,2025Q1,parent_kept(부모 유지)
short,-17.23,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-4.05,18,2025-01,2025Q1,parent_kept(부모 유지)
short,-7.43,19,2025-01,2025Q1,parent_kept(부모 유지)
long,9.12,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-1.2,18,2025-01,2025Q1,parent_kept(부모 유지)
long,3.77,18,2025-01,2025Q1,parent_kept(부모 유지)
long,0.98,20,2025-01,2025Q1,parent_kept(부모 유지)
long,-6.55,20,2025-01,2025Q1,parent_kept(부모 유지)
long,12.72,21,2025-01,2025Q1,parent_kept(부모 유지)
long,-2.31,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-6.95,17,2025-01,2025Q1,parent_kept(부모 유지)
long,10.96,20,2025-01,2025Q1,parent_kept(부모 유지)
long,-2.15,20,2025-01,2025Q1,parent_kept(부모 유지)
long,-0.68,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-7.23,18,2025-01,2025Q1,parent_kept(부모 유지)
long,4.38,19,2025-01,2025Q1,parent_kept(부모 유지)
long,0.89,19,2025-01,2025Q1,parent_kept(부모 유지)
long,6.56,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-5.66,18,2025-01,2025Q1,parent_kept(부모 유지)
long,3.14,18,2025-01,2025Q1,parent_kept(부모 유지)
long,-3.65,19,2025-01,2025Q1,parent_kept(부모 유지)
long,16.15,21,2025-01,2025Q1,parent_kept(부모 유지)
long,6.42,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-1.66,18,2025-01,2025Q1,parent_kept(부모 유지)
long,-3.94,21,2025-01,2025Q1,parent_kept(부모 유지)
short,-3.61,17,2025-01,2025Q1,parent_kept(부모 유지)
long,0.84,17,2025-01,2025Q1,parent_kept(부모 유지)
long,1.89,18,2025-01,2025Q1,parent_kept(부모 유지)
long,8.31,19,2025-01,2025Q1,parent_kept(부모 유지)
long,6.53,16,2025-01,2025Q1,parent_kept(부모 유지)
long,6.47,18,2025-01,2025Q1,parent_kept(부모 유지)
long,0.44,20,2025-01,2025Q1,parent_kept(부모 유지)
long,-3.46,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-4.31,20,2025-01,2025Q1,parent_kept(부모 유지)
long,1.67,16,2025-01,2025Q1,parent_kept(부모 유지)
long,12.01,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-10.25,18,2025-01,2025Q1,parent_kept(부모 유지)
short,-1.8,19,2025-01,2025Q1,parent_kept(부모 유지)
long,18.07,17,2025-01,2025Q1,parent_kept(부모 유지)
long,2.13,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-1.8,18,2025-01,2025Q1,parent_kept(부모 유지)
long,12.48,18,2025-01,2025Q1,parent_kept(부모 유지)
long,0.66,19,2025-01,2025Q1,parent_kept(부모 유지)
long,-2.77,20,2025-01,2025Q1,parent_kept(부모 유지)
long,7.51,21,2025-01,2025Q1,parent_kept(부모 유지)
long,-6.31,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-7.12,19,2025-01,2025Q1,parent_kept(부모 유지)
long,19.68,21,2025-01,2025Q1,parent_kept(부모 유지)
long,-14.23,17,2025-01,2025Q1,parent_kept(부모 유지)
long,-12.82,17,2025-01,2025Q1,parent_kept(부모 유지)
long,5.86,18,2025-01,2025Q1,parent_kept(부모 유지)
long,-6.2,19,2025-01,2025Q1,parent_kept(부모 유지)
long,3.88,20,2025-01,2025Q1,parent_kept(부모 유지)
long,7.57,16,2025-01,2025Q1,parent_kept(부모 유지)
long,5.33,17,2025-01,2025Q1,parent_kept(부모 유지)
long,2.51,18,2025-01,2025Q1,parent_kept(부모 유지)
short,8.217,20,2025-01,2025Q1,synthetic_short(합성 숏)
short,34.11,21,2025-01,2025Q1,parent_kept(부모 유지)
long,13.43,17,2025-02,2025Q1,parent_kept(부모 유지)
long,3.63,17,2025-02,2025Q1,parent_kept(부모 유지)
long,1.29,18,2025-02,2025Q1,parent_kept(부모 유지)
long,-3.82,18,2025-02,2025Q1,parent_kept(부모 유지)
long,8.41,20,2025-02,2025Q1,parent_kept(부모 유지)
long,-0.43,21,2025-02,2025Q1,parent_kept(부모 유지)
long,10.42,22,2025-02,2025Q1,parent_kept(부모 유지)
long,2.58,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-8.52,19,2025-02,2025Q1,parent_kept(부모 유지)
long,2.54,20,2025-02,2025Q1,parent_kept(부모 유지)
long,-11.18,22,2025-02,2025Q1,parent_kept(부모 유지)
long,2.34,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-0.62,17,2025-02,2025Q1,parent_kept(부모 유지)
long,8.81,18,2025-02,2025Q1,parent_kept(부모 유지)
long,1.63,20,2025-02,2025Q1,parent_kept(부모 유지)
long,-6.02,17,2025-02,2025Q1,parent_kept(부모 유지)
long,3.68,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-16.5,16,2025-02,2025Q1,parent_kept(부모 유지)
short,-3.12,17,2025-02,2025Q1,parent_kept(부모 유지)
long,7.32,17,2025-02,2025Q1,parent_kept(부모 유지)
short,6.46,18,2025-02,2025Q1,parent_kept(부모 유지)
long,5.28,19,2025-02,2025Q1,parent_kept(부모 유지)
long,4.23,19,2025-02,2025Q1,parent_kept(부모 유지)
long,-10.38,20,2025-02,2025Q1,parent_kept(부모 유지)
long,6.94,17,2025-02,2025Q1,parent_kept(부모 유지)
long,2.11,19,2025-02,2025Q1,parent_kept(부모 유지)
long,4.97,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-0.2,19,2025-02,2025Q1,parent_kept(부모 유지)
long,9.39,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-5.0,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-0.63,19,2025-02,2025Q1,parent_kept(부모 유지)
long,5.39,16,2025-02,2025Q1,parent_kept(부모 유지)
long,11.58,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-4.35,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-1.8,18,2025-02,2025Q1,parent_kept(부모 유지)
long,-1.17,19,2025-02,2025Q1,parent_kept(부모 유지)
long,-0.27,20,2025-02,2025Q1,parent_kept(부모 유지)
long,4.31,20,2025-02,2025Q1,parent_kept(부모 유지)
short,2.98,17,2025-02,2025Q1,synthetic_short(합성 숏)
long,6.11,21,2025-02,2025Q1,parent_kept(부모 유지)
long,0.88,17,2025-02,2025Q1,parent_kept(부모 유지)
long,4.96,17,2025-02,2025Q1,parent_kept(부모 유지)
long,-13.61,16,2025-02,2025Q1,parent_kept(부모 유지)
short,-5.32,17,2025-02,2025Q1,parent_kept(부모 유지)
