run_id,candidate_id,candidate_alias,candidate_role,intervention_id,design_links,weakness_axis,weakness_bucket,counterfactual_action,baseline_trade_count,baseline_net_profit,baseline_profit_factor,baseline_expectancy,baseline_dd_percent,kept_trade_count,kept_net_profit,kept_profit_factor,kept_expectancy,kept_dd_percent,removed_trade_count,removed_net_profit,removed_profit_factor,trade_retention,net_delta,pf_delta,dd_percent_delta,counterfactual_read
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s258_short_tight_control,s258_stc,stress_challenger,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,remove trades closed in 2024-07,378,102.89,1.046751,0.272196,39.85108,337,283.52,1.151555,0.841306,21.866484,41,-180.63,0.452769,0.891534,180.63,0.104804,-17.984596,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s258_short_tight_control,s258_stc,stress_challenger,cf_remove_all_common_weak_axes,d01_vol_low_volatility_bandwidth_ablation;d05_july_2024_holdout_stress;d06_monday_session_timing_ablation;d07_late_session_interaction_engineering,compound,vol_low_or_2024_07_or_Monday_or_late,remove trades touching any common weak axis,378,102.89,1.046751,0.272196,39.85108,166,409.36,1.694737,2.466024,8.989395,212,-306.47,0.809834,0.439153,306.47,0.647986,-30.861685,overpruned_not_candidate_solution
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s258_short_tight_control,s258_stc,stress_challenger,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,remove trades attributed to late session,378,102.89,1.046751,0.272196,39.85108,328,231.74,1.137114,0.706524,25.086505,50,-128.85,0.747694,0.867725,128.85,0.090363,-14.764575,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s258_short_tight_control,s258_stc,stress_challenger,cf_remove_monday,d06_monday_session_timing_ablation,weekday,Monday,remove trades closed on Monday,378,102.89,1.046751,0.272196,39.85108,312,238.44,1.136538,0.764231,30.82987,66,-135.55,0.701754,0.825397,135.55,0.089787,-9.02121,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s258_short_tight_control,s258_stc,stress_challenger,cf_remove_vol_low,d01_vol_low_volatility_bandwidth_ablation;d02_vol_low_atr_to_historical_vol_replacement,volatility_regime,vol_low,remove trades whose close attribution is vol_low,378,102.89,1.046751,0.272196,39.85108,269,385.2,1.308515,1.43197,24.552734,109,-282.31,0.703537,0.71164,282.31,0.261765,-15.298346,damage_concentrated_but_filter_costly
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s258_short_tight_control,s258_stc,stress_challenger,cf_remove_vol_low_or_july,d01_vol_low_volatility_bandwidth_ablation;d05_july_2024_holdout_stress,compound,vol_low_or_2024_07,remove trades that are vol_low or closed in 2024-07,378,102.89,1.046751,0.272196,39.85108,241,416.93,1.379393,1.73,20.81068,137,-314.04,0.714996,0.637566,314.04,0.332642,-19.0404,overpruned_not_candidate_solution
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s258_short_tight_control,s258_stc,stress_challenger,cf_remove_vol_low_or_late,d01_vol_low_volatility_bandwidth_ablation;d07_late_session_interaction_engineering,compound,vol_low_or_late,remove trades that are vol_low or late session,378,102.89,1.046751,0.272196,39.85108,225,415.19,1.496205,1.845289,11.198659,153,-312.3,0.771056,0.595238,312.3,0.449455,-28.652421,overpruned_not_candidate_solution
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,remove trades closed in 2024-07,352,44.49,1.024065,0.126392,39.081551,315,170.53,1.106079,0.541365,23.744859,37,-126.04,0.477468,0.894886,126.04,0.082015,-15.336692,promising_counterfactual_requires_mt5_variant
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,cf_remove_all_common_weak_axes,d01_vol_low_volatility_bandwidth_ablation;d05_july_2024_holdout_stress;d06_monday_session_timing_ablation;d07_late_session_interaction_engineering,compound,vol_low_or_2024_07_or_Monday_or_late,remove trades touching any common weak axis,352,44.49,1.024065,0.126392,39.081551,158,397.12,1.794272,2.513418,8.161964,194,-352.63,0.73856,0.448864,352.63,0.770207,-30.919587,overpruned_not_candidate_solution
run267C_stage267_execute_prioritized_ablation_replacement_variants_v1,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,remove trades attributed to late session,352,44.49,1.024065,0.126392,39.081551,307,180.28,1.12556,0.587231,23.547381,45,-135.79,0.671187,0.872159,135.79,0.101495,-15.53417,promising_counterfactual_requires_mt5_variant
