rule_id,split,month,full_trade_count,full_net_profit,full_profit_factor,month_trade_count,month_trade_share,month_net_profit,month_net_share,month_positive_net_share,month_profit_factor,leave_one_out_trade_count,leave_one_out_net_profit,leave_one_out_profit_factor,leave_one_out_status
baseline_all_trades,oos,2025-10,51,62.65,1.224214,12,0.235294,75.35,1.202713,0.5,2.544374,39,-12.7,0.944933,fail
baseline_all_trades,oos,2025-11,51,62.65,1.224214,3,0.058824,24.48,0.390742,0.162442,1.827027,48,38.17,1.15279,pass
baseline_all_trades,oos,2025-12,51,62.65,1.224214,11,0.215686,-23.6,-0.376696,0.0,0.516096,40,86.25,1.373943,pass
baseline_all_trades,oos,2026-01,51,62.65,1.224214,11,0.215686,-12.27,-0.19585,0.0,0.768709,40,74.92,1.330963,pass
baseline_all_trades,oos,2026-02,51,62.65,1.224214,2,0.039216,44.08,0.703591,0.292502,,49,18.57,1.066459,pass
baseline_all_trades,oos,2026-03,51,62.65,1.224214,7,0.137255,-52.18,-0.832881,0.0,0.335202,44,114.83,1.571493,pass
baseline_all_trades,oos,2026-04,51,62.65,1.224214,5,0.098039,6.79,0.10838,0.045056,1.327703,46,55.86,1.215926,pass
baseline_all_trades,validation,2025-01,77,208.01,1.771465,6,0.077922,38.82,0.186626,0.15767,1.917948,71,169.19,1.744216,pass
baseline_all_trades,validation,2025-02,77,208.01,1.771465,7,0.090909,-7.6,-0.036537,0.0,0.724238,70,215.61,1.890693,pass
baseline_all_trades,validation,2025-03,77,208.01,1.771465,3,0.038961,-12.13,-0.058315,0.0,0.239498,74,220.14,1.867786,pass
baseline_all_trades,validation,2025-04,77,208.01,1.771465,1,0.012987,9.72,0.046729,0.039478,,76,198.29,1.735415,pass
baseline_all_trades,validation,2025-05,77,208.01,1.771465,9,0.116883,48.79,0.234556,0.198164,2.669176,68,159.22,1.662313,pass
baseline_all_trades,validation,2025-06,77,208.01,1.771465,14,0.181818,23.1,0.111052,0.093822,1.515855,63,184.91,1.82237,pass
baseline_all_trades,validation,2025-07,77,208.01,1.771465,15,0.194805,46.91,0.225518,0.190528,2.686803,62,161.1,1.666198,pass
baseline_all_trades,validation,2025-08,77,208.01,1.771465,8,0.103896,-18.47,-0.088794,0.0,0.634691,69,226.48,2.033825,pass
baseline_all_trades,validation,2025-09,77,208.01,1.771465,14,0.181818,78.87,0.379164,0.320336,3.50779,63,129.14,1.542195,pass
exclude_adx_20_25,oos,2025-10,37,49.16,1.280866,11,0.297297,73.51,1.495321,0.66555,2.506661,26,-24.35,0.807113,fail
exclude_adx_20_25,oos,2025-11,37,49.16,1.280866,1,0.027027,23.34,0.474776,0.211317,,36,25.82,1.147518,pass
exclude_adx_20_25,oos,2025-12,37,49.16,1.280866,8,0.216216,-19.44,-0.395443,0.0,0.49375,29,68.6,1.502086,pass
exclude_adx_20_25,oos,2026-01,37,49.16,1.280866,9,0.243243,-17.46,-0.355167,0.0,0.670877,28,66.62,1.546155,pass
exclude_adx_20_25,oos,2026-02,37,49.16,1.280866,1,0.027027,13.6,0.276648,0.123133,,36,35.56,1.203165,pass
exclude_adx_20_25,oos,2026-03,37,49.16,1.280866,4,0.108108,-18.2,-0.37022,0.0,0.200351,33,67.36,1.442372,pass
exclude_adx_20_25,oos,2026-04,37,49.16,1.280866,3,0.081081,-6.19,-0.125915,0.0,0.485453,34,55.35,1.339571,pass
exclude_adx_20_25,validation,2025-01,64,245.95,2.259087,6,0.09375,38.82,0.157837,0.154649,1.917948,58,207.13,2.353349,pass
exclude_adx_20_25,validation,2025-02,64,245.95,2.259087,5,0.078125,-5.07,-0.020614,0.0,0.797443,59,251.02,2.473901,pass
exclude_adx_20_25,validation,2025-03,64,245.95,2.259087,2,0.03125,1.92,0.007806,0.007649,2.010526,62,244.03,2.261528,pass
