branch_id,package_id,record_view,tier_scope,split,rows,signal_count,signal_rate,source_entry_signal_count,missing_required_feature_count_max,fallback_count_design_proxy,net_profit_claim,claim_boundary
run278A_cp277C_directional_asymmetry_reversal_surface_q01_base_signal,cp277C_directional_asymmetry_reversal_surface,Tier A used(Tier A 사용),Tier A,train,29222,8961,0.306653,113,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q01_base_signal,cp277C_directional_asymmetry_reversal_surface,Tier A used(Tier A 사용),Tier A,validation,9844,2788,0.283218,50,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q01_base_signal,cp277C_directional_asymmetry_reversal_surface,Tier A used(Tier A 사용),Tier A,oos,7584,2246,0.29615,28,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q01_base_signal,cp277C_directional_asymmetry_reversal_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,train,29222,9237,0.316097,1,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q01_base_signal,cp277C_directional_asymmetry_reversal_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,validation,9844,2778,0.282202,72,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q01_base_signal,cp277C_directional_asymmetry_reversal_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,oos,7584,1980,0.261076,76,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q01_base_signal,cp277C_directional_asymmetry_reversal_surface,actual routed total(실제 라우팅 전체),Tier A,train,29222,8961,0.306653,113,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q01_base_signal,cp277C_directional_asymmetry_reversal_surface,actual routed total(실제 라우팅 전체),Tier A,validation,9844,2788,0.283218,50,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q01_base_signal,cp277C_directional_asymmetry_reversal_surface,actual routed total(실제 라우팅 전체),Tier A,oos,7584,2246,0.29615,28,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q02_side_reversal_strict,cp277C_directional_asymmetry_reversal_surface,Tier A used(Tier A 사용),Tier A,train,29222,4044,0.138389,113,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q02_side_reversal_strict,cp277C_directional_asymmetry_reversal_surface,Tier A used(Tier A 사용),Tier A,validation,9844,1258,0.127794,50,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q02_side_reversal_strict,cp277C_directional_asymmetry_reversal_surface,Tier A used(Tier A 사용),Tier A,oos,7584,1031,0.135944,28,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q02_side_reversal_strict,cp277C_directional_asymmetry_reversal_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,train,29222,2692,0.0921224,1,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q02_side_reversal_strict,cp277C_directional_asymmetry_reversal_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,validation,9844,819,0.0831979,72,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q02_side_reversal_strict,cp277C_directional_asymmetry_reversal_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,oos,7584,509,0.067115,76,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q02_side_reversal_strict,cp277C_directional_asymmetry_reversal_surface,actual routed total(실제 라우팅 전체),Tier A,train,29222,4044,0.138389,113,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q02_side_reversal_strict,cp277C_directional_asymmetry_reversal_surface,actual routed total(실제 라우팅 전체),Tier A,validation,9844,1258,0.127794,50,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q02_side_reversal_strict,cp277C_directional_asymmetry_reversal_surface,actual routed total(실제 라우팅 전체),Tier A,oos,7584,1031,0.135944,28,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q03_session_pressure_cap,cp277C_directional_asymmetry_reversal_surface,Tier A used(Tier A 사용),Tier A,train,29222,5649,0.193313,113,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q03_session_pressure_cap,cp277C_directional_asymmetry_reversal_surface,Tier A used(Tier A 사용),Tier A,validation,9844,1743,0.177062,50,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q03_session_pressure_cap,cp277C_directional_asymmetry_reversal_surface,Tier A used(Tier A 사용),Tier A,oos,7584,1445,0.190533,28,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q03_session_pressure_cap,cp277C_directional_asymmetry_reversal_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,train,29222,5744,0.196564,1,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q03_session_pressure_cap,cp277C_directional_asymmetry_reversal_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,validation,9844,1661,0.168732,72,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q03_session_pressure_cap,cp277C_directional_asymmetry_reversal_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,oos,7584,1228,0.16192,76,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q03_session_pressure_cap,cp277C_directional_asymmetry_reversal_surface,actual routed total(실제 라우팅 전체),Tier A,train,29222,5649,0.193313,113,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q03_session_pressure_cap,cp277C_directional_asymmetry_reversal_surface,actual routed total(실제 라우팅 전체),Tier A,validation,9844,1743,0.177062,50,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277C_directional_asymmetry_reversal_surface_q03_session_pressure_cap,cp277C_directional_asymmetry_reversal_surface,actual routed total(실제 라우팅 전체),Tier A,oos,7584,1445,0.190533,28,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q01_base_signal,cp277D_macro_squeeze_failure_contrast_surface,Tier A used(Tier A 사용),Tier A,train,29222,8563,0.293033,-553,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q01_base_signal,cp277D_macro_squeeze_failure_contrast_surface,Tier A used(Tier A 사용),Tier A,validation,9844,3069,0.311764,-457,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q01_base_signal,cp277D_macro_squeeze_failure_contrast_surface,Tier A used(Tier A 사용),Tier A,oos,7584,2363,0.311577,-111,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q01_base_signal,cp277D_macro_squeeze_failure_contrast_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,train,29222,8563,0.293033,-553,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q01_base_signal,cp277D_macro_squeeze_failure_contrast_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,validation,9844,3069,0.311764,-457,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q01_base_signal,cp277D_macro_squeeze_failure_contrast_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,oos,7584,2363,0.311577,-111,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q01_base_signal,cp277D_macro_squeeze_failure_contrast_surface,actual routed total(실제 라우팅 전체),Tier A,train,29222,8563,0.293033,-553,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q01_base_signal,cp277D_macro_squeeze_failure_contrast_surface,actual routed total(실제 라우팅 전체),Tier A,validation,9844,3069,0.311764,-457,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q01_base_signal,cp277D_macro_squeeze_failure_contrast_surface,actual routed total(실제 라우팅 전체),Tier A,oos,7584,2363,0.311577,-111,0,0,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q02_contrast_reward_focus,cp277D_macro_squeeze_failure_contrast_surface,Tier A used(Tier A 사용),Tier A,train,29222,7042,0.240983,-553,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q02_contrast_reward_focus,cp277D_macro_squeeze_failure_contrast_surface,Tier A used(Tier A 사용),Tier A,validation,9844,2504,0.254368,-457,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q02_contrast_reward_focus,cp277D_macro_squeeze_failure_contrast_surface,Tier A used(Tier A 사용),Tier A,oos,7584,1928,0.254219,-111,0,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run278A_cp277D_macro_squeeze_failure_contrast_surface_q02_contrast_reward_focus,cp277D_macro_squeeze_failure_contrast_surface,Tier B fallback stress(Tier B 대체 스트레스),Tier B,train,29222,7042,0.240983,-553,2,,not_claimed_no_mt5_runtime_output,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
