attempt_name,artifact_slug,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
m48_breadth_soft_veto_replay,m48_plain,session_slice,feature_missing,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
m48_breadth_soft_veto_replay,m48_plain,hour,16,28,62.13,140.0,-77.87,1.797868,2.218929,0.678571,31.12
m48_breadth_soft_veto_replay,m48_plain,hour,17,13,62.18,94.2,-32.02,2.941911,4.783077,0.769231,24.44
m48_breadth_soft_veto_replay,m48_plain,hour,18,11,16.73,27.53,-10.8,2.549074,1.520909,0.545455,5.82
m48_breadth_soft_veto_replay,m48_plain,hour,19,7,42.03,55.06,-13.03,4.225633,6.004286,0.714286,13.03
m48_breadth_soft_veto_replay,m48_plain,hour,20,7,14.55,21.64,-7.09,3.052186,2.078571,0.714286,4.62
m48_breadth_soft_veto_replay,m48_plain,hour,21,5,-3.46,9.24,-12.7,0.727559,-0.692,0.2,7.22
m48_breadth_soft_veto_replay,m48_plain,hour,22,4,-3.83,13.78,-17.61,0.78251,-0.9575,0.75,17.61
m48_breadth_soft_veto_replay,m48_plain,month,2026-04,26,54.16,110.82,-56.66,1.955877,2.083077,0.653846,28.34
m48_breadth_soft_veto_replay,m48_plain,month,2026-05,49,136.17,250.63,-114.46,2.189673,2.77898,0.653061,37.07
m48_breadth_soft_veto_replay,m48_plain,volatility_regime,vol_missing,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
m48_breadth_soft_veto_replay,m48_plain,adx_bucket,adx_missing,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
m48_breadth_soft_veto_replay,m48_plain,trend_regime,trend_missing,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
m48_breadth_soft_veto_replay,m48_plain,vix_regime,vix_missing,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
m48_breadth_soft_veto_replay,m48_plain,vix_change_regime,vix_change_missing,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
m48_breadth_soft_veto_replay,m48_plain,usd_regime,usdx_missing,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
m48_breadth_soft_veto_replay,m48_plain,usd_change_regime,usdx_change_missing,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
m48_breadth_soft_veto_replay,m48_plain,rate_regime,us10yr_missing,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
m48_breadth_soft_veto_replay,m48_plain,rate_change_regime,us10yr_change_missing,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
m48_breadth_soft_veto_replay,m48_plain,spread_regime,spread_low,75,190.33,361.45,-171.12,2.11226,2.537733,0.653333,37.07
