attempt_name,artifact_slug,direction,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
m48_breadth_soft_veto_replay,m48_plain,buy,56,179.97,297.75,-117.78,2.528018,3.21375,0.678571,34.93
m48_breadth_soft_veto_replay,m48_plain,sell,19,10.36,63.7,-53.34,1.194226,0.545263,0.578947,38.3
