attempt_name,queue_id,candidate_id,candidate_alias,candidate_role,source_test_id,guard_rule_family,tier,attempt_role,record_view_prefix,set_path,set_sha256,ini_path,ini_sha256,common_telemetry_path,common_summary_path,execution_status
run267ab_q01_s264_aia_rep_trend_strength_adx_ta_2024,run267AB_q01_s264_aia_rep_trend_strength_adx,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,Tier A,tier_only_total,mt5_ta_s264_aia_rep_trend_strength_adx_state_guard,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q01_s264_aia_rep_trend_strength_adx_ta_2024.set,6944c90fa202116a31052469c1ae7ea343e2dc284d4d8ed3b33867d78b6722b4,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q01_s264_aia_rep_trend_strength_adx_ta_2024.ini,ad85d584bdf8a0d6b0b4cc91c6e5bdaea42e2dee456099eb43ab1eff0bbf41cf,OPV2/s267ac/run267AC_noncalendar_state_guard/s264_aia/run267ab_q01_s264_aia_rep_trend_strength_adx/telemetry/run267ab_q01_s264_aia_rep_trend_strength_adx_ta_2024_telemetry.csv,OPV2/s267ac/run267AC_noncalendar_state_guard/s264_aia/run267ab_q01_s264_aia_rep_trend_strength_adx/telemetry/run267ab_q01_s264_aia_rep_trend_strength_adx_ta_2024_summary.csv,not_executed
run267ab_q01_s264_aia_rep_trend_strength_adx_rt_2024,run267AB_q01_s264_aia_rep_trend_strength_adx,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,Tier A+B,routed_total,mt5_rt_s264_aia_rep_trend_strength_adx_state_guard,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q01_s264_aia_rep_trend_strength_adx_rt_2024.set,c9285ae12c01fbf37a2ffafaf032f951f67941e38a82886848f645b58759946b,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q01_s264_aia_rep_trend_strength_adx_rt_2024.ini,9895c066549ef0bcdb5b54698586482f7751cf98c605176fc26f8809328ca2c8,OPV2/s267ac/run267AC_noncalendar_state_guard/s264_aia/run267ab_q01_s264_aia_rep_trend_strength_adx/telemetry/run267ab_q01_s264_aia_rep_trend_strength_adx_rt_2024_telemetry.csv,OPV2/s267ac/run267AC_noncalendar_state_guard/s264_aia/run267ab_q01_s264_aia_rep_trend_strength_adx/telemetry/run267ab_q01_s264_aia_rep_trend_strength_adx_rt_2024_summary.csv,not_executed
run267ab_q02_s264_aia_rep_volatility_atr_ta_2024,run267AB_q02_s264_aia_rep_volatility_atr,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,Tier A,tier_only_total,mt5_ta_s264_aia_rep_volatility_atr_state_guard,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q02_s264_aia_rep_volatility_atr_ta_2024.set,0a4cd5b38985ea28c9f7a34c2b00f6f5365600a8f639d7e5b8793c5c43f0d4f6,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q02_s264_aia_rep_volatility_atr_ta_2024.ini,cb2a78a9c1b002892ae4013cea0ac4a0d867ceb89211b0cda16cbc62f367f3e3,OPV2/s267ac/run267AC_noncalendar_state_guard/s264_aia/run267ab_q02_s264_aia_rep_volatility_atr/telemetry/run267ab_q02_s264_aia_rep_volatility_atr_ta_2024_telemetry.csv,OPV2/s267ac/run267AC_noncalendar_state_guard/s264_aia/run267ab_q02_s264_aia_rep_volatility_atr/telemetry/run267ab_q02_s264_aia_rep_volatility_atr_ta_2024_summary.csv,not_executed
run267ab_q02_s264_aia_rep_volatility_atr_rt_2024,run267AB_q02_s264_aia_rep_volatility_atr,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,Tier A+B,routed_total,mt5_rt_s264_aia_rep_volatility_atr_state_guard,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q02_s264_aia_rep_volatility_atr_rt_2024.set,6d9039e7e1700330c6aa0dd590fc78bb42963119d94604547edb93fc9cf0ed91,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q02_s264_aia_rep_volatility_atr_rt_2024.ini,7ff54b49e77823abaab6ad434d9f0f72f83ad6b89b6dc29ee5ea29c7285b561a,OPV2/s267ac/run267AC_noncalendar_state_guard/s264_aia/run267ab_q02_s264_aia_rep_volatility_atr/telemetry/run267ab_q02_s264_aia_rep_volatility_atr_rt_2024_telemetry.csv,OPV2/s267ac/run267AC_noncalendar_state_guard/s264_aia/run267ab_q02_s264_aia_rep_volatility_atr/telemetry/run267ab_q02_s264_aia_rep_volatility_atr_rt_2024_summary.csv,not_executed
run267ab_q03_s262_lih_rep_trend_strength_adx_ta_2024,run267AB_q03_s262_lih_rep_trend_strength_adx,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,constructive_axis_soft_state_guard,Tier A,tier_only_total,mt5_ta_s262_lih_rep_trend_strength_adx_state_guard,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q03_s262_lih_rep_trend_strength_adx_ta_2024.set,ffe37036ebe2518b0fefa6c278ba10a212cf11948f9804dedf7a38f71f70ad5c,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q03_s262_lih_rep_trend_strength_adx_ta_2024.ini,92e152655d4b9cfed4e114eae3642911906b8dab6d7e82de7739ab68d1c8f9d3,OPV2/s267ac/run267AC_noncalendar_state_guard/s262_lih/run267ab_q03_s262_lih_rep_trend_strength_adx/telemetry/run267ab_q03_s262_lih_rep_trend_strength_adx_ta_2024_telemetry.csv,OPV2/s267ac/run267AC_noncalendar_state_guard/s262_lih/run267ab_q03_s262_lih_rep_trend_strength_adx/telemetry/run267ab_q03_s262_lih_rep_trend_strength_adx_ta_2024_summary.csv,not_executed
run267ab_q03_s262_lih_rep_trend_strength_adx_rt_2024,run267AB_q03_s262_lih_rep_trend_strength_adx,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,constructive_axis_soft_state_guard,Tier A+B,routed_total,mt5_rt_s262_lih_rep_trend_strength_adx_state_guard,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q03_s262_lih_rep_trend_strength_adx_rt_2024.set,9a47e988d96e0a8cf0349cd47435f5df74a7d1bffae46076c7709f4d4c18dfde,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q03_s262_lih_rep_trend_strength_adx_rt_2024.ini,2c00ee5986b1b05f48a600ef60251d9b83a0c28a942581bd86a5adf189d2b2d9,OPV2/s267ac/run267AC_noncalendar_state_guard/s262_lih/run267ab_q03_s262_lih_rep_trend_strength_adx/telemetry/run267ab_q03_s262_lih_rep_trend_strength_adx_rt_2024_telemetry.csv,OPV2/s267ac/run267AC_noncalendar_state_guard/s262_lih/run267ab_q03_s262_lih_rep_trend_strength_adx/telemetry/run267ab_q03_s262_lih_rep_trend_strength_adx_rt_2024_summary.csv,not_executed
run267ab_q04_s258_stc_abl_price_return_range_ta_2024,run267AB_q04_s258_stc_abl_price_return_range,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,constructive_axis_soft_state_guard,Tier A,tier_only_total,mt5_ta_s258_stc_abl_price_return_range_state_guard,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q04_s258_stc_abl_price_return_range_ta_2024.set,e5d050d80f8fa862d0b63af4bb85d9d68dc5fce04e3864e6ca3dd08c3eafd24c,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q04_s258_stc_abl_price_return_range_ta_2024.ini,a33bd99beec76f263dcc0fd8cdb7a34564e7b729d252156d558bfaad956e6bae,OPV2/s267ac/run267AC_noncalendar_state_guard/s258_stc/run267ab_q04_s258_stc_abl_price_return_range/telemetry/run267ab_q04_s258_stc_abl_price_return_range_ta_2024_telemetry.csv,OPV2/s267ac/run267AC_noncalendar_state_guard/s258_stc/run267ab_q04_s258_stc_abl_price_return_range/telemetry/run267ab_q04_s258_stc_abl_price_return_range_ta_2024_summary.csv,not_executed
run267ab_q04_s258_stc_abl_price_return_range_rt_2024,run267AB_q04_s258_stc_abl_price_return_range,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,constructive_axis_soft_state_guard,Tier A+B,routed_total,mt5_rt_s258_stc_abl_price_return_range_state_guard,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q04_s258_stc_abl_price_return_range_rt_2024.set,7dc66581991509c8dbe7025423ccf42a25296ff19a0e83248c7e12fa2eaa11b7,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q04_s258_stc_abl_price_return_range_rt_2024.ini,60cf2f56183e510603f1d72495d15160de5fecf475f928da06ccc57cd4f81117,OPV2/s267ac/run267AC_noncalendar_state_guard/s258_stc/run267ab_q04_s258_stc_abl_price_return_range/telemetry/run267ab_q04_s258_stc_abl_price_return_range_rt_2024_telemetry.csv,OPV2/s267ac/run267AC_noncalendar_state_guard/s258_stc/run267ab_q04_s258_stc_abl_price_return_range/telemetry/run267ab_q04_s258_stc_abl_price_return_range_rt_2024_summary.csv,not_executed
run267ab_q05_s258_stc_abl_trend_strength_direction_ta_2024,run267AB_q05_s258_stc_abl_trend_strength_direction,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,constructive_axis_soft_state_guard,Tier A,tier_only_total,mt5_ta_s258_stc_abl_trend_strength_direction_state_guard,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q05_s258_stc_abl_trend_strength_direction_ta_2024.set,2cee98e97430010d8d8fc28c01873a0ee749b39435a3f772301bda1536bdbb6c,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q05_s258_stc_abl_trend_strength_direction_ta_2024.ini,bef78e7e084f68694ed5571c2f7b60606017d0f314d8010fae27487ca73a4f99,OPV2/s267ac/run267AC_noncalendar_state_guard/s258_stc/run267ab_q05_s258_stc_abl_trend_strength_direction/telemetry/run267ab_q05_s258_stc_abl_trend_strength_direction_ta_2024_telemetry.csv,OPV2/s267ac/run267AC_noncalendar_state_guard/s258_stc/run267ab_q05_s258_stc_abl_trend_strength_direction/telemetry/run267ab_q05_s258_stc_abl_trend_strength_direction_ta_2024_summary.csv,not_executed
run267ab_q05_s258_stc_abl_trend_strength_direction_rt_2024,run267AB_q05_s258_stc_abl_trend_strength_direction,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,constructive_axis_soft_state_guard,Tier A+B,routed_total,mt5_rt_s258_stc_abl_trend_strength_direction_state_guard,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q05_s258_stc_abl_trend_strength_direction_rt_2024.set,5ad9d3d2aa48c4e26bf41c7f171350078350f5c777917b8aaf619811f7449b43,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AC/noncalendar_state_guard_score_table_materialization/mt5/run267ab_q05_s258_stc_abl_trend_strength_direction_rt_2024.ini,e8c6e773eb1d17f81b19234c33796e0197e1012994a09bf083857d07e15b6934,OPV2/s267ac/run267AC_noncalendar_state_guard/s258_stc/run267ab_q05_s258_stc_abl_trend_strength_direction/telemetry/run267ab_q05_s258_stc_abl_trend_strength_direction_rt_2024_telemetry.csv,OPV2/s267ac/run267AC_noncalendar_state_guard/s258_stc/run267ab_q05_s258_stc_abl_trend_strength_direction/telemetry/run267ab_q05_s258_stc_abl_trend_strength_direction_rt_2024_summary.csv,not_executed
