axis,value,candidate_rows,scout_clue_count,meaningful_signal_count,final_like_reference_count,dual_positive_count,best_candidate,best_rank_score,best_val_net_pf_dd_calendar_tpd,best_oos_net_pf_dd_calendar_tpd,best_signal_to_trade_ratio
label_mode,density_quota_utility,1296,0,0,0,31,f78b_02009,31882.128793945874,2.4483866090272093/1.6969696969696972/0.02341935017329888/0.025830258302583026,3.0870961592082207/999.0/0.0/0.010309278350515464,1.0
label_mode,net_utility,1296,1,0,0,76,f78b_02234,132951.56324761093,42.453781865295134/1.1535921177206854/0.21303624788330125/1.2140221402214022,54.58482783574718/1.2804966996097884/0.22925237368512172/1.2525773195876289,0.1753525444512569
side,long,1296,0,0,0,13,f78b_00826,30142.04736360326,4.0433862912848815/1.172651515151519/0.04683870034661595/0.14391143911439114,2.288709221481956/1.1343750000000001/0.08090320968958623/0.14432989690721648,0.2271186440677966
side,short,1296,1,0,0,94,f78b_02234,132951.56324761093,42.453781865295134/1.1535921177206854/0.21303624788330125/1.2140221402214022,54.58482783574718/1.2804966996097884/0.22925237368512172/1.2525773195876289,0.1753525444512569
hold_bars,12,864,0,0,0,33,f78b_01776,35236.92705422899,1.8096770588461986/2.5454545454545454/0.011709675086658536/0.01107011070110701,1.5435480796041103/999.0/0.0/0.005154639175257732,0.5714285714285714
hold_bars,18,864,1,0,0,72,f78b_02234,132951.56324761093,42.453781865295134/1.1535921177206854/0.21303624788330125/1.2140221402214022,54.58482783574718/1.2804966996097884/0.22925237368512172/1.2525773195876289,0.1753525444512569
hold_bars,6,864,0,0,0,2,f78b_01462,29481.48783971933,0.6387095501810127/1.0731707317073171/0.03637096049640604/0.08856088560885608,1.3129029642609678/1.4683544303797469/0.013483868281582545/0.04639175257731959,0.4177215189873418
feature_set,contract_core,864,1,0,0,39,f78b_02234,132951.56324761093,42.453781865295134/1.1535921177206854/0.21303624788330125/1.2140221402214022,54.58482783574718/1.2804966996097884/0.22925237368512172/1.2525773195876289,0.1753525444512569
feature_set,full58,864,0,0,0,19,f78b_01776,35236.92705422899,1.8096770588461986/2.5454545454545454/0.011709675086658536/0.01107011070110701,1.5435480796041103/999.0/0.0/0.005154639175257732,0.5714285714285714
feature_set,price_vol_session,864,0,0,0,49,f78b_02572,31873.079928755786,25.12080144725814/1.1510559191751077/0.14252981031608214/0.7232472324723247,37.93225050797227/1.6528244274809152/0.07362901759030137/0.422680412371134,0.288981288981289
model,extra_trees_d8_l60,1296,0,0,0,60,f78b_01776,35236.92705422899,1.8096770588461986/2.5454545454545454/0.011709675086658536/0.01107011070110701,1.5435480796041103/999.0/0.0/0.005154639175257732,0.5714285714285714
model,logistic_l2_balanced,1296,1,0,0,47,f78b_02234,132951.56324761093,42.453781865295134/1.1535921177206854/0.21303624788330125/1.2140221402214022,54.58482783574718/1.2804966996097884/0.22925237368512172/1.2525773195876289,0.1753525444512569
session,all,864,1,0,0,42,f78b_02234,132951.56324761093,42.453781865295134/1.1535921177206854/0.21303624788330125/1.2140221402214022,54.58482783574718/1.2804966996097884/0.22925237368512172/1.2525773195876289,0.1753525444512569
session,cash_mid,864,0,0,0,48,f78b_02572,31873.079928755786,25.12080144725814/1.1510559191751077/0.14252981031608214/0.7232472324723247,37.93225050797227/1.6528244274809152/0.07362901759030137/0.422680412371134,0.288981288981289
session,cash_open,864,0,0,0,17,f78b_01776,35236.92705422899,1.8096770588461986/2.5454545454545454/0.011709675086658536/0.01107011070110701,1.5435480796041103/999.0/0.0/0.005154639175257732,0.5714285714285714
risk_filter,mean_revert,864,0,0,0,43,f78b_01776,35236.92705422899,1.8096770588461986/2.5454545454545454/0.011709675086658536/0.01107011070110701,1.5435480796041103/999.0/0.0/0.005154639175257732,0.5714285714285714
risk_filter,none,864,1,0,0,15,f78b_02234,132951.56324761093,42.453781865295134/1.1535921177206854/0.21303624788330125/1.2140221402214022,54.58482783574718/1.2804966996097884/0.22925237368512172/1.2525773195876289,0.1753525444512569
risk_filter,trend_aligned,864,0,0,0,49,f78b_01810,32737.92575016965,2.129031833936704/1.9090909090909094/0.02341935017331707/0.01845018450184502,1.9161286505430335/2.714285714285714/0.01117741712818315/0.015463917525773196,0.5333333333333333
cooldown_bars,0,1296,0,0,0,35,f78b_01847,35236.92705422899,5.4290311765385955/2.545454545454546/0.011709675086658536/0.033210332103321034,1.5435480796041103/999.0/0.0/0.005154639175257732,0.9090909090909091
cooldown_bars,6,1296,1,0,0,72,f78b_02234,132951.56324761093,42.453781865295134/1.1535921177206854/0.21303624788330125/1.2140221402214022,54.58482783574718/1.2804966996097884/0.22925237368512172/1.2525773195876289,0.1753525444512569
