label_name,side,hold_bars,tp_price_units,sl_price_units,tp_broker_points,sl_broker_points,label_mode,utility_quantile,train_valid_rows,train_positive_rows,train_positive_rate,validation_valid_rows,oos_valid_rows
long_h6_tp10_sl7_net_utility_q57,long,6,10.0,7.0,1000.0,700.0,net_utility,0.58,29222,9442,0.3231127232906714,9844,7584
long_h6_tp10_sl7_density_quota_utility_q52,long,6,10.0,7.0,1000.0,700.0,density_quota_utility,0.52,29222,10079,0.3449113681472863,9844,7584
long_h12_tp18_sl12_net_utility_q57,long,12,18.0,12.0,1800.0,1200.0,net_utility,0.58,29222,10577,0.3619533228389569,9844,7584
long_h12_tp18_sl12_density_quota_utility_q52,long,12,18.0,12.0,1800.0,1200.0,density_quota_utility,0.52,29222,11508,0.39381288070631715,9844,7584
long_h18_tp26_sl16_net_utility_q57,long,18,26.0,16.0,2600.0,1600.0,net_utility,0.58,29222,10535,0.36051604955170763,9844,7584
long_h18_tp26_sl16_density_quota_utility_q52,long,18,26.0,16.0,2600.0,1600.0,density_quota_utility,0.52,29222,11357,0.3886455410307303,9844,7584
short_h6_tp10_sl7_net_utility_q57,short,6,10.0,7.0,1000.0,700.0,net_utility,0.58,29222,9060,0.3100403805352132,9844,7584
short_h6_tp10_sl7_density_quota_utility_q52,short,6,10.0,7.0,1000.0,700.0,density_quota_utility,0.52,29222,9655,0.3304017521045787,9844,7584
short_h12_tp18_sl12_net_utility_q57,short,12,18.0,12.0,1800.0,1200.0,net_utility,0.58,29222,10118,0.34624597905687493,9844,7584
short_h12_tp18_sl12_density_quota_utility_q52,short,12,18.0,12.0,1800.0,1200.0,density_quota_utility,0.52,29222,10973,0.3755047566901649,9844,7584
short_h18_tp26_sl16_net_utility_q57,short,18,26.0,16.0,2600.0,1600.0,net_utility,0.58,29222,9913,0.3392307165833961,9844,7584
short_h18_tp26_sl16_density_quota_utility_q52,short,18,26.0,16.0,2600.0,1600.0,density_quota_utility,0.52,29222,10699,0.3661282595304907,9844,7584
