trade_index,signal_time,next_bar_proxy_entry_time,mt5_open_time,entry_diff_minutes_mt5_minus_proxy,proxy_pnl_contract,runtime_net_profit,runtime_minus_proxy,proxy_exit_offset_bars,runtime_hold_minutes
1,2025-01-03 19:55:00,2025-01-03 20:00:00,2025-01-03 19:55:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,5,25.0
2,2025-01-03 22:00:00,2025-01-03 22:05:00,2025-01-03 22:00:00,-5.0,-1.5258061476546378,2.61,4.1358061476546375,1,5.35
3,2025-01-06 19:35:00,2025-01-06 19:40:00,2025-01-06 19:35:00,-5.0,2.199999561734594,2.61,0.4100004382654059,1,5.75
4,2025-01-06 20:10:00,2025-01-06 20:15:00,2025-01-06 20:10:00,-5.0,2.199999561734594,2.71,0.510000438265406,6,7.516666666666667
5,2025-01-06 21:30:00,2025-01-06 21:35:00,2025-01-06 21:30:00,-5.0,-1.5258061476546378,2.63,4.155806147654638,3,27.116666666666667
6,2025-01-07 22:00:00,2025-01-07 22:05:00,2025-01-07 22:00:00,-5.0,2.199999561734594,2.61,0.4100004382654059,1,8.716666666666667
7,2025-01-13 21:45:00,2025-01-13 21:50:00,2025-01-13 21:45:00,-5.0,-1.5258061476546378,2.67,4.195806147654638,1,2.566666666666667
8,2025-01-15 19:15:00,2025-01-15 19:20:00,2025-01-15 19:15:00,-5.0,-1.5258061476546378,-1.68,-0.1541938523453621,2,2.716666666666667
9,2025-01-21 22:00:00,2025-01-21 22:05:00,2025-01-21 22:00:00,-5.0,-1.5258061476546378,-1.66,-0.13419385234536207,5,28.033333333333335
10,2025-01-22 18:00:00,2025-01-22 18:05:00,2025-01-22 18:00:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,1,3.45
11,2025-01-22 19:25:00,2025-01-22 19:30:00,2025-01-22 19:25:00,-5.0,2.199999561734594,2.62,0.4200004382654061,9,48.86666666666667
12,2025-01-23 17:10:00,2025-01-23 17:15:00,2025-01-23 17:10:00,-5.0,-1.5258061476546378,-1.63,-0.10419385234536205,4,2.566666666666667
13,2025-01-23 18:25:00,2025-01-23 18:30:00,2025-01-23 18:25:00,-5.0,-1.5258061476546378,-1.63,-0.10419385234536205,4,2.3833333333333333
14,2025-01-24 17:05:00,2025-01-24 17:10:00,2025-01-24 17:05:00,-5.0,2.199999561734594,2.78,0.5800004382654058,2,11.233333333333333
15,2025-01-24 19:05:00,2025-01-24 19:10:00,2025-01-24 19:05:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,3,2.1333333333333333
16,2025-01-24 20:20:00,2025-01-24 20:25:00,2025-01-24 20:20:00,-5.0,2.199999561734594,2.63,0.4300004382654059,3,21.816666666666666
17,2025-01-27 18:35:00,2025-01-27 18:40:00,2025-01-27 18:35:00,-5.0,-1.5258061476546378,-1.7,-0.1741938523453621,1,0.05
18,2025-01-28 20:40:00,2025-01-28 20:45:00,2025-01-28 20:40:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,2,39.583333333333336
19,2025-01-28 21:20:00,2025-01-28 21:25:00,2025-01-28 21:20:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,2,10.75
20,2025-01-30 21:30:00,2025-01-30 21:35:00,2025-01-30 21:30:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,1,17.65
21,2025-01-31 19:05:00,2025-01-31 19:10:00,2025-01-31 19:05:00,-5.0,-1.5258061476546378,-1.67,-0.14419385234536208,3,8.083333333333334
22,2025-02-04 18:55:00,2025-02-04 19:00:00,2025-02-04 18:56:35,-3.4166666666666665,2.199999561734594,2.66,0.46000043826540615,4,19.633333333333333
23,2025-02-04 19:45:00,2025-02-04 19:50:00,2025-02-04 19:45:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,2,13.133333333333333
24,2025-02-04 20:35:00,2025-02-04 20:40:00,2025-02-04 20:35:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,6,31.316666666666666
25,2025-02-05 20:10:00,2025-02-05 20:15:00,2025-02-05 20:10:00,-5.0,2.199999561734594,2.66,0.46000043826540615,3,16.516666666666666
26,2025-02-05 21:15:00,2025-02-05 21:20:00,2025-02-05 21:15:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,13,66.25
27,2025-02-06 18:40:00,2025-02-06 18:45:00,2025-02-06 18:40:00,-5.0,-1.5258061476546378,2.61,4.1358061476546375,2,20.816666666666666
28,2025-02-06 19:55:00,2025-02-06 20:00:00,2025-02-06 19:55:00,-5.0,-1.5258061476546378,-1.65,-0.12419385234536207,2,36.25
29,2025-02-06 20:50:00,2025-02-06 20:55:00,2025-02-06 20:50:00,-5.0,2.222176976671435,2.83,0.6078230233285651,7,37.31666666666667
30,2025-02-07 21:25:00,2025-02-07 21:30:00,2025-02-07 21:25:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,1,15.083333333333334
31,2025-02-07 22:00:00,2025-02-07 22:05:00,2025-02-07 22:00:00,-5.0,-1.5258061476546378,2.64,4.165806147654638,1,2.9833333333333334
32,2025-02-10 17:05:00,2025-02-10 17:10:00,2025-02-10 17:05:00,-5.0,-1.5258061476546378,-1.76,-0.23419385234536216,3,0.4
33,2025-02-10 18:20:00,2025-02-10 18:25:00,2025-02-10 18:20:00,-5.0,2.199999561734594,-1.63,-3.829999561734594,9,38.266666666666666
34,2025-02-10 19:35:00,2025-02-10 19:40:00,2025-02-10 19:35:00,-5.0,-1.5258061476546378,-1.63,-0.10419385234536205,4,8.116666666666667
35,2025-02-11 18:30:00,2025-02-11 18:35:00,2025-02-11 18:30:00,-5.0,2.199999561734594,-1.62,-3.819999561734594,4,5.733333333333333
36,2025-02-11 19:20:00,2025-02-11 19:25:00,2025-02-11 19:20:00,-5.0,2.199999561734594,-1.68,-3.8799995617345937,6,2.566666666666667
37,2025-02-11 20:25:00,2025-02-11 20:30:00,2025-02-11 20:25:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,1,5.466666666666667
38,2025-02-12 20:50:00,2025-02-12 20:55:00,2025-02-12 20:50:00,-5.0,2.199999561734594,-1.61,-3.8099995617345943,3,2.2
39,2025-02-12 21:40:00,2025-02-12 21:45:00,2025-02-12 21:40:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,1,7.516666666666667
40,2025-02-13 18:40:00,2025-02-13 18:45:00,2025-02-13 18:40:00,-5.0,2.199999561734594,-1.61,-3.8099995617345943,3,7.666666666666667
41,2025-02-13 19:30:00,2025-02-13 19:35:00,2025-02-13 19:30:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,3,15.116666666666667
42,2025-02-14 17:10:00,2025-02-14 17:15:00,2025-02-14 17:10:00,-5.0,2.199999561734594,-1.62,-3.819999561734594,1,0.5166666666666667
43,2025-02-14 18:20:00,2025-02-14 18:25:00,2025-02-14 18:20:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,1,7.466666666666667
44,2025-02-14 19:15:00,2025-02-14 19:20:00,2025-02-14 19:15:00,-5.0,2.199999561734594,-1.62,-3.819999561734594,3,34.43333333333333
45,2025-02-18 16:35:00,2025-02-18 16:40:00,2025-02-18 16:35:00,-5.0,2.199999561734594,2.69,0.49000043826540596,1,9.633333333333333
46,2025-02-18 17:10:00,2025-02-18 17:15:00,2025-02-18 17:10:00,-5.0,2.199999561734594,-1.62,-3.819999561734594,1,3.283333333333333
47,2025-02-18 17:50:00,2025-02-18 17:55:00,2025-02-18 17:50:00,-5.0,-1.5258061476546378,-1.65,-0.12419385234536207,4,2.066666666666667
48,2025-02-18 20:55:00,2025-02-18 21:00:00,2025-02-18 20:55:00,-5.0,2.199999561734594,2.77,0.570000438265406,2,12.25
49,2025-02-18 21:50:00,2025-02-18 21:55:00,2025-02-18 21:50:00,-5.0,-1.5258061476546378,-1.67,-0.14419385234536208,12,64.5
50,2025-02-19 20:15:00,2025-02-19 20:20:00,2025-02-19 20:15:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,3,1.6833333333333333
51,2025-02-20 20:55:00,2025-02-20 21:00:00,2025-02-20 20:55:00,-5.0,-1.5258061476546378,-1.66,-0.13419385234536207,2,1.7
52,2025-02-21 16:35:00,2025-02-21 16:40:00,2025-02-21 16:35:00,-5.0,-1.5258061476546378,-1.63,-0.10419385234536205,2,0.43333333333333335
53,2025-02-21 17:15:00,2025-02-21 17:20:00,2025-02-21 17:15:00,-5.0,2.199999561734594,3.13,0.9300004382654059,1,6.733333333333333
54,2025-02-21 17:55:00,2025-02-21 18:00:00,2025-02-21 17:55:00,-5.0,2.199999561734594,-1.72,-3.9199995617345937,1,2.6333333333333333
55,2025-02-21 20:35:00,2025-02-21 20:40:00,2025-02-21 20:35:00,-5.0,2.199999561734594,-1.65,-3.849999561734594,2,1.1833333333333333
56,2025-02-24 21:30:00,2025-02-24 21:35:00,2025-02-24 21:30:00,-5.0,2.199999561734594,-1.61,-3.8099995617345943,2,1.4833333333333334
57,2025-02-25 22:00:00,2025-02-25 22:05:00,2025-02-25 22:00:00,-5.0,2.199999561734594,-1.62,-3.819999561734594,2,2.15
58,2025-02-27 21:55:00,2025-02-27 22:00:00,2025-02-27 21:55:00,-5.0,2.199999561734594,-1.65,-3.849999561734594,1,1.6
59,2025-03-19 19:45:00,2025-03-19 19:50:00,2025-03-19 19:45:00,-5.0,-1.5258061476546378,2.67,4.195806147654638,1,21.05
60,2025-03-19 20:35:00,2025-03-19 20:40:00,2025-03-19 20:35:00,-5.0,2.199999561734594,-1.61,-3.8099995617345943,2,1.4166666666666667
61,2025-03-24 16:35:00,2025-03-24 16:40:00,2025-03-24 16:35:00,-5.0,2.199999561734594,-1.62,-3.819999561734594,1,1.8
62,2025-03-24 17:20:00,2025-03-24 17:25:00,2025-03-24 17:20:00,-5.0,2.199999561734594,-1.63,-3.829999561734594,3,12.416666666666666
63,2025-03-24 18:35:00,2025-03-24 18:40:00,2025-03-24 18:35:00,-5.0,-1.5258061476546378,-1.63,-0.10419385234536205,3,31.016666666666666
64,2025-03-25 16:35:00,2025-03-25 16:40:00,2025-03-25 16:35:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,1,6.766666666666667
65,2025-03-25 17:15:00,2025-03-25 17:20:00,2025-03-25 17:15:00,-5.0,-1.5258061476546378,-1.67,-0.14419385234536208,2,1.1166666666666667
66,2025-03-25 18:55:00,2025-03-25 19:00:00,2025-03-25 18:55:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,3,16.116666666666667
67,2025-03-25 21:00:00,2025-03-25 21:05:00,2025-03-25 21:00:00,-5.0,-1.5258061476546378,-1.67,-0.14419385234536208,2,10.233333333333333
68,2025-03-26 17:10:00,2025-03-26 17:15:00,2025-03-26 17:10:00,-5.0,2.199999561734594,2.61,0.4100004382654059,1,9.033333333333333
69,2025-03-26 17:45:00,2025-03-26 17:50:00,2025-03-26 17:45:00,-5.0,-1.5258061476546378,-1.65,-0.12419385234536207,1,7.7
70,2025-04-02 21:15:00,2025-04-02 21:20:00,2025-04-02 21:15:00,-5.0,-1.5258061476546378,2.61,4.1358061476546375,1,3.8833333333333333
71,2025-04-03 21:10:00,2025-04-03 21:15:00,2025-04-03 21:10:00,-5.0,-1.5258061476546378,2.71,4.235806147654638,2,3.8333333333333335
72,2025-04-21 21:00:00,2025-04-21 21:05:00,2025-04-21 21:00:00,-5.0,-1.5258061476546378,-1.66,-0.13419385234536207,1,7.033333333333333
73,2025-04-21 21:35:00,2025-04-21 21:40:00,2025-04-21 21:35:00,-5.0,2.199999561734594,2.62,0.4200004382654061,1,6.3
74,2025-05-02 19:00:00,2025-05-02 19:05:00,2025-05-02 19:00:00,-5.0,2.199999561734594,-1.76,-3.9599995617345938,1,1.05
75,2025-05-05 19:20:00,2025-05-05 19:25:00,2025-05-05 19:20:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,6,8.45
76,2025-05-05 20:25:00,2025-05-05 20:30:00,2025-05-05 20:25:00,-5.0,-1.5258061476546378,-1.65,-0.12419385234536207,1,6.616666666666666
77,2025-05-05 21:00:00,2025-05-05 21:05:00,2025-05-05 21:00:00,-5.0,-1.5258061476546378,-1.67,-0.14419385234536208,2,5.683333333333334
78,2025-05-05 22:00:00,2025-05-05 22:05:00,2025-05-05 22:00:00,-5.0,2.199999561734594,2.61,0.4100004382654059,4,10.6
79,2025-05-08 21:10:00,2025-05-08 21:15:00,2025-05-08 21:10:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,2,6.1
80,2025-05-08 21:50:00,2025-05-08 21:55:00,2025-05-08 21:50:00,-5.0,2.199999561734594,2.62,0.4200004382654061,2,10.9
81,2025-05-09 17:15:00,2025-05-09 17:20:00,2025-05-09 17:15:00,-5.0,2.199999561734594,2.61,0.4100004382654059,1,3.1166666666666667
82,2025-05-09 21:45:00,2025-05-09 21:50:00,2025-05-09 21:45:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,4,3.0
83,2025-05-12 21:50:00,2025-05-12 21:55:00,2025-05-12 21:50:00,-5.0,-1.5258061476546378,2.62,4.145806147654638,3,10.133333333333333
84,2025-05-13 19:10:00,2025-05-13 19:15:00,2025-05-13 19:10:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,3,3.2333333333333334
85,2025-05-13 21:45:00,2025-05-13 21:50:00,2025-05-13 21:45:00,-5.0,-1.5258061476546378,-1.72,-0.19419385234536213,2,11.516666666666667
86,2025-05-15 20:50:00,2025-05-15 20:55:00,2025-05-15 20:50:00,-5.0,2.199999561734594,2.61,0.4100004382654059,2,10.916666666666666
87,2025-05-15 21:40:00,2025-05-15 21:45:00,2025-05-15 21:40:00,-5.0,2.199999561734594,2.64,0.44000043826540614,2,9.233333333333333
88,2025-05-16 20:20:00,2025-05-16 20:25:00,2025-05-16 20:20:00,-5.0,-1.5258061476546378,-1.61,-0.08419385234536225,2,14.683333333333334
89,2025-05-16 21:30:00,2025-05-16 21:35:00,2025-05-16 21:30:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,2,8.883333333333333
90,2025-05-19 18:55:00,2025-05-19 19:00:00,2025-05-19 18:55:00,-5.0,-1.5258061476546378,-1.62,-0.09419385234536226,3,9.283333333333333
91,2025-05-19 21:00:00,2025-05-19 21:05:00,2025-05-19 21:00:00,-5.0,2.199999561734594,2.68,0.48000043826540617,3,15.516666666666667
92,2025-05-20 19:35:00,2025-05-20 19:40:00,2025-05-20 19:35:00,-5.0,2.199999561734594,-1.72,-3.9199995617345937,11,2.8333333333333335
93,2025-05-20 21:20:00,2025-05-20 21:25:00,2025-05-20 21:20:00,-5.0,2.199999561734594,2.71,0.510000438265406,1,1.25
94,2025-05-20 21:55:00,2025-05-20 22:00:00,2025-05-20 21:55:00,-5.0,2.199999561734594,2.68,0.48000043826540617,1,6.15
95,2025-05-21 19:50:00,2025-05-21 19:55:00,2025-05-21 19:50:00,-5.0,2.199999561734594,2.61,0.4100004382654059,1,6.45
96,2025-05-27 21:25:00,2025-05-27 21:30:00,2025-05-27 21:25:00,-5.0,2.199999561734594,2.62,0.4200004382654061,7,35.2
