axis,value,candidate_rows,scout_clue_count,meaningful_signal_count,final_like_reference_count,dual_positive_count,best_candidate,best_rank_score,best_val_net_pf_dd_calendar_tpd,best_oos_net_pf_dd_calendar_tpd,best_signal_to_trade_ratio
label_mode,density_quota_utility,1296,0,0,0,19,f78b_01233,30731.81849288632,2.0225802422398678/1.441860465116279/0.30516122953092695/0.02214022140221402,2.199999561734594/999.0/0.0/0.005154639175257732,1.0
label_mode,net_utility,1296,0,0,0,40,f78b_02218,30565.47362772313,12.939190970750492/1.361558673342924/1.6308383847954928/0.17343173431734318,11.106449400369804/1.8247694334650857/0.589032140722486/0.10309278350515463,0.3582887700534759
side,long,1296,0,0,0,11,f78b_01233,30731.81849288632,2.0225802422398678/1.441860465116279/0.30516122953092695/0.02214022140221402,2.199999561734594/999.0/0.0/0.005154639175257732,1.0
side,short,1296,0,0,0,48,f78b_02218,30565.47362772313,12.939190970750492/1.361558673342924/1.6308383847954928/0.17343173431734318,11.106449400369804/1.8247694334650857/0.589032140722486/0.10309278350515463,0.3582887700534759
hold_bars,12,864,0,0,0,17,f78b_01739,30557.74679524536,2.7677413841177154/1.590909090909091/0.4683870034660799/0.033210332103321034,1.7209673990988352/1.3864541832669324/0.4470966851267122/0.041237113402061855,1.0
hold_bars,18,864,0,0,0,36,f78b_01233,30731.81849288632,2.0225802422398678/1.441860465116279/0.30516122953092695/0.02214022140221402,2.199999561734594/999.0/0.0/0.005154639175257732,1.0
hold_bars,6,864,0,0,0,6,f78b_01606,29924.770827080927,2.2532253575830126/1.2382739212007507/0.8303224152353209/0.1033210332103321,1.4193545559578031/1.4020100502512562/0.43645152595703396/0.05670103092783505,0.3482142857142857
feature_set,contract_core,864,0,0,0,21,f78b_02258,30457.730681526147,6.067740726719606/1.441860465116279/1.2206449181237078/0.06642066420664207,1.4016126240083295/1.4674556213017749/0.5996772998921642/0.020618556701030927,0.5945945945945946
feature_set,full58,864,0,0,0,15,f78b_02218,30565.47362772313,12.939190970750492/1.361558673342924/1.6308383847954928/0.17343173431734318,11.106449400369804/1.8247694334650857/0.589032140722486/0.10309278350515463,0.3582887700534759
feature_set,price_vol_session,864,0,0,0,23,f78b_01233,30731.81849288632,2.0225802422398678/1.441860465116279/0.30516122953092695/0.02214022140221402,2.199999561734594/999.0/0.0/0.005154639175257732,1.0
model,extra_trees_d8_l60,1296,0,0,0,38,f78b_02218,30565.47362772313,12.939190970750492/1.361558673342924/1.6308383847954928/0.17343173431734318,11.106449400369804/1.8247694334650857/0.589032140722486/0.10309278350515463,0.3582887700534759
model,logistic_l2_balanced,1296,0,0,0,21,f78b_01233,30731.81849288632,2.0225802422398678/1.441860465116279/0.30516122953092695/0.02214022140221402,2.199999561734594/999.0/0.0/0.005154639175257732,1.0
session,all,864,0,0,0,21,f78b_02218,30565.47362772313,12.939190970750492/1.361558673342924/1.6308383847954928/0.17343173431734318,11.106449400369804/1.8247694334650857/0.589032140722486/0.10309278350515463,0.3582887700534759
session,cash_mid,864,0,0,0,27,f78b_01618,29924.770827080927,2.2532253575830126/1.2382739212007507/0.8303224152353209/0.1033210332103321,1.4193545559578031/1.4020100502512562/0.43645152595703396/0.05670103092783505,0.3482142857142857
session,cash_open,864,0,0,0,11,f78b_01233,30731.81849288632,2.0225802422398678/1.441860465116279/0.30516122953092695/0.02214022140221402,2.199999561734594/999.0/0.0/0.005154639175257732,1.0
risk_filter,mean_revert,864,0,0,0,9,f78b_01739,30557.74679524536,2.7677413841177154/1.590909090909091/0.4683870034660799/0.033210332103321034,1.7209673990988352/1.3864541832669324/0.4470966851267122/0.041237113402061855,1.0
risk_filter,none,864,0,0,0,8,f78b_02258,30457.730681526147,6.067740726719606/1.441860465116279/1.2206449181237078/0.06642066420664207,1.4016126240083295/1.4674556213017749/0.5996772998921642/0.020618556701030927,0.5945945945945946
risk_filter,trend_aligned,864,0,0,0,42,f78b_01233,30731.81849288632,2.0225802422398678/1.441860465116279/0.30516122953092695/0.02214022140221402,2.199999561734594/999.0/0.0/0.005154639175257732,1.0
cooldown_bars,0,1296,0,0,0,23,f78b_01233,30731.81849288632,2.0225802422398678/1.441860465116279/0.30516122953092695/0.02214022140221402,2.199999561734594/999.0/0.0/0.005154639175257732,1.0
cooldown_bars,6,1296,0,0,0,36,f78b_01234,30714.963657534317,1.348386828159912/1.441860465116279/0.30516122953092695/0.014760147601476014,2.199999561734594/999.0/0.0/0.005154639175257732,0.7142857142857143
