metric,value,scope,source
validation_net_profit,89.64,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
validation_pf,1.36,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
validation_trade_count,80,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
validation_dd,170.27,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
validation_recovery,0.53,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
oos_net_profit,190.55,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
oos_pf,1.74,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
oos_trade_count,81,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
oos_dd,88.32,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
oos_recovery,2.16,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
validation_worst_month_net,-77.4,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
validation_worst_session_net,35.83,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
validation_max_losing_streak,11,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
validation_top_10pct_contribution_share,2.13878,selected_candidate_scoreboard,stages/282_onnx_candidate_campaign__validation_first_asymmetric_confirmation_rebuild/02_runs/run282C/stability_scoreboard.csv
