adapter_id,split,view,decision_reason,count,contains_threshold_met,contains_side_filter_block,contains_threshold_or_margin_not_met
s158_valpf_lng53_risk0300_h3_cd5_sht54_lng53,validation_is,actual_routed_total,threshold_or_margin_not_met,9376,False,False,True
s158_valpf_lng53_risk0300_h3_cd5_sht54_lng53,validation_is,actual_routed_total,short_threshold_met,167,True,False,False
s158_valpf_lng53_risk0300_h3_cd5_sht54_lng53,validation_is,actual_routed_total,"side_filter_block_short_feature_range:index=1,value=1.000000|short_threshold_met",137,True,True,False
s158_valpf_lng53_risk0300_h3_cd5_sht54_lng53,validation_is,actual_routed_total,long_threshold_met,109,True,False,False
s158_valpf_lng53_risk0300_h3_cd5_sht54_lng53,validation_is,actual_routed_total,"side_filter_block_long_feature_range:index=1,value=1.000000|long_threshold_met",55,True,True,False
s158_valpf_lng53_risk0300_h3_cd5_sht54_lng53,oos,actual_routed_total,threshold_or_margin_not_met,7236,False,False,True
s158_valpf_lng53_risk0300_h3_cd5_sht54_lng53,oos,actual_routed_total,short_threshold_met,112,True,False,False
s158_valpf_lng53_risk0300_h3_cd5_sht54_lng53,oos,actual_routed_total,"side_filter_block_short_feature_range:index=1,value=1.000000|short_threshold_met",101,True,True,False
s158_valpf_lng53_risk0300_h3_cd5_sht54_lng53,oos,actual_routed_total,long_threshold_met,83,True,False,False
s158_valpf_lng53_risk0300_h3_cd5_sht54_lng53,oos,actual_routed_total,"side_filter_block_long_feature_range:index=1,value=1.000000|long_threshold_met",52,True,True,False
s158_valpf_sht55_risk0300_h3_cd5_sht55_lng52,validation_is,actual_routed_total,threshold_or_margin_not_met,9376,False,False,True
s158_valpf_sht55_risk0300_h3_cd5_sht55_lng52,validation_is,actual_routed_total,short_threshold_met,167,True,False,False
s158_valpf_sht55_risk0300_h3_cd5_sht55_lng52,validation_is,actual_routed_total,"side_filter_block_short_feature_range:index=1,value=1.000000|short_threshold_met",137,True,True,False
s158_valpf_sht55_risk0300_h3_cd5_sht55_lng52,validation_is,actual_routed_total,long_threshold_met,109,True,False,False
s158_valpf_sht55_risk0300_h3_cd5_sht55_lng52,validation_is,actual_routed_total,"side_filter_block_long_feature_range:index=1,value=1.000000|long_threshold_met",55,True,True,False
s158_valpf_sht55_risk0300_h3_cd5_sht55_lng52,oos,actual_routed_total,threshold_or_margin_not_met,7236,False,False,True
s158_valpf_sht55_risk0300_h3_cd5_sht55_lng52,oos,actual_routed_total,short_threshold_met,112,True,False,False
s158_valpf_sht55_risk0300_h3_cd5_sht55_lng52,oos,actual_routed_total,"side_filter_block_short_feature_range:index=1,value=1.000000|short_threshold_met",101,True,True,False
s158_valpf_sht55_risk0300_h3_cd5_sht55_lng52,oos,actual_routed_total,long_threshold_met,83,True,False,False
s158_valpf_sht55_risk0300_h3_cd5_sht55_lng52,oos,actual_routed_total,"side_filter_block_long_feature_range:index=1,value=1.000000|long_threshold_met",52,True,True,False
s158_valpf_sht55_lng53_risk0300_h3_cd5_sht55_lng53,validation_is,actual_routed_total,threshold_or_margin_not_met,9376,False,False,True
s158_valpf_sht55_lng53_risk0300_h3_cd5_sht55_lng53,validation_is,actual_routed_total,short_threshold_met,167,True,False,False
s158_valpf_sht55_lng53_risk0300_h3_cd5_sht55_lng53,validation_is,actual_routed_total,"side_filter_block_short_feature_range:index=1,value=1.000000|short_threshold_met",137,True,True,False
s158_valpf_sht55_lng53_risk0300_h3_cd5_sht55_lng53,validation_is,actual_routed_total,long_threshold_met,109,True,False,False
s158_valpf_sht55_lng53_risk0300_h3_cd5_sht55_lng53,validation_is,actual_routed_total,"side_filter_block_long_feature_range:index=1,value=1.000000|long_threshold_met",55,True,True,False
s158_valpf_sht55_lng53_risk0300_h3_cd5_sht55_lng53,oos,actual_routed_total,threshold_or_margin_not_met,7236,False,False,True
s158_valpf_sht55_lng53_risk0300_h3_cd5_sht55_lng53,oos,actual_routed_total,short_threshold_met,112,True,False,False
s158_valpf_sht55_lng53_risk0300_h3_cd5_sht55_lng53,oos,actual_routed_total,"side_filter_block_short_feature_range:index=1,value=1.000000|short_threshold_met",101,True,True,False
s158_valpf_sht55_lng53_risk0300_h3_cd5_sht55_lng53,oos,actual_routed_total,long_threshold_met,83,True,False,False
s158_valpf_sht55_lng53_risk0300_h3_cd5_sht55_lng53,oos,actual_routed_total,"side_filter_block_long_feature_range:index=1,value=1.000000|long_threshold_met",52,True,True,False
s158_valpf_lng53_risk0325_h3_cd5_sht54_lng53,validation_is,actual_routed_total,threshold_or_margin_not_met,9376,False,False,True
s158_valpf_lng53_risk0325_h3_cd5_sht54_lng53,validation_is,actual_routed_total,short_threshold_met,167,True,False,False
s158_valpf_lng53_risk0325_h3_cd5_sht54_lng53,validation_is,actual_routed_total,"side_filter_block_short_feature_range:index=1,value=1.000000|short_threshold_met",137,True,True,False
s158_valpf_lng53_risk0325_h3_cd5_sht54_lng53,validation_is,actual_routed_total,long_threshold_met,109,True,False,False
s158_valpf_lng53_risk0325_h3_cd5_sht54_lng53,validation_is,actual_routed_total,"side_filter_block_long_feature_range:index=1,value=1.000000|long_threshold_met",55,True,True,False
s158_valpf_lng53_risk0325_h3_cd5_sht54_lng53,oos,actual_routed_total,threshold_or_margin_not_met,7236,False,False,True
s158_valpf_lng53_risk0325_h3_cd5_sht54_lng53,oos,actual_routed_total,short_threshold_met,112,True,False,False
s158_valpf_lng53_risk0325_h3_cd5_sht54_lng53,oos,actual_routed_total,"side_filter_block_short_feature_range:index=1,value=1.000000|short_threshold_met",101,True,True,False
s158_valpf_lng53_risk0325_h3_cd5_sht54_lng53,oos,actual_routed_total,long_threshold_met,83,True,False,False
s158_valpf_lng53_risk0325_h3_cd5_sht54_lng53,oos,actual_routed_total,"side_filter_block_long_feature_range:index=1,value=1.000000|long_threshold_met",52,True,True,False
