axis,value,candidate_rows,scout_clue_count,meaningful_signal_count,final_like_reference_count,best_candidate,best_rank_score,best_val_net_pf_dd_tpd,best_oos_net_pf_dd_tpd
label_mode,dd_normalized,768,0,0,0,f79b_02008,35985.965734181074,8.516127335746821/1.4081632653061227/0.5961289135022754/0.16605166051660517,0.7806450057767914/1.073949579831933/0.7841933921666852/0.10309278350515463
label_mode,fill_path_net,1536,0,0,0,f79b_02371,41388.78691276258,8.037095173111059/3.696428571428572/0.19870963783409934/0.04428044280442804,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
label_mode,mae_mfe_asymmetry,768,0,0,0,f79b_02188,36625.74745472952,7.711530721838241/1.1764467087502792/1.5554351740102674/0.3173431734317343,3.3532251384503073/1.1531604538087514/0.8906449838635127/0.22164948453608246
entry_mode,next_bar_open_control,384,0,0,0,f79b_03016,36447.93109497379,3.4596767301471463/1.2321428571428577/0.9012901430332022/0.11070110701107011,2.59032206462299/1.5328467153284673/0.3974192756681873/0.05670103092783505
entry_mode,same_bar_open,2688,0,0,0,f79b_02371,41388.78691276258,8.037095173111059/3.696428571428572/0.19870963783409934/0.04428044280442804,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
fill_order,close_direction,384,0,0,0,f79b_02371,41388.78691276258,8.037095173111059/3.696428571428572/0.19870963783409934/0.04428044280442804,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
fill_order,pessimistic,2688,0,0,0,f79b_02188,36625.74745472952,7.711530721838241/1.1764467087502792/1.5554351740102674/0.3173431734317343,3.3532251384503073/1.1531604538087514/0.8906449838635127/0.22164948453608246
side,long,1536,0,0,0,f79b_02371,41388.78691276258,8.037095173111059/3.696428571428572/0.19870963783409934/0.04428044280442804,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
side,short,1536,0,0,0,f79b_02652,39099.49917956692,26.934026892494256/1.3012103174603176/2.2283866528537604/0.6826568265682657,19.71128639586398/1.3875130798744337/0.9935481891704626/0.5618556701030928
hold_bars,12,1920,0,0,0,f79b_02371,41388.78691276258,8.037095173111059/3.696428571428572/0.19870963783409934/0.04428044280442804,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
hold_bars,6,1152,0,0,0,f79b_01168,32462.78374004969,1.472580351806222/1.1190817790530845/1.330644896210447/0.13653136531365315,0.24838704729261663/1.0447284345047927/0.7061288915890032/0.08247422680412371
feature_set,contract_core,768,0,0,0,f79b_02371,41388.78691276258,8.037095173111059/3.696428571428572/0.19870963783409934/0.04428044280442804,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
feature_set,no_external,768,0,0,0,f79b_02430,37174.212284433444,4.8967732180544195/999.0/0.0/0.014760147601476014,0.33709670703997807/1.3584905660377358/0.0/0.010309278350515464
feature_set,no_session,768,0,0,0,f79b_02652,39099.49917956692,26.934026892494256/1.3012103174603176/2.2283866528537604/0.6826568265682657,19.71128639586398/1.3875130798744337/0.9935481891704626/0.5618556701030928
feature_set,runtime_fill_context,768,0,0,0,f79b_02528,37074.8574655164,2.6790317243703523/3.6964285714285716/0.19870963783408796/0.014760147601476014,0.33709670703997807/1.3584905660377358/0.0/0.010309278350515464
model,extra_trees_d7_l80,1536,0,0,0,f79b_02684,38839.718818131674,3.623789600679766/1.7327354260089687/0.19870963783409934/0.04428044280442804,3.1225800231071656/2.614678899082569/0.3867741164985091/0.030927835051546393
model,logistic_l2_balanced,1536,0,0,0,f79b_02371,41388.78691276258,8.037095173111059/3.696428571428572/0.19870963783409934/0.04428044280442804,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
session,all,1024,0,0,0,f79b_02584,36835.44027807467,7.770966193868973/1.2005494505494507/1.2987094187013895/0.28413284132841327,7.540321078525826/1.494186046511628/0.9935481891704626/0.17525773195876287
session,cash_mid,1024,0,0,0,f79b_02652,39099.49917956692,26.934026892494256/1.3012103174603176/2.2283866528537604/0.6826568265682657,19.71128639586398/1.3875130798744337/0.9935481891704626/0.5618556701030928
session,cash_open,1024,0,0,0,f79b_02371,41388.78691276258,8.037095173111059/3.696428571428572/0.19870963783409934/0.04428044280442804,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
risk_filter,none,1536,0,0,0,f79b_02369,38625.281958216896,5.517740836285959/1.6941964285714288/0.5961289135022754/0.07011070110701106,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
risk_filter,trend_aligned,1536,0,0,0,f79b_02371,41388.78691276258,8.037095173111059/3.696428571428572/0.19870963783409934/0.04428044280442804,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
cooldown_bars,0,1536,0,0,0,f79b_02371,41388.78691276258,8.037095173111059/3.696428571428572/0.19870963783409934/0.04428044280442804,3.566128321843979/2.2641509433962264/0.18806447866440976/0.041237113402061855
cooldown_bars,6,1536,0,0,0,f79b_02652,39099.49917956692,26.934026892494256/1.3012103174603176/2.2283866528537604/0.6826568265682657,19.71128639586398/1.3875130798744337/0.9935481891704626/0.5618556701030928
