candidate_id,label_name,side,entry_mode,fill_order,hold_bars,tp_price_units,sl_price_units,tp_broker_points,sl_broker_points,label_mode,utility_quantile,feature_set,feature_count,model,prob_quantile,prob_threshold,session,risk_filter,cooldown_bars,contract_pnl_scale,initial_balance,raw_signal_total,lifecycle_trade_total,overall_signal_to_trade_ratio,scout_clue,meaningful_signal,final_like_reference,dual_positive,rank_score,validation_raw_signal_count,validation_lifecycle_trade_count,validation_signal_to_trade_ratio,oos_raw_signal_count,oos_lifecycle_trade_count,oos_signal_to_trade_ratio,val_net,val_gross_profit,val_gross_loss,val_pf,val_dd_pct,val_trade_count,val_calendar_days,val_calendar_trades_day,val_active_days,val_active_trades_day,val_win_rate,val_avg_win,val_avg_loss,val_payoff,val_expectancy,val_recovery,val_avg_hold_bars,val_avg_mae_contract,val_avg_spread_cost_contract,val_max_consecutive_loss,val_time_under_water_trades,val_smooth_equity_proxy,oos_net,oos_gross_profit,oos_gross_loss,oos_pf,oos_dd_pct,oos_trade_count,oos_calendar_days,oos_calendar_trades_day,oos_active_days,oos_active_trades_day,oos_win_rate,oos_avg_win,oos_avg_loss,oos_payoff,oos_expectancy,oos_recovery,oos_avg_hold_bars,oos_avg_mae_contract,oos_avg_spread_cost_contract,oos_max_consecutive_loss,oos_time_under_water_trades,oos_smooth_equity_proxy
f79b_02371,long_same_h12_tp15_sl10_close_direction_fill_path_net_q60,long,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,contract_core,37,logistic_l2_balanced,0.82,0.528713963846453,cash_open,trend_aligned,0,0.08870965974736267,500.0,20,20,1.0,0,0,0,1,41388.78691276258,12,12,1.0,8,8,1.0,8.037095173111059,11.017739740622444,-2.9806445675113853,3.696428571428572,0.19870963783409934,12,271,0.04428044280442804,10,1.2,0.75,1.2241933045136049,-0.9935481891704617,1.2321428571428574,0.6697579310925882,8.089285714285431,1.0833333333333333,5.096296027769487,0.1064515916968352,1,1,1,3.566128321843979,6.387095501810112,-2.8209671799661327,2.2641509433962264,0.18806447866440976,8,194,0.041237113402061855,4,2.0,0.625,1.2774191003620223,-0.9403223933220443,1.3584905660377358,0.4457660402304974,3.792452830188661,1.125,6.024494767592767,0.0532257958484176,2,1,1
f79b_02652,short_same_h12_tp15_sl10_close_direction_fill_path_net_q60,short,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_session,54,logistic_l2_balanced,0.68,0.5186346863956499,cash_mid,trend_aligned,6,0.08870965974736267,500.0,1211,294,0.24277456647398843,0,0,0,1,39099.49917956692,774,185,0.23901808785529716,437,109,0.2494279176201373,26.934026892494256,116.35336391783584,-89.41933702534158,1.3012103174603176,2.2283866528537604,185,271,0.6826568265682657,92,2.010869565217391,0.5135135135135135,1.224772251766693,-0.993548189170462,1.2327255639097745,0.145589334554023,2.417356687898079,1.2432432432432432,3.7131466011874585,0.10615429445876294,5,48,1,19.71128639586398,70.57740529500174,-50.86611889913774,1.3875130798744337,0.9935481891704626,109,194,0.5618556701030928,57,1.912280701754386,0.5137614678899083,1.2603108088393167,-0.959738092436561,1.3131820220240176,0.18083748987031173,3.967857142857139,1.1743119266055047,4.210876639688522,0.07145603785154533,4,17,1
f79b_02684,short_same_h12_tp15_sl10_close_direction_fill_path_net_q60,short,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_session,54,extra_trees_d7_l80,0.82,0.5101318809697402,cash_open,trend_aligned,6,0.08870965974736267,500.0,27,18,0.6666666666666666,0,0,0,1,38839.718818131674,21,12,0.5714285714285714,6,6,1.0,3.623789600679766,8.569353131595234,-4.945563530915469,1.7327354260089687,0.19870963783409934,12,271,0.04428044280442804,12,1.0,0.5833333333333334,1.2241933045136049,-0.9891127061830938,1.2376681614349776,0.3019824667233138,3.647321428571302,1.0,4.649125417926364,0.10460347378543179,2,1,1,3.1225800231071656,5.056450605599672,-1.933870582492506,2.614678899082569,0.3867741164985091,6,194,0.030927835051546393,6,1.0,0.6666666666666666,1.264112651399918,-0.966935291246253,1.3073394495412844,0.5204300038511943,1.6146788990825358,1.1666666666666667,2.151948496038106,0.07096772779789012,2,3,1
f79b_02369,long_same_h12_tp15_sl10_close_direction_fill_path_net_q60,long,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,contract_core,37,logistic_l2_balanced,0.82,0.528713963846453,cash_open,none,0,0.08870965974736267,500.0,27,27,1.0,0,0,0,1,38625.281958216896,19,19,1.0,8,8,1.0,5.517740836285959,13.466126349649654,-7.948385513363695,1.6941964285714288,0.5961289135022754,19,271,0.07011070110701106,17,1.1176470588235294,0.5789473684210527,1.2241933045136049,-0.9935481891704618,1.2321428571428572,0.2904074124361031,1.8511904761904818,1.0526315789473684,6.382706708117307,0.1064515916968352,3,5,1,3.566128321843979,6.387095501810112,-2.8209671799661327,2.2641509433962264,0.18806447866440976,8,194,0.041237113402061855,4,2.0,0.625,1.2774191003620223,-0.9403223933220443,1.3584905660377358,0.4457660402304974,3.792452830188661,1.125,6.024494767592767,0.0532257958484176,2,1,1
f79b_02468,long_same_h12_tp15_sl10_close_direction_fill_path_net_q60,long,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_session,54,logistic_l2_balanced,0.82,0.5325054362641054,cash_open,trend_aligned,6,0.08870965974736267,500.0,78,42,0.5384615384615384,0,0,0,1,37874.11970446159,44,24,0.5454545454545454,34,18,0.5294117647058824,5.08483769671883,16.01386777759391,-10.929030080875078,1.4652597402597405,0.5961289135022867,24,271,0.08856088560885608,24,1.0,0.5416666666666666,1.231835982891839,-0.9935481891704616,1.239835164835165,0.21186823736328456,1.7059523809523542,1.0416666666666667,5.8902105201501955,0.10231180757529161,4,7,1,5.074192537549145,12.703223275822335,-7.629030738273189,1.6651162790697678,0.5641934359932292,18,194,0.09278350515463918,18,1.0,0.5555555555555556,1.2703223275822335,-0.9536288422841486,1.3320930232558141,0.2818995854193969,1.7987421383647713,1.0,4.640648717106071,0.0630824247092357,3,5,1
f79b_02672,short_same_h12_tp15_sl10_close_direction_fill_path_net_q60,short,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_session,54,extra_trees_d7_l80,0.68,0.5057588037876817,cash_open,trend_aligned,6,0.08870965974736267,500.0,64,30,0.46875,0,0,0,1,37650.97752352827,51,22,0.43137254901960786,13,8,0.6153846153846154,4.7548377624586395,14.69031965416326,-9.935481891704617,1.4785714285714289,0.5961289135022754,22,271,0.08118081180811808,22,1.0,0.5454545454545454,1.2241933045136049,-0.9935481891704617,1.2321428571428574,0.21612898920266543,1.5952380952381002,1.0,4.674474875242063,0.10645159169683521,3,5,1,3.4064509342987264,6.333869705961694,-2.927418771662968,2.1636363636363636,0.19870963783409934,8,194,0.041237113402061855,8,1.0,0.625,1.2667739411923389,-0.9758062572209893,1.298181818181818,0.4258063667873408,3.4285714285713085,1.0,2.0733665224452857,0.0731854692915742,2,1,1
f79b_02454,long_same_h12_tp15_sl10_close_direction_fill_path_net_q60,long,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_session,54,logistic_l2_balanced,0.68,0.5176270521036742,cash_open,none,6,0.08870965974736267,500.0,208,109,0.5240384615384616,0,0,0,1,37262.1117621529,130,66,0.5076923076923077,78,43,0.5512820512820513,7.61128880632372,40.39837904894896,-32.78709024262524,1.2321428571428572,1.2064513725641406,66,271,0.24354243542435425,66,1.0,0.5,1.2241933045136049,-0.9935481891704618,1.2321428571428572,0.11532255767157151,1.261764705882345,1.0,6.974810438493919,0.10645159169683518,5,19,1,7.770966193868971,27.73063963702556,-19.959673443156603,1.3893333333333326,1.1283868719864585,43,194,0.22164948453608246,43,1.0,0.5116279069767442,1.2604836198647982,-0.9504606401503144,1.3261818181818175,0.18072014404346445,1.3773584905660314,1.0,7.268023683408284,0.0668416971119663,6,19,1
f79b_02430,long_same_h12_tp15_sl10_close_direction_fill_path_net_q60,long,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_external,42,extra_trees_d7_l80,0.68,0.5052924809866587,cash_open,none,6,0.08870965974736267,500.0,9,6,0.6666666666666666,0,0,0,1,37174.212284433444,7,4,0.5714285714285714,2,2,1.0,4.8967732180544195,4.8967732180544195,0.0,999.0,0.0,4,271,0.014760147601476014,4,1.0,1.0,1.2241933045136049,0.0,0.0,1.2241933045136049,999.0,1.0,8.04574436493646,0.1064515916968352,0,0,1,0.33709670703997807,1.2774191003620223,-0.9403223933220443,1.3584905660377358,0.0,2,194,0.010309278350515464,2,1.0,0.5,1.2774191003620223,-0.9403223933220443,1.3584905660377358,0.16854835351998904,999.0,1.5,1.6056448414272644,0.0532257958484176,1,0,1
f79b_02432,long_same_h12_tp15_sl10_close_direction_fill_path_net_q60,long,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,no_external,42,extra_trees_d7_l80,0.68,0.5052924809866587,cash_open,trend_aligned,6,0.08870965974736267,500.0,9,6,0.6666666666666666,0,0,0,1,37174.212284433444,7,4,0.5714285714285714,2,2,1.0,4.8967732180544195,4.8967732180544195,0.0,999.0,0.0,4,271,0.014760147601476014,4,1.0,1.0,1.2241933045136049,0.0,0.0,1.2241933045136049,999.0,1.0,8.04574436493646,0.1064515916968352,0,0,1,0.33709670703997807,1.2774191003620223,-0.9403223933220443,1.3584905660377358,0.0,2,194,0.010309278350515464,2,1.0,0.5,1.2774191003620223,-0.9403223933220443,1.3584905660377358,0.16854835351998904,999.0,1.5,1.6056448414272644,0.0532257958484176,1,0,1
f79b_02372,long_same_h12_tp15_sl10_close_direction_fill_path_net_q60,long,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,contract_core,37,logistic_l2_balanced,0.82,0.528713963846453,cash_open,trend_aligned,6,0.08870965974736267,500.0,20,14,0.7,0,0,0,1,37135.86220278002,12,10,0.8333333333333334,8,4,0.5,7.806450057767916,9.793546436108839,-1.9870963783409237,4.928571428571429,0.19870963783409934,10,271,0.03690036900369004,10,1.0,0.8,1.2241933045136049,-0.9935481891704618,1.2321428571428572,0.7806450057767915,7.857142857142582,1.0,5.552071474608146,0.1064515916968352,1,1,1,0.6741934140799561,2.5548382007240447,-1.8806447866440885,1.3584905660377358,0.18806447866440976,4,194,0.020618556701030927,4,1.0,0.5,1.2774191003620223,-0.9403223933220443,1.3584905660377358,0.16854835351998904,0.7169811320754681,1.0,5.996772998921716,0.0532257958484176,2,1,1
