label_name,side,entry_mode,fill_order,hold_bars,tp_price_units,sl_price_units,tp_broker_points,sl_broker_points,label_mode,utility_quantile,train_valid_rows,train_positive_rows,train_positive_rate,both_hit_rows,validation_valid_rows,oos_valid_rows
long_same_h6_tp9_sl7_pessimistic_fill_path_net_q60,long,same_bar_open,pessimistic,6,9.0,7.0,900.0,700.0,fill_path_net,0.6,29222,9652,0.33029908972691807,6349,9844,7584
long_same_h6_tp9_sl7_pessimistic_dd_normalized_q56,long,same_bar_open,pessimistic,6,9.0,7.0,900.0,700.0,dd_normalized,0.56,29222,8543,0.292348230785025,6349,9844,7584
long_same_h6_tp9_sl7_pessimistic_mae_mfe_asymmetry_q62,long,same_bar_open,pessimistic,6,9.0,7.0,900.0,700.0,mae_mfe_asymmetry,0.62,29222,7280,0.24912736978988434,6349,9844,7584
long_same_h12_tp15_sl10_pessimistic_fill_path_net_q60,long,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,29222,10174,0.34816234343987407,2319,9844,7584
long_same_h12_tp15_sl10_pessimistic_dd_normalized_q56,long,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,dd_normalized,0.56,29222,8913,0.3050099240298405,2319,9844,7584
long_same_h12_tp15_sl10_pessimistic_mae_mfe_asymmetry_q62,long,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,mae_mfe_asymmetry,0.62,29222,7704,0.2636369858325919,2319,9844,7584
short_same_h6_tp9_sl7_pessimistic_fill_path_net_q60,short,same_bar_open,pessimistic,6,9.0,7.0,900.0,700.0,fill_path_net,0.6,29222,9229,0.31582369447676406,6320,9844,7584
short_same_h6_tp9_sl7_pessimistic_dd_normalized_q56,short,same_bar_open,pessimistic,6,9.0,7.0,900.0,700.0,dd_normalized,0.56,29222,8206,0.2808158236944768,6320,9844,7584
short_same_h6_tp9_sl7_pessimistic_mae_mfe_asymmetry_q62,short,same_bar_open,pessimistic,6,9.0,7.0,900.0,700.0,mae_mfe_asymmetry,0.62,29222,6980,0.23886113202381767,6320,9844,7584
short_same_h12_tp15_sl10_pessimistic_fill_path_net_q60,short,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,29222,9720,0.33262610362055983,2398,9844,7584
short_same_h12_tp15_sl10_pessimistic_dd_normalized_q56,short,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,dd_normalized,0.56,29222,8486,0.2903976456094723,2398,9844,7584
short_same_h12_tp15_sl10_pessimistic_mae_mfe_asymmetry_q62,short,same_bar_open,pessimistic,12,15.0,10.0,1500.0,1000.0,mae_mfe_asymmetry,0.62,29222,7317,0.2503935391143659,2398,9844,7584
long_same_h12_tp15_sl10_close_direction_fill_path_net_q60,long,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,29222,11270,0.38566833207857093,2319,9844,7584
short_same_h12_tp15_sl10_close_direction_fill_path_net_q60,short,same_bar_open,close_direction,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,29222,10841,0.3709876120730956,2398,9844,7584
long_nextbar_control_h12_tp15_sl10_pessimistic_fill_path_net_q60,long,next_bar_open_control,pessimistic,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,29222,10198,0.3489836424611594,2193,9844,7584
short_nextbar_control_h12_tp15_sl10_pessimistic_fill_path_net_q60,short,next_bar_open_control,pessimistic,12,15.0,10.0,1500.0,1000.0,fill_path_net,0.6,29222,9714,0.3324207788652385,2271,9844,7584
