attempt_name,artifact_kind,source_path,repo_path,status,sha256
c56_bal_rf,telemetry,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/c56_bal_rf_telemetry.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/c56_bal_rf_telemetry.csv,copied,d3c83523962fbe2461c52dc6267de0d5d75cd683513906efcda17bcb0a9b37a6
c56_bal_rf,summary,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/c56_bal_rf_summary.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/c56_bal_rf_summary.csv,copied,318ef7d9c44b70d4b84b1429aafacbe7c2f041d06c1d807a6fa995ffab508363
c56_plain_rf,telemetry,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/c56_plain_rf_telemetry.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/c56_plain_rf_telemetry.csv,copied,1a77d289d77b9df35625a95bd334c0e8d74ad8e3f7f46b5c3d005331072a128b
c56_plain_rf,summary,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/c56_plain_rf_summary.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/c56_plain_rf_summary.csv,copied,ac27ecd43b55c8d97723a8152030438d74c30f1b56ec86c60d37b9db23104f48
m48_bal_rf,telemetry,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/m48_bal_rf_telemetry.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/m48_bal_rf_telemetry.csv,copied,5845e000151d84521702e52291babb9c5b022142c8d8babe25d437264bbea382
m48_bal_rf,summary,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/m48_bal_rf_summary.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/m48_bal_rf_summary.csv,copied,39921a555fdb5688543fc5d5e4edde14845443d05445e5303e1b2b00bed34379
m48_plain_rf,telemetry,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/m48_plain_rf_telemetry.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/m48_plain_rf_telemetry.csv,copied,74577488e54728335a9ddea3cfc7747237baf325d60f2e6c1d74d3be4957170e
m48_plain_rf,summary,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/m48_plain_rf_summary.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/m48_plain_rf_summary.csv,copied,81d4c494da237f4a6c268a8967f9942228987fba35aae53761f663b1e8bbba75
u42_bal_rf,telemetry,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/u42_bal_rf_telemetry.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/u42_bal_rf_telemetry.csv,copied,5753081341fdbf30012b49cf18d0b4b3c6cc09d130cedbb8670d437e59283bc2
u42_bal_rf,summary,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/u42_bal_rf_summary.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/u42_bal_rf_summary.csv,copied,83d748a81b66f6b5db95fa35ead3db2764e925710ecc0cc1091c16e7835ff912
u42_plain_rf,telemetry,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/u42_plain_rf_telemetry.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/u42_plain_rf_telemetry.csv,copied,8bb5fbe23e21c9a5b585cdb2e8b68532fbfe9eb5543ecd381bd5e231a8f99c07
u42_plain_rf,summary,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/stage336/run336K_fresh_mt5_runtime_probe/telemetry/u42_plain_rf_summary.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_telemetry/u42_plain_rf_summary.csv,copied,a8f470e46a3a994ead1c30a33bd9f23c5883e5d2ba1b3c4a736d18f3ae4eaa99
