run_id,trade_index,entry_time,exit_time,side,net_profit_after_cost,balance_after,closed_balance_drawdown_amount,closed_balance_drawdown_percent,hold_m5_calendar,claim_boundary
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,32,2025-01-10T19:05:00,2025-01-10T19:35:00,short,-7.43,419.48,78.41,15.748458,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,36,2025-01-13T20:50:00,2025-01-13T21:20:00,long,-6.55,426.8,71.09,14.278254,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,31,2025-01-10T17:10:00,2025-01-10T17:40:00,short,-17.23,426.91,70.98,14.256161,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,33,2025-01-13T17:20:00,2025-01-13T17:50:00,long,9.12,428.6,69.29,13.916729,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,39,2025-01-14T17:50:00,2025-01-14T18:20:00,long,-6.95,429.67,68.22,13.701822,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,43,2025-01-15T18:25:00,2025-01-15T18:55:00,long,-7.23,430.57,67.32,13.521059,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,34,2025-01-13T18:50:00,2025-01-13T19:25:00,long,3.77,432.37,65.52,13.159533,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,35,2025-01-13T20:05:00,2025-01-13T20:40:00,long,0.98,433.35,64.54,12.962703,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,44,2025-01-15T19:15:00,2025-01-15T19:45:00,long,4.38,434.95,62.94,12.641346,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,45,2025-01-15T19:50:00,2025-01-15T20:25:00,long,0.89,435.84,62.05,12.462592,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,49,2025-01-16T19:30:00,2025-01-16T20:00:00,long,-3.65,436.23,61.66,12.384262,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,38,2025-01-14T17:05:00,2025-01-14T17:35:00,long,-2.31,436.62,61.27,12.305931,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,47,2025-01-16T18:20:00,2025-01-16T18:50:00,long,-5.66,436.74,61.15,12.281829,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,42,2025-01-15T17:50:00,2025-01-15T18:20:00,long,-0.68,437.8,60.09,12.068931,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,41,2025-01-14T20:55:00,2025-01-14T21:30:00,long,-2.15,438.48,59.41,11.932355,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,37,2025-01-13T21:55:00,2025-01-14T16:55:00,long,12.13,438.93,58.96,11.841973,228,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,48,2025-01-16T18:55:00,2025-01-16T19:25:00,long,3.14,439.88,58.01,11.651168,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,40,2025-01-14T20:15:00,2025-01-14T20:50:00,long,10.96,440.63,57.26,11.500532,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,46,2025-01-16T17:35:00,2025-01-16T18:15:00,long,6.56,442.4,55.49,11.145032,8,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,30,2025-01-08T21:55:00,2025-01-10T16:55:00,long,-29.46,444.14,53.75,10.795557,516,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,801,2026-01-20T16:40:00,2026-01-20T17:10:00,long,-3.14,1143.05,125.07,9.862631,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
