run_id,group_column,group_value,trade_count,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,claim_boundary
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,entry_month,2025-11,78,211.42,417.09,-205.67,2.027957407,2.710513,46,32,58.974359,-28.92,60.29,6.0,806,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,entry_month,2025-04,119,207.56,691.24,-483.68,1.429126695,1.744202,60,59,50.420168,-42.71,102.29,6.0,804,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,entry_month,2026-02,85,125.75,329.05,-203.3,1.618544024,1.479412,51,34,60.0,-28.51,15.67,6.0,808,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,entry_month,2025-02,70,92.79,251.24,-158.45,1.585610603,1.325571,39,31,55.714286,-16.75,28.03,6.0,805,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,entry_month,2025-05,72,63.82,196.66,-132.84,1.480427582,0.886389,40,32,55.555556,-20.08,29.61,6.0,804,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,entry_month,2025-10,76,54.01,235.96,-181.95,1.296839791,0.710658,44,32,57.894737,-15.26,30.08,6.0,229,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,entry_month,2025-06,66,52.4,165.54,-113.14,1.463143009,0.793939,34,32,51.515152,-9.6,26.45,6.0,228,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,entry_month,2025-01,81,51.88,287.38,-235.5,1.22029724,0.640494,43,38,53.08642,-29.46,35.88,6.0,1098,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,entry_month,2026-04,45,20.28,116.62,-96.34,1.210504463,0.450667,26,19,57.777778,-16.31,20.64,6.0,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AW_review_threshold_edge_floor001_mt5_runtime_probe_without_db_v1,entry_month,2026-01,79,16.68,212.1,-195.42,1.085354621,0.211139,37,42,46.835443,-23.29,18.49,6.0,229,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
