run_id,queue_id,variant_id,combined_net_profit,combined_profit_factor,combined_trade_count,combined_trade_per_business_day,combined_max_drawdown,combined_short_count,estimated_business_days,density_floor_required_trades,density_trade_gap,pf_gap_to_target,materialization_read(구체화 판독),claim_boundary(주장 경계)
run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,stress_zone_3,stress_zone_3__ps0_45__adx40_0__hold8__entry_month2025_03,840.192,1.2758061959,994.0,2.984984985,-142.323,112.0,333.0,999,5.0,0.0241938041,density_bridge_needed(밀도 연결 필요),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,stress_zone_4,stress_zone_4__ps0_45__adx40_0__hold8__entry_month2025_03_sidelong,808.044,1.2584924377,1013.0,3.042042042,-142.323,131.0,333.0,1000,0.0,0.0415075623,pf_lift_needed(PF 상승 필요),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
