run_id,adapter_id,split,top1_winner,top1_winner_share_of_net,top3_winner_share_of_net,top5_winner_share_of_net,worst_loss,worst_loss_share_of_net_abs,last_quarter_net,last_quarter_net_share
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_stage252_control,validation_is,87.22,0.0897,0.2514,0.3983,-48.88,0.0503,368.5,0.3791
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_stage252_control,oos,78,0.1005,0.2626,0.411,-31.68,0.0408,320.12,0.4125
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4,validation_is,80.99,0.1043,0.2866,0.4573,-45.62,0.0588,338.36,0.4359
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4,oos,72.43,0.1047,0.263,0.4062,-29.25,0.0423,319.73,0.4624
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold5,validation_is,86.56,0.0923,0.2622,0.4226,-48.88,0.0521,395.37,0.4215
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold5,oos,70.57,0.1015,0.259,0.4014,-30.18,0.0434,345.42,0.4969
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_flatclose,validation_is,31.99,0.7675,2.0662,2.9878,-17.34,0.416,18.76,0.4501
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_flatclose,oos,29.41,0.1705,0.4466,0.6409,-18.48,0.1071,84.01,0.4871
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_reentry12,validation_is,80.99,0.1177,0.3113,0.4903,-42.35,0.0616,304.12,0.442
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_reentry12,oos,66.85,0.1117,0.2883,0.4504,-27.46,0.0459,321.07,0.5364
