run_id,adapter_id,split,max_drawdown_amount,max_drawdown_percent,drawdown_peak_index,drawdown_trough_index,drawdown_peak_time,drawdown_trough_time,recovered,recovery_index,recovery_time,recovery_trades,max_underwater_trades,final_balance_is_new_high,drawdown_flag
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_stage252_control,validation_is,134.15,12.9281,143,157,2025.04.25 16:50:00,2025.05.05 17:35:00,True,189,2025.06.12 17:25:00,32,45,False,dd_above_34d
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_stage252_control,oos,95.37,9.5066,123,136,2026.02.12 22:50:07,2026.02.24 16:38:51,True,155,2026.03.09 17:45:00,19,32,False,dd_measurement_only
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4,validation_is,166.12,12.9109,230,245,2025.08.14 17:50:00,2025.09.02 17:47:46,True,258,2025.09.25 16:55:00,13,64,False,dd_above_34d
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4,oos,87.49,13.1272,41,75,2025.11.19 07:39:46,2026.01.02 17:57:04,True,84,2026.01.14 16:42:42,9,42,False,dd_above_34d
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold5,validation_is,221.96,14.6927,219,245,2025.08.01 01:39:00,2025.09.02 17:47:46,False,,,,62,False,dd_above_34d
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold5,oos,87.48,15.7784,11,23,2025.10.17 10:19:57,2025.11.04 16:41:22,True,28,2025.11.07 03:34:28,5,42,False,dd_above_34d
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_flatclose,validation_is,86.27,14.4719,220,252,2025.07.31 22:00:00,2025.09.09 17:55:00,False,,,,98,False,dd_above_34d
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_flatclose,oos,48.37,7.68,113,148,2026.02.10 16:40:00,2026.03.06 17:20:00,True,175,2026.03.26 20:55:00,27,61,True,dd_measurement_only
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_reentry12,validation_is,148.51,12.4614,199,223,2025.08.01 01:39:00,2025.09.02 17:47:46,True,234,2025.09.24 17:00:00,11,60,False,dd_measurement_only
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_reentry12,oos,91.49,10.6709,114,122,2026.02.13 17:30:00,2026.02.24 16:38:51,True,141,2026.03.13 10:06:57,19,41,False,dd_measurement_only
