run_id,adapter_id,split,gate_column,source_feature,decision_feature,total_rows,signal_rows,blocked_signal_rows,allowed_signal_rows,rank_counts,allowed_signal_rank_counts,max_hold_bars,same_direction_reentry_cooldown_bars,close_on_flat_signal,reverse_on_opposite_signal,gate_description,side_filter_feature_index,rank_feature_index
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_stage252_control,validation_is,stage254_nonbinding_gate_stage252_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/s254_stage252_control/features/s254_stage252_control_val.csv,9844,468,193,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}",3,8,False,True,Stage254 keeps the Stage252 control score/gate surface and changes only non-binding lifecycle knobs.,2,1
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_stage252_control,oos,stage254_nonbinding_gate_stage252_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/s254_stage252_control/features/s254_stage252_control_oos.csv,7584,348,148,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}",3,8,False,True,Stage254 keeps the Stage252 control score/gate surface and changes only non-binding lifecycle knobs.,2,1
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4,validation_is,stage254_nonbinding_gate_hold4,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/s254_hold4/features/s254_hold4_val.csv,9844,468,193,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}",4,8,False,True,Stage254 keeps the Stage252 control score/gate surface and changes only non-binding lifecycle knobs.,2,1
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4,oos,stage254_nonbinding_gate_hold4,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/s254_hold4/features/s254_hold4_oos.csv,7584,348,148,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}",4,8,False,True,Stage254 keeps the Stage252 control score/gate surface and changes only non-binding lifecycle knobs.,2,1
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold5,validation_is,stage254_nonbinding_gate_hold5,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/s254_hold5/features/s254_hold5_val.csv,9844,468,193,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}",5,8,False,True,Stage254 keeps the Stage252 control score/gate surface and changes only non-binding lifecycle knobs.,2,1
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold5,oos,stage254_nonbinding_gate_hold5,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/s254_hold5/features/s254_hold5_oos.csv,7584,348,148,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}",5,8,False,True,Stage254 keeps the Stage252 control score/gate surface and changes only non-binding lifecycle knobs.,2,1
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_flatclose,validation_is,stage254_nonbinding_gate_hold4_flatclose,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/s254_hold4_flatclose/features/s254_hold4_flatclose_val.csv,9844,468,193,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}",4,8,True,True,Stage254 keeps the Stage252 control score/gate surface and changes only non-binding lifecycle knobs.,2,1
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_flatclose,oos,stage254_nonbinding_gate_hold4_flatclose,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/s254_hold4_flatclose/features/s254_hold4_flatclose_oos.csv,7584,348,148,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}",4,8,True,True,Stage254 keeps the Stage252 control score/gate surface and changes only non-binding lifecycle knobs.,2,1
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_reentry12,validation_is,stage254_nonbinding_gate_hold4_reentry12,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/s254_hold4_reentry12/features/s254_hold4_reentry12_val.csv,9844,468,193,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}",4,12,False,True,Stage254 keeps the Stage252 control score/gate surface and changes only non-binding lifecycle knobs.,2,1
run254A_stage254_nonbinding_source_repair_after_binding_axis_no_gain_v1,s254_hold4_reentry12,oos,stage254_nonbinding_gate_hold4_reentry12,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/254_adapter_research__nonbinding_source_repair_after_binding_axis_no_gain/02_runs/run254A/s254_hold4_reentry12/features/s254_hold4_reentry12_oos.csv,7584,348,148,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}",4,12,False,True,Stage254 keeps the Stage252 control score/gate surface and changes only non-binding lifecycle knobs.,2,1
