run_id,session_bucket_id,session_bucket_label,record_view,split,wfo_split_role,tier_scope,route_role,net_profit,profit_factor,trade_count,status
run03S_et_probability_shape_attribution_probe_v1,thin_edge,thin_probability_edge,mt5_thin_edge_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-19.98,0.94,48,completed
run03S_et_probability_shape_attribution_probe_v1,thin_edge,thin_probability_edge,mt5_thin_edge_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-95.43,0.19,11,completed
run03S_et_probability_shape_attribution_probe_v1,thin_edge,thin_probability_edge,mt5_thin_edge_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-14.47,0.96,59,completed
run03S_et_probability_shape_attribution_probe_v1,middle_edge,middle_probability_edge,mt5_middle_edge_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,20.01,1.03,29,completed
run03S_et_probability_shape_attribution_probe_v1,middle_edge,middle_probability_edge,mt5_middle_edge_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-99.02,0.33,4,completed
run03S_et_probability_shape_attribution_probe_v1,middle_edge,middle_probability_edge,mt5_middle_edge_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-93.64,0.87,32,completed
run03S_et_probability_shape_attribution_probe_v1,wide_edge,wide_probability_edge,mt5_wide_edge_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,4.08,1.01,19,completed
run03S_et_probability_shape_attribution_probe_v1,wide_edge,wide_probability_edge,mt5_wide_edge_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,189.75,5.82,2,completed
run03S_et_probability_shape_attribution_probe_v1,wide_edge,wide_probability_edge,mt5_wide_edge_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,180.47,1.41,21,completed
run03S_et_probability_shape_attribution_probe_v1,thin_edge,thin_probability_edge,mt5_thin_edge_tier_a_only_oos,oos,test,Tier A,tier_only_total,0.02,1,5,completed
run03S_et_probability_shape_attribution_probe_v1,thin_edge,thin_probability_edge,mt5_thin_edge_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-16.67,0,3,completed
run03S_et_probability_shape_attribution_probe_v1,thin_edge,thin_probability_edge,mt5_thin_edge_routed_total_oos,oos,test,Tier A+B,routed_total,-10.43,0.66,8,completed
run03S_et_probability_shape_attribution_probe_v1,middle_edge,middle_probability_edge,mt5_middle_edge_tier_a_only_oos,oos,test,Tier A,tier_only_total,-7.28,0.92,6,completed
run03S_et_probability_shape_attribution_probe_v1,middle_edge,middle_probability_edge,mt5_middle_edge_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-166.97,0,3,completed
run03S_et_probability_shape_attribution_probe_v1,middle_edge,middle_probability_edge,mt5_middle_edge_routed_total_oos,oos,test,Tier A+B,routed_total,22.41,1.23,7,completed
run03S_et_probability_shape_attribution_probe_v1,wide_edge,wide_probability_edge,mt5_wide_edge_tier_a_only_oos,oos,test,Tier A,tier_only_total,-130.04,0.3,7,completed
run03S_et_probability_shape_attribution_probe_v1,wide_edge,wide_probability_edge,mt5_wide_edge_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-157.16,0,1,completed
run03S_et_probability_shape_attribution_probe_v1,wide_edge,wide_probability_edge,mt5_wide_edge_routed_total_oos,oos,test,Tier A+B,routed_total,-146.41,0.28,7,completed
