materialized_branch_id,seed_role,package_id,validation_net_profit,validation_pf,validation_trade_count,validation_dd,validation_recovery,oos_net_profit,oos_pf,oos_trade_count,oos_dd,oos_recovery,tier_b_validation_net_profit,tier_b_oos_net_profit,validation_positive_month_share,oos_positive_month_share,validation_worst_month_net,oos_worst_month_net,validation_worst_session_net,oos_worst_session_net,validation_max_losing_streak,oos_max_losing_streak,validation_top_month_contribution_share,oos_top_month_contribution_share,stability_label,failure_reasons,selected_candidate,adapter_package,onnx_readiness,claim_boundary
run279B_cp277C_consensus_q01,breadth_watch(넓은 공급 관찰),cp277C_directional_asymmetry_reversal_surface,52.27,1.04,345,338.01,0.15,140.85,1.12,289,245.49,0.57,-203.08,118.15,0.666667,0.714286,-146.23,-127.26,-83.47,-57.98,9,5,1.83509,0.943415,failed_stability_no_selected_candidate,validation_pf_below_1_05(검증 PF 1.05 미만);validation_recovery_below_0_25(검증 회복 0.25 미만);validation_drawdown_over_4x_net(검증 손실폭이 순손익의 4배 초과);tier_b_validation_negative(Tier B 검증 음수);validation_worst_month_below_minus_100(검증 최악 월 -100 미만);oos_worst_month_below_minus_100(표본외 최악 월 -100 미만);validation_losing_streak_ge_7(검증 연속 손실 7 이상);validation_top_month_contribution_over_80pct(검증 상위 월 기여 80% 초과);oos_top_month_contribution_over_80pct(표본외 상위 월 기여 80% 초과),none,none,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run279B_cp277D_breakout_q02,lead_stability_seed(주 안정성 씨앗),cp277D_macro_squeeze_failure_contrast_surface,29.48,1.06,128,213.22,0.14,241.98,1.59,127,105.43,2.3,29.48,241.98,0.666667,0.714286,-85.8,-40.03,-22.13,9.89,9,6,3.08752,0.407554,failed_stability_no_selected_candidate,validation_recovery_below_0_25(검증 회복 0.25 미만);validation_drawdown_over_4x_net(검증 손실폭이 순손익의 4배 초과);validation_losing_streak_ge_7(검증 연속 손실 7 이상);validation_top_month_contribution_over_80pct(검증 상위 월 기여 80% 초과),none,none,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
run279B_cp277D_breakout_q03,stability_control(안정성 대조),cp277D_macro_squeeze_failure_contrast_surface,41.36,1.26,59,81.59,0.51,9.07,1.04,58,79.46,0.11,41.36,9.07,0.777778,0.714286,-55.77,-25.89,18.18,3.42,7,5,0.592602,2.49945,failed_stability_no_selected_candidate,oos_pf_below_1_05(표본외 PF 1.05 미만);thin_trade_count_under_80(거래 수 80 미만);oos_recovery_below_0_50(표본외 회복 0.50 미만);validation_losing_streak_ge_7(검증 연속 손실 7 이상);oos_top_month_contribution_over_80pct(표본외 상위 월 기여 80% 초과),none,none,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_candidate_package_gate
