contract_symbol,broker_symbol,status,row_count,first_open_utc,last_open_utc,last_close_utc,lag_vs_us100_minutes,csv_path,manifest_path,sha256,last_error,effect,claim_boundary
US100,US100,completed,8661,2026-04-14T01:00:00Z,2026-05-27T13:40:00Z,2026-05-27T13:45:00Z,0.0,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/US100/bars_us100_m5_mt5api_raw.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/US100/bars_us100_m5_mt5api_raw.manifest.json,c14621033c0d94b461f2059061e4ccabdd25033abdafa851161b1b75b4fe6da3,"(1, 'Success')",forward-safe rebuild(전진 안전 재구축)에 쓸 수 있는 원천 후보를 확보했다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
VIX,VIX,completed,7723,2026-04-14T01:00:00Z,2026-05-27T13:40:00Z,2026-05-27T13:45:00Z,0.0,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/VIX/bars_vix_m5_mt5api_raw.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/VIX/bars_vix_m5_mt5api_raw.manifest.json,06d96024a7f28fb3839447aa6298879f97a68cdd92dc725233ef51c7d35128db,"(1, 'Success')",forward-safe rebuild(전진 안전 재구축)에 쓸 수 있는 원천 후보를 확보했다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
US10YR,US10YR,completed,6843,2026-04-14T01:00:00Z,2026-05-27T13:40:00Z,2026-05-27T13:45:00Z,0.0,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/US10YR/bars_us10yr_m5_mt5api_raw.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/US10YR/bars_us10yr_m5_mt5api_raw.manifest.json,ad68685abf238dae2e84dd31938e1856b11024c6d3cca4b445a4aa5235f6fa5d,"(1, 'Success')",forward-safe rebuild(전진 안전 재구축)에 쓸 수 있는 원천 후보를 확보했다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
USDX,USDX,completed,7905,2026-04-14T03:00:00Z,2026-05-27T13:40:00Z,2026-05-27T13:45:00Z,0.0,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/USDX/bars_usdx_m5_mt5api_raw.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/USDX/bars_usdx_m5_mt5api_raw.manifest.json,e095e3c7ede7d51813936e03733198605b1f7c776e99b13aa25d395bdf3fb973,"(1, 'Success')",forward-safe rebuild(전진 안전 재구축)에 쓸 수 있는 원천 후보를 확보했다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
NVDA,NVDA.xnas,completed,2340,2026-04-14T16:30:00Z,2026-05-26T22:55:00Z,2026-05-26T23:00:00Z,885.0,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/NVDA/bars_nvda_xnas_m5_mt5api_raw.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/NVDA/bars_nvda_xnas_m5_mt5api_raw.manifest.json,470e82cf1c2e5b6c7f36189279fb3f784e4aae863f12b44fa920420fc9747ee3,"(1, 'Success')",forward-safe rebuild(전진 안전 재구축)에 쓸 수 있는 원천 후보를 확보했다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AAPL,AAPL.xnas,completed,2340,2026-04-14T16:30:00Z,2026-05-26T22:55:00Z,2026-05-26T23:00:00Z,885.0,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/AAPL/bars_aapl_xnas_m5_mt5api_raw.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/AAPL/bars_aapl_xnas_m5_mt5api_raw.manifest.json,764f42416a39c4b2e64601505373bac644de9e7e590b47d19ef456912dbe45fe,"(1, 'Success')",forward-safe rebuild(전진 안전 재구축)에 쓸 수 있는 원천 후보를 확보했다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
MSFT,MSFT.xnas,completed,2340,2026-04-14T16:30:00Z,2026-05-26T22:55:00Z,2026-05-26T23:00:00Z,885.0,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/MSFT/bars_msft_xnas_m5_mt5api_raw.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/MSFT/bars_msft_xnas_m5_mt5api_raw.manifest.json,e0a27d1a3ce05af8afa2bd3aa103ed8fd4c28bcfd5c39a840209e949d0a5ef15,"(1, 'Success')",forward-safe rebuild(전진 안전 재구축)에 쓸 수 있는 원천 후보를 확보했다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AMZN,AMZN.xnas,completed,2340,2026-04-14T16:30:00Z,2026-05-26T22:55:00Z,2026-05-26T23:00:00Z,885.0,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/AMZN/bars_amzn_xnas_m5_mt5api_raw.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/AMZN/bars_amzn_xnas_m5_mt5api_raw.manifest.json,e74f2a64afae11469c5591c43da5ac2be716069fb9f22eb0f305bf19385a5937,"(1, 'Success')",forward-safe rebuild(전진 안전 재구축)에 쓸 수 있는 원천 후보를 확보했다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AMD,AMD.xnas,completed,2340,2026-04-14T16:30:00Z,2026-05-26T22:55:00Z,2026-05-26T23:00:00Z,885.0,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/AMD/bars_amd_xnas_m5_mt5api_raw.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/AMD/bars_amd_xnas_m5_mt5api_raw.manifest.json,d72a2577beb2da3cb680390a0428c68c92fb83fd2623c35c1ea170a6f9192341,"(1, 'Success')",forward-safe rebuild(전진 안전 재구축)에 쓸 수 있는 원천 후보를 확보했다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
GOOGL.xnas,GOOGL.xnas,completed,2340,2026-04-14T16:30:00Z,2026-05-26T22:55:00Z,2026-05-26T23:00:00Z,885.0,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/GOOGL.xnas/bars_googl_xnas_m5_mt5api_raw.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/GOOGL.xnas/bars_googl_xnas_m5_mt5api_raw.manifest.json,67cfc39dcda86d85e761809cd92fd658a5863ead4f30db6d471a08117b2aff17,"(1, 'Success')",forward-safe rebuild(전진 안전 재구축)에 쓸 수 있는 원천 후보를 확보했다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
