subject,model_path,feature_count,feature_order,feature_order_hash,source_kind,forward_authority
cp322A_exact_onnx,stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/models/cp322a_route_signal_identity.onnx,1,"[""run322b_route_signal""]",839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,route_signal_identity_surface,blocked_missing_forward_route_signal
run333E_signal_payload_bridge,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333E/onnx/signal_payload_identity_probability_bridge.onnx,3,"[""p_short"", ""p_flat"", ""p_long""]",f72337efcd3c25492b22e13562fdc9aff69b7ba2cc1aa4340ae678351a2e3991,identity_probability_bridge_not_candidate_model,research_only_not_candidate_onnx
