source_queue_id,candidate_id,candidate_alias,candidate_role,test_id,test_type,feature_family,features_or_replacements,axis_id,signature_id,signature_member_count,signature_candidate_count,net_profit,profit_factor,trade_count,max_drawdown_percent,feature_order_hash,added_feature,materialization_boundary,collapse_read,effect
run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),volatility_bandwidth,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,run267S_axis01_pool_wide_variant_distinguishability,sig02,14,5,236.31,1.3,454,12.88,bc91bdf1a10eeeaf3d799304aed032755ce564ba16c372edfbbbdb2127b93751,stage267n_abl_volatility_bandwidth_score,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",collapsed_across_all_five_candidates,marks_run267T_as_negative_distinguishability_evidence_not_candidate_selection
run267N_04_s264_aih_rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,run267S_axis01_pool_wide_variant_distinguishability,sig02,14,5,236.31,1.3,454,12.88,ef54790c4852477bab905cef024ec8db5a29cb1c40583d090814f84f5428428b,stage267n_rep_volatility_atr_score,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",collapsed_across_all_five_candidates,marks_run267T_as_negative_distinguishability_evidence_not_candidate_selection
run267N_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,run267S_axis02_non_calendar_weak_slice_resilience,sig01,20,5,177.49,1.2,486,12.68,333af9f9e8d6630863ae3b077f9bbc44b3a93a20f8fbdc8924e58a1c7797b5ac,stage267n_abl_trend_strength_direction_score,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",collapsed_across_all_five_candidates,marks_run267T_as_negative_distinguishability_evidence_not_candidate_selection
run267N_03_s264_aih_rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,run267S_axis02_non_calendar_weak_slice_resilience,sig01,20,5,177.49,1.2,486,12.68,87c4f67bf20f9731ec15ce00994066e569c3b5e9255b1907d56598336949db88,stage267n_rep_trend_strength_adx_score,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",collapsed_across_all_five_candidates,marks_run267T_as_negative_distinguishability_evidence_not_candidate_selection
run267N_09_s264_lc_rep_volatility_atr,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,run267S_axis01_pool_wide_variant_distinguishability,sig02,14,5,236.31,1.3,454,12.88,98f9c96ec080b3e4d49354efab8a100eba81774e723da69c73809ce2a919cfc3,stage267n_rep_volatility_atr_score,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",collapsed_across_all_five_candidates,marks_run267T_as_negative_distinguishability_evidence_not_candidate_selection
run267N_07_s264_lc_abl_trend_strength_direction,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,run267S_axis02_non_calendar_weak_slice_resilience,sig01,20,5,177.49,1.2,486,12.68,dfbe203aa16d6e4f2b162bf48dedb8a6e355fe688c4c5df40533f56f86006da0,stage267n_abl_trend_strength_direction_score,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",collapsed_across_all_five_candidates,marks_run267T_as_negative_distinguishability_evidence_not_candidate_selection
run267N_08_s264_lc_rep_trend_strength_adx,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,run267S_axis02_non_calendar_weak_slice_resilience,sig01,20,5,177.49,1.2,486,12.68,44ef5295218d0a3aa9a9d4864b8584fb36c52f7f7f14ec6425cc196ee653fbb1,stage267n_rep_trend_strength_adx_score,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",collapsed_across_all_five_candidates,marks_run267T_as_negative_distinguishability_evidence_not_candidate_selection
run267N_14_s262_lih_rep_volatility_atr,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,run267S_axis01_pool_wide_variant_distinguishability,sig02,14,5,236.31,1.3,454,12.88,f01012d2b2134139e80d0f648af5095e22b9a7280f85715249d0117a00d8eb3a,stage267n_rep_volatility_atr_score,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",collapsed_across_all_five_candidates,marks_run267T_as_negative_distinguishability_evidence_not_candidate_selection
run267N_12_s262_lih_abl_trend_strength_direction,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,run267S_axis02_non_calendar_weak_slice_resilience,sig01,20,5,177.49,1.2,486,12.68,4ac2d42a4e5704b6a11e909e70dcbc9fdecba0e7cc03c6ff1f1bc4fdbbdcd8b1,stage267n_abl_trend_strength_direction_score,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",collapsed_across_all_five_candidates,marks_run267T_as_negative_distinguishability_evidence_not_candidate_selection
run267N_13_s262_lih_rep_trend_strength_adx,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,run267S_axis02_non_calendar_weak_slice_resilience,sig01,20,5,177.49,1.2,486,12.68,caa17801b03611d106d3368b17e56ce7ac564966a6111392d678ac7baf24fb87,stage267n_rep_trend_strength_adx_score,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",collapsed_across_all_five_candidates,marks_run267T_as_negative_distinguishability_evidence_not_candidate_selection
