run_id,queue_id,source_queue_id,queue_rank,variant_id,short_probability_threshold,long_threshold,min_margin,long_block_feature,long_block_min,max_hold_m5,bridge_expression,bridge_policy,queue_type,trade_splitting_status,proxy_boundary(프록시 경계),claim_boundary(주장 경계),validation_trade_count,validation_trade_per_business_day,validation_net_profit,validation_profit_factor,validation_expectancy,validation_max_drawdown,validation_recovery_factor,validation_long_count,validation_short_count,validation_long_short_balance,validation_business_days,oos_trade_count,oos_trade_per_business_day,oos_net_profit,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_recovery_factor,oos_long_count,oos_short_count,oos_long_short_balance,oos_business_days,combined_trade_count,combined_trade_per_business_day,combined_net_profit,combined_profit_factor,combined_expectancy,combined_max_drawdown,combined_recovery_factor,combined_long_count,combined_short_count,combined_long_short_balance,combined_business_days,net_delta_vs_run364V_proxy,pf_delta_vs_run364V_proxy,dd_delta_vs_run364V_proxy,density_delta_vs_run364V_proxy,candidate_status,selection_score
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_non_hour16_margin_0_1,stress3_restore_march_non_hour16_top8,6,stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_month=2025-03 restore non_hour16 abs_margin>=0.1,restore_march_non_hour16_margin,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,516,2.6597938144,339.043,1.2146673268,0.6570600775,-142.323,2.382208076,452,64,0.1415929204,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,1001,3.006006006,840.055,1.2739357721,0.8392157842,-142.323,5.9024542765,882,119,0.1349206349,333,68.491,0.0520951218,12.684,-0.2402402402,watch_pf_below_target(PF 목표 미만 관찰),884.172870032
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_march_short_p0_475,stress3_restore_march_short_top5,4,stress3_restore_march_short_p0_475__ps0_45__adx40_0__hold8,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_month=2025-03 restore side=short p_short>=0.475,restore_march_short_p,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,514,2.6494845361,333.806,1.2112812541,0.6494280156,-142.323,2.3454114936,452,62,0.1371681416,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,999,3.0,834.818,1.2721814278,0.8356536537,-142.323,5.8656576941,882,117,0.1326530612,333,63.254,0.0503407775,12.684,-0.2462462462,watch_pf_below_target(PF 목표 미만 관찰),876.958204586
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress_zone_4_control,stress_zone_4_control,3,stress_zone_4_control__ps0_45__adx40_0__hold8,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_month=2025-03 block side=long,block_march_long,control(대조),not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,528,2.7216494845,307.032,1.1873560651,0.5815,-142.323,2.1572901077,452,76,0.1681415929,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,1013,3.042042042,808.044,1.2584924377,0.7976742349,-142.323,5.6775363083,882,131,0.1485260771,333,36.48,0.0366517874,12.684,-0.2042042042,watch_pf_below_target(PF 목표 미만 관찰),853.120714624
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,baseline_replay_control,baseline_replay_control,1,baseline_replay_control__ps0_45__adx40_0__hold8,0.45,0.0,-0.000562137088,adx_14,40.0,8,none,none,control(대조),not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,596,3.0721649485,270.552,1.1359021692,0.4539463087,-155.007,1.7454179489,522,74,0.1417624521,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,1081,3.2462462462,771.564,1.2218406503,0.7137502313,-155.007,4.9776074629,952,129,0.1355042017,333,0.0,0.0,0.0,0.0,watch_pf_below_target(PF 목표 미만 관찰),822.459352504
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_long_p0_42_adx35_0,stress3_restore_march_adx45_long_top8,9,stress3_restore_long_p0_42_adx35_0__ps0_45__adx40_0__hold8,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_month=2025-03 restore side=long p_long>=0.42 adx_14>=35.0,restore_march_long_p_adx,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,510,2.6288659794,345.455,1.221575049,0.6773627451,-142.323,2.4272605271,453,57,0.1258278146,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,995,2.987987988,846.467,1.277866063,0.850720603,-142.323,5.9475067277,883,112,0.1268403171,333,74.903,0.0560254127,12.684,-0.2582582582,fail_density_floor(밀도 하한 실패),-112.40765103
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_non_hour16_margin_0_14,stress3_restore_march_non_hour16_top8,7,stress3_restore_non_hour16_margin_0_14__ps0_45__adx40_0__hold8,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_month=2025-03 restore non_hour16 abs_margin>=0.14,restore_march_non_hour16_margin,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,512,2.6391752577,343.018,1.2196456655,0.6699570313,-142.323,2.4101375041,452,60,0.1327433628,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,997,2.993993994,844.03,1.2768298079,0.8465697091,-142.323,5.9303837047,882,115,0.1303854875,333,72.466,0.0549891576,12.684,-0.2522522522,fail_density_floor(밀도 하한 실패),-113.478676972
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,adx38_stress3_month_block,adx38_stress3_month_block,12,adx38_stress3_month_block__ps0_45__adx38_0__hold8,0.45,0.0,-0.000562137088,adx_14,38.0,8,adx_block_min=38; entry_month=2025-03 block all,block_march_all,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,499,2.5721649485,381.518,1.251690834,0.7645651303,-128.661,2.9652963991,441,58,0.1315192744,194,472,3.3956834532,467.024,1.3162516557,0.9894576271,-82.366,5.6701065974,417,55,0.1318944844,139,971,2.9159159159,848.542,1.2835497807,0.873884655,-128.661,6.5951764715,858,113,0.1317016317,333,76.978,0.0617091304,26.346,-0.3303303303,fail_density_floor(밀도 하한 실패),-114.645804016
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_march_short_p0_49,stress3_restore_march_short_top5,5,stress3_restore_march_short_p0_49__ps0_45__adx40_0__hold8,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_month=2025-03 restore side=short p_short>=0.49,restore_march_short_p,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,510,2.6288659794,340.168,1.218183964,0.6669960784,-142.323,2.3901126311,452,58,0.1283185841,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,995,2.987987988,841.18,1.2761305224,0.8454070352,-142.323,5.9103588317,882,113,0.1281179138,333,69.616,0.0542898721,12.684,-0.2582582582,fail_density_floor(밀도 하한 실패),-118.223578082
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress_zone_3_control,stress_zone_3_control,2,stress_zone_3_control__ps0_45__adx40_0__hold8,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_month=2025-03 block all,block_march_all,control(대조),not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,509,2.6237113402,339.18,1.2175502602,0.6663654224,-142.323,2.3831706752,452,57,0.1261061947,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,994,2.984984985,840.192,1.2758061959,0.8452635815,-142.323,5.9034168757,882,112,0.126984127,333,68.628,0.0539655456,12.684,-0.2612612612,fail_density_floor(밀도 하한 실패),-120.148395812
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_long_p0_4_adx45_0,stress3_restore_march_adx45_long_top8,8,stress3_restore_long_p0_4_adx45_0__ps0_45__adx40_0__hold8,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_month=2025-03 restore side=long p_long>=0.4 adx_14>=45.0,restore_march_long_p_adx,bridge_scout(연결 정찰),not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,509,2.6237113402,339.18,1.2175502602,0.6663654224,-142.323,2.3831706752,452,57,0.1261061947,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,994,2.984984985,840.192,1.2758061959,0.8452635815,-142.323,5.9034168757,882,112,0.126984127,333,68.628,0.0539655456,12.684,-0.2612612612,fail_density_floor(밀도 하한 실패),-120.148395812
