run_id,queue_id,variant_id,source_signal_count,march_source_signal_count,march_block_count,march_restore_count,final_signal_count,trade_count,claim_boundary(주장 경계)
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,baseline_replay_control,baseline_replay_control__ps0_45__adx40_0__hold8,5071,435,0,0,5071,1081,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress_zone_3_control,stress_zone_3_control__ps0_45__adx40_0__hold8,5071,435,435,0,4636,994,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress_zone_4_control,stress_zone_4_control__ps0_45__adx40_0__hold8,5071,435,399,0,4672,1013,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_march_short_p0_475,stress3_restore_march_short_p0_475__ps0_45__adx40_0__hold8,5071,435,429,6,4642,999,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_march_short_p0_49,stress3_restore_march_short_p0_49__ps0_45__adx40_0__hold8,5071,435,433,2,4638,995,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_non_hour16_margin_0_1,stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,5071,435,423,12,4648,1001,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_non_hour16_margin_0_14,stress3_restore_non_hour16_margin_0_14__ps0_45__adx40_0__hold8,5071,435,430,5,4641,997,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_long_p0_4_adx45_0,stress3_restore_long_p0_4_adx45_0__ps0_45__adx40_0__hold8,5071,435,435,0,4636,994,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_long_p0_42_adx35_0,stress3_restore_long_p0_42_adx35_0__ps0_45__adx40_0__hold8,5071,435,434,1,4637,995,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress4_short0475_pf_lift,stress4_short0475_pf_lift__ps0_475__adx40_0__hold8,4872,405,399,0,4473,932,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress4_short050_pf_lift,stress4_short050_pf_lift__ps0_5__adx40_0__hold8,4802,399,399,0,4403,890,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,adx38_stress3_month_block,adx38_stress3_month_block__ps0_45__adx38_0__hold8,4890,430,430,0,4460,971,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,adx38_stress4_month_long_block,adx38_stress4_month_long_block__ps0_45__adx38_0__hold8,4890,430,394,0,4496,990,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
