record_view,candidate_id,candidate_alias,candidate_role,feature_design,model_materialization_type,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak,slice_read
mt5_rt_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,weekday,Monday,60,-140.37,0.604034,-2.3395,0.466667,158.2,31.330455,56,4,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,weekday,Monday,61,-136.08,0.628765,-2.23082,0.47541,164.34,31.862422,56,4,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,chron_segment,chron_mid,117,-106.0,0.829492,-0.905983,0.487179,202.92,40.584,117,5,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-07,36,-104.02,0.520203,-2.889444,0.416667,136.43,26.884878,33,5,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-07,36,-102.51,0.512275,-2.8475,0.416667,131.53,25.937173,33,5,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,session_report,session_07_12_report_time,6,-100.41,0.0,-16.735,0.0,100.41,20.082,6,6,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,session_report,session_07_12_report_time,6,-98.29,0.0,-16.381667,0.0,98.29,19.658,6,6,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,chron_segment,chron_mid,116,-87.38,0.851306,-0.753276,0.491379,186.25,36.935311,115,5,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,weekday,Friday,81,-70.65,0.831066,-0.872222,0.45679,152.86,29.003491,71,5,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,weekday,Friday,83,-60.86,0.858086,-0.733253,0.46988,147.31,27.891697,73,4,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,close_hour_report,12,3,-53.3,0.0,-17.766667,0.0,53.3,10.66,3,3,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,close_hour_report,12,3,-52.1,0.0,-17.366667,0.0,52.1,10.42,3,3,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-12,29,-44.5,0.754713,-1.534483,0.413793,104.26,20.852,29,6,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-12,29,-41.51,0.763476,-1.431379,0.413793,101.4,20.28,29,6,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-04,31,-41.5,0.792552,-1.33871,0.419355,118.08,20.479378,26,6,minor_negative_slice(소폭 음수 구간)
