record_view,candidate_id,candidate_alias,candidate_role,feature_design,model_materialization_type,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak,slice_read
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-01,24,82.37,2.677597,3.432083,0.625,16.85,2.933165,9,3,measured_slice(측정 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-02,27,166.94,2.500989,6.182963,0.592593,56.26,7.887948,8,5,measured_slice(측정 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-03,20,-21.58,0.800867,-1.079,0.45,55.06,10.762104,15,2,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-04,32,-34.32,0.831666,-1.0725,0.4375,111.27,19.2859,27,6,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-05,19,49.07,1.552652,2.582632,0.631579,38.59,6.793416,5,2,measured_slice(측정 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-06,16,-37.99,0.708978,-2.374375,0.4375,57.52,11.328633,8,3,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-07,36,-104.02,0.520203,-2.889444,0.416667,136.43,26.884878,33,5,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-08,43,16.71,1.086535,0.388605,0.511628,45.43,8.519298,15,3,measured_slice(측정 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-09,42,55.44,1.387421,1.32,0.595238,63.03,11.47356,22,4,measured_slice(측정 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-10,34,-3.82,0.975337,-0.112353,0.441176,79.89,13.868106,27,4,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-11,28,45.84,1.340312,1.637143,0.535714,47.36,9.335147,14,3,measured_slice(측정 구간)
mt5_ta_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-12,29,-44.5,0.754713,-1.534483,0.413793,104.26,20.852,29,6,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-01,24,82.37,2.677597,3.432083,0.625,16.85,2.933165,9,3,measured_slice(측정 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-02,27,166.94,2.500989,6.182963,0.592593,56.26,7.887948,8,5,measured_slice(측정 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-03,20,-21.58,0.800867,-1.079,0.45,55.06,10.762104,15,2,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-04,32,-34.32,0.831666,-1.0725,0.4375,111.27,19.2859,27,6,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-05,19,49.07,1.552652,2.582632,0.631579,38.59,6.793416,5,2,measured_slice(측정 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-06,16,-37.99,0.708978,-2.374375,0.4375,57.52,11.328633,8,3,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-07,36,-104.02,0.520203,-2.889444,0.416667,136.43,26.884878,33,5,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-08,43,16.71,1.086535,0.388605,0.511628,45.43,8.519298,15,3,measured_slice(측정 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-09,42,55.44,1.387421,1.32,0.595238,63.03,11.47356,22,4,measured_slice(측정 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-10,34,-3.82,0.975337,-0.112353,0.441176,79.89,13.868106,27,4,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-11,28,45.84,1.340312,1.637143,0.535714,47.36,9.335147,14,3,measured_slice(측정 구간)
mt5_rt_s264_aih_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,adx_atr_soft_score,research_score_table_extension_not_retrained,routed_total,month,2024-12,29,-44.5,0.754713,-1.534483,0.413793,104.26,20.852,29,6,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-01,24,82.37,2.677597,3.432083,0.625,16.85,2.933165,9,3,measured_slice(측정 구간)
mt5_ta_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-02,26,153.74,2.406974,5.913077,0.576923,55.25,7.900984,8,5,measured_slice(측정 구간)
mt5_ta_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-03,20,-20.58,0.805372,-1.029,0.45,53.06,10.376657,15,2,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-04,31,-41.5,0.792552,-1.33871,0.419355,118.08,20.479378,26,6,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_lc_adxatrsoft_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,adx_atr_soft_score,research_score_table_extension_not_retrained,tier_only_total,month,2024-05,19,47.05,1.541552,2.476316,0.631579,37.54,6.632274,5,2,measured_slice(측정 구간)
