record_type,feature_index,item_index,value,score_short,score_flat,score_long
intercept,-1,-1,,0,0,0
cut,0,0,-0.5,,,
cut,0,1,0.5,,,
score,0,0,,0.5,-0.5,-0.5
score,0,1,,0.5,-0.5,-0.5
score,0,2,,-0.5,0.5,-0.5
score,0,3,,-0.5,-0.5,0.5
cut,1,0,0.5,,,
cut,1,1,1.5,,,
cut,1,2,2.5,,,
score,1,0,,0,0,0
score,1,1,,0,0,0
score,1,2,,0,0,0
score,1,3,,0.10000000000000001,-0.10000000000000001,0.10000000000000001
score,1,4,,0.14999999999999999,-0.14999999999999999,0.14999999999999999
cut,2,0,0.5,,,
cut,2,1,1.5,,,
score,2,0,,0,0,0
score,2,1,,0,0,0
score,2,2,,0,0,0
score,2,3,,0,0,0
cut,3,0,0.20000000000000001,,,
cut,3,1,0.40000000000000002,,,
cut,3,2,0.59999999999999998,,,
cut,3,3,0.80000000000000004,,,
score,3,0,,0,0,0
score,3,1,,0.01,0,-0.01
score,3,2,,0.040000000000000001,-0.01,-0.029999999999999999
score,3,3,,0.070000000000000007,-0.029999999999999999,-0.050000000000000003
score,3,4,,0.10000000000000001,-0.040000000000000001,-0.080000000000000002
score,3,5,,0.13,-0.050000000000000003,-0.10000000000000001
cut,4,0,0.20000000000000001,,,
cut,4,1,0.40000000000000002,,,
cut,4,2,0.59999999999999998,,,
cut,4,3,0.80000000000000004,,,
score,4,0,,0,0,0
score,4,1,,-0.01,0,0.01
score,4,2,,-0.029999999999999999,-0.01,0.040000000000000001
score,4,3,,-0.050000000000000003,-0.029999999999999999,0.070000000000000007
score,4,4,,-0.080000000000000002,-0.040000000000000001,0.10000000000000001
score,4,5,,-0.10000000000000001,-0.050000000000000003,0.13
