check_name,status,detail,effect
grok_clean_output_exists,passed,docs/agent_control/grok_reviews/2026-06-17_f68h_pre_atr_sltp_runtime_repair_probe/outputs/clean_output.md,keeps F68H as risk-envelope-only runtime repair
model_path_exists,passed,stages/stage_frontier_68__runtime_native_trade_lifecycle_economics_proxy_onnx_scout/02_runs/frontier68F_near_four_axis_onnx_runtime_repair_probe_v1/models/f68b_0872ddc6192f.onnx,keeps F68H as risk-envelope-only runtime repair
model_sha256_matches_f68f,passed,ab632bd1f8e7db05158246126d2a388686906b97c5caf44dfe252e0e56b27f40,keeps F68H as risk-envelope-only runtime repair
feature_path_exists,passed,stages/stage_frontier_68__runtime_native_trade_lifecycle_economics_proxy_onnx_scout/02_runs/frontier68F_near_four_axis_onnx_runtime_repair_probe_v1/features/f68f_no_mega_top3_3_49_14a037f12c_features.csv,keeps F68H as risk-envelope-only runtime repair
feature_count_49,passed,49,keeps F68H as risk-envelope-only runtime repair
feature_order_hash_matches_f68f,passed,14a037f12cec16ad2f57a9cb5cafb5d61a374b96640872a6ac51bb6f28baf2a3,keeps F68H as risk-envelope-only runtime repair
baseline_f68f_receipts_present,passed,2,keeps F68H as risk-envelope-only runtime repair
variant_count_3,passed,3,keeps F68H as risk-envelope-only runtime repair
variant_ids_expected,passed,f52_atr08_tp12_re3_sd6;tight_atr06_tp10_re3_sd6;wide_atr10_tp16_re3_sd6,keeps F68H as risk-envelope-only runtime repair
f68f_atr_disabled_before_repair,passed,False,keeps F68H as risk-envelope-only runtime repair
