run_id,attempt_name,candidate_id,axis_id,split,layer,metric,proxy_value,runtime_value,delta,gap_class,evidence,claim_boundary
frontier68H_atr_sltp_risk_envelope_runtime_repair_probe_v1,f68h_f52_atr08_tp12_re3_sd6_validation,f68b_0872ddc6192f,atr_sltp_risk_envelope_axis,validation,signal_count_parity,signal_count,4689,4689,0,signal_count_exact,runtime_summary_vs_onnx_signal_parity,atr_sltp_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68H_atr_sltp_risk_envelope_runtime_repair_probe_v1,f68h_f52_atr08_tp12_re3_sd6_validation,f68b_0872ddc6192f,atr_sltp_risk_envelope_axis,validation,feature_readiness,feature_ready_count,9844,9844,0,feature_ready_exact,runtime_summary_feature_ready_count,atr_sltp_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68H_atr_sltp_risk_envelope_runtime_repair_probe_v1,f68h_f52_atr08_tp12_re3_sd6_validation,f68b_0872ddc6192f,atr_sltp_risk_envelope_axis,validation,trade_density,trades_per_day,3.1845018450184504,15.220588235294118,12.036086390275667,runtime_density_outside_target_band,proxy_kpi_vs_strategy_tester_trade_count,atr_sltp_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68H_atr_sltp_risk_envelope_runtime_repair_probe_v1,f68h_f52_atr08_tp12_re3_sd6_validation,f68b_0872ddc6192f,atr_sltp_risk_envelope_axis,validation,economics_pf,profit_factor,1.2872492088315126,0.39,-0.8972492088315126,runtime_pf_below_proxy,proxy_kpi_vs_strategy_tester_report,atr_sltp_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68H_atr_sltp_risk_envelope_runtime_repair_probe_v1,f68h_f52_atr08_tp12_re3_sd6_validation,f68b_0872ddc6192f,atr_sltp_risk_envelope_axis,validation,drawdown_methodology,drawdown_percent,6.821299999999944,97.72,90.89870000000005,runtime_dd_exceeds_proxy_dd,proxy_dd_percent_vs_strategy_tester_dd,atr_sltp_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68H_atr_sltp_risk_envelope_runtime_repair_probe_v1,f68h_f52_atr08_tp12_re3_sd6_validation,f68b_0872ddc6192f,atr_sltp_risk_envelope_axis,validation,accounting_trade_shape,order_fill_vs_deal_count,4140,8280,4140,deal_order_gap,runtime_order_fill_count_vs_strategy_report_deal_count,atr_sltp_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68H_atr_sltp_risk_envelope_runtime_repair_probe_v1,f68h_f52_atr08_tp12_re3_sd6_validation,f68b_0872ddc6192f,atr_sltp_risk_envelope_axis,validation,cost_identity,commission_swap,proxy_cost_terms,commission=0.0;swap=0.0,0.0,cost_zero_or_unparsed,strategy_report_deal_table,atr_sltp_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68H_atr_sltp_risk_envelope_runtime_repair_probe_v1,f68h_f52_atr08_tp12_re3_sd6_oos,f68b_0872ddc6192f,atr_sltp_risk_envelope_axis,oos,signal_count_parity,signal_count,4784,4784,0,signal_count_exact,runtime_summary_vs_onnx_signal_parity,atr_sltp_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68H_atr_sltp_risk_envelope_runtime_repair_probe_v1,f68h_f52_atr08_tp12_re3_sd6_oos,f68b_0872ddc6192f,atr_sltp_risk_envelope_axis,oos,feature_readiness,feature_ready_count,7584,7584,0,feature_ready_exact,runtime_summary_feature_ready_count,atr_sltp_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68H_atr_sltp_risk_envelope_runtime_repair_probe_v1,f68h_f52_atr08_tp12_re3_sd6_oos,f68b_0872ddc6192f,atr_sltp_risk_envelope_axis,oos,trade_density,trades_per_day,3.9896907216494846,24.405128205128204,20.41543748347872,runtime_density_outside_target_band,proxy_kpi_vs_strategy_tester_trade_count,atr_sltp_runtime_repair_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
