queue_id,attempt_name,artifact_slug,stress_axis,scenario_id,severity,source_rows_used,diagnostic_status,scenario_result,view_path,selection_eligible,claim_boundary
run334F_c56_bal_rf_cost_plus_1,c56_bal_rf,c56_bal,cost_stress,cost_plus_1,red,1,cost_breaks_pf_or_net,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_cost_plus_2,c56_bal_rf,c56_bal,cost_stress,cost_plus_2,red,1,cost_breaks_pf_or_net,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_rolling_worst_curve,c56_bal_rf,c56_bal,curve_pocket,rolling_worst_curve,red,20,deep_curve_pocket,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/curve_pocket_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_worst_regime_slice,c56_bal_rf,c56_bal,regime_slice,worst_regime_slice,red,38,loss_regime_slice,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/regime_slice_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_directional_side,c56_bal_rf,c56_bal,direction,directional_side,red,75,weak_direction_negative,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/direction_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_underwater_stretch,c56_bal_rf,c56_bal,drawdown_shape,underwater_stretch,red,39,long_underwater_stretch,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/underwater_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_runtime_identity,c56_bal_rf,c56_bal,runtime_parity,runtime_identity,red,4,identity_sources_available,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/runtime_identity_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_cost_plus_1,c56_plain_rf,c56_plain,cost_stress,cost_plus_1,amber,1,cost_survives_diagnostic,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_cost_plus_2,c56_plain_rf,c56_plain,cost_stress,cost_plus_2,amber,1,cost_breaks_pf_or_net,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_rolling_worst_curve,c56_plain_rf,c56_plain,curve_pocket,rolling_worst_curve,amber,20,curve_pocket_warning,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/curve_pocket_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_worst_regime_slice,c56_plain_rf,c56_plain,regime_slice,worst_regime_slice,amber,21,loss_regime_slice,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/regime_slice_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_directional_side,c56_plain_rf,c56_plain,direction,directional_side,amber,77,weak_direction_negative,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/direction_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_underwater_stretch,c56_plain_rf,c56_plain,drawdown_shape,underwater_stretch,amber,23,underwater_warning,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/underwater_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_runtime_identity,c56_plain_rf,c56_plain,runtime_parity,runtime_identity,amber,4,identity_sources_available,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/runtime_identity_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_cost_plus_1,m48_bal_rf,m48_bal,cost_stress,cost_plus_1,red,1,cost_breaks_pf_or_net,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_cost_plus_2,m48_bal_rf,m48_bal,cost_stress,cost_plus_2,red,1,cost_breaks_pf_or_net,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/cost_stress_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_rolling_worst_curve,m48_bal_rf,m48_bal,curve_pocket,rolling_worst_curve,red,20,deep_curve_pocket,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/curve_pocket_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_worst_regime_slice,m48_bal_rf,m48_bal,regime_slice,worst_regime_slice,red,121,loss_regime_slice,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/regime_slice_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_directional_side,m48_bal_rf,m48_bal,direction,directional_side,red,277,weak_direction_negative,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/direction_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_m48_bal_rf_underwater_stretch,m48_bal_rf,m48_bal,drawdown_shape,underwater_stretch,red,194,long_underwater_stretch,materialized,stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334F/diagnostic_views/underwater_diagnostic_views.csv,false,research_development_only_no_retune_nonidentity_stress_probe_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
