record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,198.2,1.12,312,0.64,190.53,22.86,1.04,555,555,0,59283,11651,11651
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,198.2,1.12,312,0.64,190.53,22.86,1.04,555,555,0,59283,11651,11651
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,173.26,1.11,309,0.56,183.89,22.86,0.94,549,549,0,59283,11651,11651
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,173.26,1.11,309,0.56,183.89,22.86,0.94,549,549,0,59283,11651,11651
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,142.76,1.09,311,0.46,197.16,25.89,0.72,552,552,0,59283,11651,11651
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,142.76,1.09,311,0.46,197.16,25.89,0.72,552,552,0,59283,11651,11651
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,190.46,1.11,332,0.57,220.72,26.42,0.86,589,589,0,59283,11651,11651
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,190.46,1.11,332,0.57,220.72,26.42,0.86,589,589,0,59283,11651,11651
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,189.67,1.12,313,0.61,188.81,22.88,1.0,557,557,0,59283,11651,11651
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,189.67,1.12,313,0.61,188.81,22.88,1.0,557,557,0,59283,11651,11651
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,269.2,1.16,314,0.86,245.25,28.73,1.1,557,557,0,59283,11651,11651
mt5_rt_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,269.2,1.16,314,0.86,245.25,28.73,1.1,557,557,0,59283,11651,11651
mt5_ta_s264_aia_atrcomp_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,261.08,1.16,315,0.83,244.59,28.89,1.07,559,559,0,59283,11651,11651
