candidate_alias,candidate_role,axis,role_scope,axis_decision,attempt_name,tier,split,attempt_role,record_view_prefix,set_path,set_sha256,ini_path,ini_sha256,common_telemetry_path,common_summary_path,fallback_enabled,execution_status
s264_aih,challenger_core,late21,adapter_prototype,carry_forward_adapter_prototype_axis,s264_aih_late21_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih_late21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_aih_late21_ta_2024.set,d58d31fe7a01c4435941ab596b620545acc69d2fdee4f235236ed7e1b918852b,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_aih_late21_ta_2024.ini,03def889b60349a686895203c13aa4cdd910442146b4c6e02714558689029980,OPV2/s267d/run267D_adapter_p2/late21/s264_aih/telemetry/s264_aih_late21_ta_2024_telemetry.csv,OPV2/s267d/run267D_adapter_p2/late21/s264_aih/telemetry/s264_aih_late21_ta_2024_summary.csv,false,not_executed
s264_aih,challenger_core,late21,adapter_prototype,carry_forward_adapter_prototype_axis,s264_aih_late21_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aih_late21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_aih_late21_rt_2024.set,c4ca8ad4c1aca2b64ecdf77607df1fddbba842ed3cf0c9875370459d239a3c79,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_aih_late21_rt_2024.ini,a4ac6928b4c6dc830bc1398a52d7796afd0c92b60894cf49a475d0188b0087d2,OPV2/s267d/run267D_adapter_p2/late21/s264_aih/telemetry/s264_aih_late21_rt_2024_telemetry.csv,OPV2/s267d/run267D_adapter_p2/late21/s264_aih/telemetry/s264_aih_late21_rt_2024_summary.csv,false,not_executed
s264_lc,defensive_control,late21,adapter_prototype,carry_forward_adapter_prototype_axis,s264_lc_late21_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_lc_late21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_lc_late21_ta_2024.set,e84f95630a8d79919193b89a16208a40f35b9711563f76b13cf3b1db1481b253,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_lc_late21_ta_2024.ini,d62ef1e0294f74c430520559f5be9232df12be9db603e218d24e6460a8b4e725,OPV2/s267d/run267D_adapter_p2/late21/s264_lc/telemetry/s264_lc_late21_ta_2024_telemetry.csv,OPV2/s267d/run267D_adapter_p2/late21/s264_lc/telemetry/s264_lc_late21_ta_2024_summary.csv,false,not_executed
s264_lc,defensive_control,late21,adapter_prototype,carry_forward_adapter_prototype_axis,s264_lc_late21_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_lc_late21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_lc_late21_rt_2024.set,91c3c5651e055ca1ac8fad7479ea98bcfb26900605489532e5587358290feaff,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_lc_late21_rt_2024.ini,f8788bd158d33f3bb1d6b697871b171666fa905cfa044392907ddfa9c4fb9869,OPV2/s267d/run267D_adapter_p2/late21/s264_lc/telemetry/s264_lc_late21_rt_2024_telemetry.csv,OPV2/s267d/run267D_adapter_p2/late21/s264_lc/telemetry/s264_lc_late21_rt_2024_summary.csv,false,not_executed
s262_lih,validation_heavy,late21,adapter_prototype,carry_forward_adapter_prototype_axis,s262_lih_late21_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s262_lih_late21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s262_lih_late21_ta_2024.set,a7612008e687b82a35324186f30c991f93be2e0fdc4448a9393f8544186defbc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s262_lih_late21_ta_2024.ini,09f19766656f7ab892c1fa9cd52db96cd10e678f76a28f796c8ce233358edf68,OPV2/s267d/run267D_adapter_p2/late21/s262_lih/telemetry/s262_lih_late21_ta_2024_telemetry.csv,OPV2/s267d/run267D_adapter_p2/late21/s262_lih/telemetry/s262_lih_late21_ta_2024_summary.csv,false,not_executed
s262_lih,validation_heavy,late21,adapter_prototype,carry_forward_adapter_prototype_axis,s262_lih_late21_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s262_lih_late21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s262_lih_late21_rt_2024.set,058f720055b41f38f7ea33d7949d9bc52e3708a2662c817980c361f910d56507,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s262_lih_late21_rt_2024.ini,47ebb48a42d6625cff36d7c8d0c8eee93601b37256bc95e4c1ebe6497af5820f,OPV2/s267d/run267D_adapter_p2/late21/s262_lih/telemetry/s262_lih_late21_rt_2024_telemetry.csv,OPV2/s267d/run267D_adapter_p2/late21/s262_lih/telemetry/s262_lih_late21_rt_2024_summary.csv,false,not_executed
s258_stc,stress_challenger,late21,adapter_prototype,carry_forward_adapter_prototype_axis,s258_stc_late21_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s258_stc_late21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s258_stc_late21_ta_2024.set,13c48a916f7a67e03e3709a82d905bd0b1dee92ca5923b9d752566ce6630b3ce,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s258_stc_late21_ta_2024.ini,3531459e6d76b55e34dfc3becf13424c5c63160d0c61bec77595a5a08cb88bcb,OPV2/s267d/run267D_adapter_p2/late21/s258_stc/telemetry/s258_stc_late21_ta_2024_telemetry.csv,OPV2/s267d/run267D_adapter_p2/late21/s258_stc/telemetry/s258_stc_late21_ta_2024_summary.csv,false,not_executed
s258_stc,stress_challenger,late21,adapter_prototype,carry_forward_adapter_prototype_axis,s258_stc_late21_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s258_stc_late21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s258_stc_late21_rt_2024.set,182a0f081ebdb8b955f07a071dbb7f85f8e7cda5012aed805c8b6f59c164faa3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s258_stc_late21_rt_2024.ini,be0e577567c6d0f62f2291e2163d80bbe20443c918362a7be254a7cd424fdced,OPV2/s267d/run267D_adapter_p2/late21/s258_stc/telemetry/s258_stc_late21_rt_2024_telemetry.csv,OPV2/s267d/run267D_adapter_p2/late21/s258_stc/telemetry/s258_stc_late21_rt_2024_summary.csv,false,not_executed
s264_aia,oos_anchor,late21,adapter_prototype,carry_forward_adapter_prototype_axis,s264_aia_late21_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aia_late21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_aia_late21_ta_2024.set,35c66ce94eec8c64c1f5a74ffdecd527badb94a87b69d339c45bb92bfff6f4c2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_aia_late21_ta_2024.ini,52c3bd444b96038823615e01ef735745af7931823936cd8d4da6ab925c6a2dc5,OPV2/s267d/run267D_adapter_p2/late21/s264_aia/telemetry/s264_aia_late21_ta_2024_telemetry.csv,OPV2/s267d/run267D_adapter_p2/late21/s264_aia/telemetry/s264_aia_late21_ta_2024_summary.csv,false,not_executed
s264_aia,oos_anchor,late21,adapter_prototype,carry_forward_adapter_prototype_axis,s264_aia_late21_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aia_late21,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_aia_late21_rt_2024.set,b71f01f1de6281b70162241e09b2d38efac43690a037d7f5c0bba90d94c1fcf9,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267D/adapter_p2_materialization/mt5/s264_aia_late21_rt_2024.ini,563dc6b4f988f325b9c1c084c9c622a6177559ef1e888ed844eff4729dbe541c,OPV2/s267d/run267D_adapter_p2/late21/s264_aia/telemetry/s264_aia_late21_rt_2024_telemetry.csv,OPV2/s267d/run267D_adapter_p2/late21/s264_aia/telemetry/s264_aia_late21_rt_2024_summary.csv,false,not_executed
