candidate_alias,axis,role_scope,shared_contract,feature_count,feature_order,feature_order_hash,model_backend,short_threshold,long_threshold,min_margin,max_hold_bars,close_on_flat_signal,reverse_on_opposite_signal,close_only_on_opposite_signal,tier_a_p1_net,routed_p1_net,known_differences,runtime_claim_boundary
s264_aih,late21,adapter_prototype,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,ebm_table,0.54,0.52,0,3,false,true,false,198.2,198.2,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s264_lc,late21,adapter_prototype,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,ebm_table,0.54,0.52,0,3,false,true,false,173.26,173.26,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s262_lih,late21,adapter_prototype,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,ebm_table,0.54,0.52,0,3,false,true,false,142.76,142.76,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s258_stc,late21,adapter_prototype,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,ebm_table,0.54,0.52,0,3,false,true,false,190.46,190.46,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s264_aia,late21,adapter_prototype,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,ebm_table,0.54,0.52,0,3,false,true,false,189.67,189.67,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s264_aih,atrcomp,p2_replacement,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,ebm_table,0.54,0.52,0,3,false,true,false,269.2,269.2,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s264_aia,atrcomp,p2_replacement,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,ebm_table,0.54,0.52,0,3,false,true,false,261.08,261.08,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s258_stc,atrcomp,p2_replacement,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,ebm_table,0.54,0.52,0,3,false,true,false,260.91,260.91,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s264_lc,atrcomp,p2_replacement,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,ebm_table,0.54,0.52,0,3,false,true,false,240.12,240.12,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s258_stc,vlowadx,p2_replacement,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,ebm_table,0.54,0.52,0,3,false,true,false,203.28,203.28,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s262_lih,atrcomp,p2_replacement,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,ebm_table,0.54,0.52,0,3,false,true,false,201.92,201.92,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s264_aih,vlowadx,p2_replacement,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,ebm_table,0.54,0.52,0,3,false,true,false,196.82,196.82,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s264_aia,vlowadx,p2_replacement,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,ebm_table,0.54,0.52,0,3,false,true,false,196.82,196.82,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s264_lc,vlowadx,p2_replacement,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,ebm_table,0.54,0.52,0,3,false,true,false,175.16,175.16,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
s262_lih,vlowadx,p2_replacement,feature_order;thresholds;model_csv;MT5 runtime settings;2024 historical stress window,3,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,ebm_table,0.54,0.52,0,3,false,true,false,142.27,142.27,run267D copies run267C P1 selected feature/model artifacts under adapter lineage; decision logic unchanged until execution.,research_only_runtime_execution_pending
