record_view,candidate_alias,candidate_role,feature_axis,role_scope,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak
mt5_rt_s258_stc_vlowadx_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,vlowadx,p2_replacement,routed_total,chron_segment,chron_mid,119,-205.89,0.760298,-1.730168,0.445378,333.1,58.563944,113,6
mt5_rt_s258_stc_atrcomp_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,p2_replacement,routed_total,weekday,Monday,61,-195.43,0.567,-3.20377,0.47541,247.62,46.127193,55,6
mt5_rt_s264_lc_atrcomp_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,p2_replacement,routed_total,weekday,Monday,56,-180.25,0.533297,-3.21875,0.464286,200.84,39.738821,52,6
mt5_rt_s262_lih_atrcomp_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,p2_replacement,routed_total,weekday,Monday,56,-178.09,0.528788,-3.180179,0.464286,197.64,39.105659,52,6
mt5_rt_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,routed_total,weekday,Monday,57,-173.09,0.566495,-3.036667,0.473684,206.24,39.85237,52,6
mt5_rt_s264_aia_atrcomp_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,p2_replacement,routed_total,weekday,Monday,57,-172.22,0.564892,-3.021404,0.473684,204.95,39.621474,52,6
mt5_rt_s258_stc_vlowadx_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,vlowadx,p2_replacement,routed_total,month,2024-07,40,-170.21,0.479687,-4.25525,0.4,187.21,36.748194,37,6
mt5_rt_s264_lc_vlowadx_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,vlowadx,p2_replacement,routed_total,weekday,Monday,59,-151.1,0.612306,-2.561017,0.474576,170.28,33.692125,55,4
mt5_rt_s262_lih_vlowadx_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,vlowadx,p2_replacement,routed_total,weekday,Monday,59,-147.85,0.611708,-2.505932,0.474576,166.79,33.001583,55,4
mt5_rt_s264_aih_vlowadx_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,vlowadx,p2_replacement,routed_total,weekday,Monday,60,-143.33,0.642274,-2.388833,0.483333,174.9,33.796448,55,4
mt5_rt_s264_aia_vlowadx_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,vlowadx,p2_replacement,routed_total,weekday,Monday,60,-143.33,0.642274,-2.388833,0.483333,174.9,33.796448,55,4
mt5_rt_s264_aih_vlowadx_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,vlowadx,p2_replacement,routed_total,chron_segment,chron_mid,112,-142.09,0.792059,-1.268661,0.482143,236.28,44.365166,110,5
mt5_rt_s264_aia_vlowadx_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,vlowadx,p2_replacement,routed_total,chron_segment,chron_mid,112,-142.09,0.792059,-1.268661,0.482143,236.28,44.365166,110,5
mt5_rt_s262_lih_vlowadx_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,vlowadx,p2_replacement,routed_total,chron_segment,chron_mid,111,-136.99,0.78883,-1.234144,0.477477,241.88,43.990979,110,6
mt5_rt_s258_stc_vlowadx_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,vlowadx,p2_replacement,routed_total,weekday,Monday,65,-132.6,0.718722,-2.04,0.492308,230.19,39.459339,58,4
mt5_rt_s258_stc_atrcomp_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,p2_replacement,routed_total,chron_segment,chron_mid,112,-131.31,0.828611,-1.172411,0.482143,259.39,46.036845,104,6
mt5_rt_s262_lih_atrcomp_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,p2_replacement,routed_total,chron_segment,chron_mid,105,-130.02,0.791641,-1.238286,0.495238,232.28,43.574832,103,6
mt5_rt_s264_aia_atrcomp_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,p2_replacement,routed_total,chron_segment,chron_mid,105,-126.69,0.806843,-1.206571,0.495238,225.22,43.300713,100,5
mt5_rt_s264_lc_atrcomp_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,p2_replacement,routed_total,chron_segment,chron_mid,104,-125.69,0.799143,-1.208558,0.490385,218.27,41.709503,101,5
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,weekday,Monday,61,-122.19,0.699764,-2.003115,0.491803,170.92,31.975754,55,5
