record_view,candidate_alias,candidate_role,feature_axis,role_scope,net_profit,profit_factor,trade_count,expectancy,report_equity_drawdown_percent,closed_balance_max_drawdown_percent,curve_read,weakest_month,weakest_month_net,weakest_hour_utc,weakest_hour_net,weakest_chron_segment,weakest_chron_net,review_read
mt5_rt_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,269.2,1.16028,314,0.857325,28.73,26.947178,constructive_but_dd_review_required(건설적이나 손실폭 검토 필요),2024-07,-82.56,12,-64.25,chron_mid,-111.34,"p2_constructive_dd_watch(2차 대체 건설적, 손실폭 감시)"
mt5_rt_s264_aia_atrcomp_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,p2_replacement,261.08,1.156383,315,0.828825,28.89,27.071013,constructive_but_dd_review_required(건설적이나 손실폭 검토 필요),2024-07,-84.18,12,-64.25,chron_mid,-126.69,"p2_constructive_dd_watch(2차 대체 건설적, 손실폭 감시)"
mt5_rt_s258_stc_atrcomp_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,p2_replacement,260.91,1.138808,334,0.781168,29.99,29.138723,weak_constructive_watch(약한 건설적 관찰),2024-07,-102.49,12,-67.74,chron_mid,-131.31,"mixed_review_needed(혼합 결과, 추가 검토 필요)"
mt5_rt_s264_lc_atrcomp_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,p2_replacement,240.12,1.147474,311,0.77209,28.78,26.933281,weak_constructive_watch(약한 건설적 관찰),2024-07,-80.24,12,-62.97,chron_mid,-125.69,"p2_constructive_dd_watch(2차 대체 건설적, 손실폭 감시)"
mt5_rt_s262_lih_atrcomp_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,p2_replacement,201.92,1.124029,313,0.645112,30.48,28.662035,weak_constructive_watch(약한 건설적 관찰),2024-07,-96.78,12,-62.37,chron_mid,-130.02,"mixed_review_needed(혼합 결과, 추가 검토 필요)"
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,198.2,1.122222,312,0.635256,22.86,23.561644,weak_constructive_watch(약한 건설적 관찰),2024-12,-88.07,16,-26.1,chron_mid,-29.56,"adapter_prototype_watch_not_selection(어댑터 원형 관찰, 선택 아님)"
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,190.46,1.105067,332,0.573675,26.42,25.853442,weak_constructive_watch(약한 건설적 관찰),2024-07,-101.06,16,-79.64,chron_mid,-40.34,"adapter_prototype_watch_not_selection(어댑터 원형 관찰, 선택 아님)"
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,189.67,1.117835,313,0.605974,22.88,23.547412,weak_constructive_watch(약한 건설적 관찰),2024-12,-87.91,16,-31.87,chron_mid,-22.64,"adapter_prototype_watch_not_selection(어댑터 원형 관찰, 선택 아님)"
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,173.26,1.110259,309,0.560712,22.86,23.388272,weak_constructive_watch(약한 건설적 관찰),2024-12,-84.54,16,-35.49,chron_mid,-74.05,"adapter_prototype_watch_not_selection(어댑터 원형 관찰, 선택 아님)"
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,142.76,1.090721,311,0.459035,25.89,25.2991,fragile_or_low_edge(취약하거나 우위 약함),2024-07,-95.91,16,-66.83,chron_mid,-88.16,"mixed_review_needed(혼합 결과, 추가 검토 필요)"
mt5_rt_s258_stc_vlowadx_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,vlowadx,p2_replacement,203.28,1.095019,357,0.569412,39.62,39.02558,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)",2024-07,-170.21,22,-95.97,chron_mid,-205.89,"p2_fragile_dd_reject_or_redesign(2차 대체 취약, 손실폭 때문에 탈락 또는 재설계)"
mt5_rt_s264_aih_vlowadx_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,vlowadx,p2_replacement,196.82,1.108254,334,0.589281,34.07,32.916049,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)",2024-07,-105.58,12,-64.08,chron_mid,-142.09,"p2_fragile_dd_reject_or_redesign(2차 대체 취약, 손실폭 때문에 탈락 또는 재설계)"
mt5_rt_s264_aia_vlowadx_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,vlowadx,p2_replacement,196.82,1.108254,334,0.589281,34.07,32.916049,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)",2024-07,-105.58,12,-64.08,chron_mid,-142.09,"p2_fragile_dd_reject_or_redesign(2차 대체 취약, 손실폭 때문에 탈락 또는 재설계)"
mt5_rt_s264_lc_vlowadx_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,vlowadx,p2_replacement,175.16,1.099137,331,0.529184,34.39,33.343416,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)",2024-07,-100.37,12,-61.94,chron_mid,-116.41,"p2_fragile_dd_reject_or_redesign(2차 대체 취약, 손실폭 때문에 탈락 또는 재설계)"
mt5_rt_s262_lih_vlowadx_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,vlowadx,p2_replacement,142.27,1.080619,333,0.427237,36.43,35.440235,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)",2024-07,-116.16,12,-61.35,chron_mid,-136.99,"p2_fragile_dd_reject_or_redesign(2차 대체 취약, 손실폭 때문에 탈락 또는 재설계)"
