record_view,candidate_alias,candidate_role,feature_axis,role_scope,route_role,trade_count,net_profit,profit_factor,expectancy,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak,report_equity_drawdown_percent,report_balance_drawdown_percent,curve_read
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,312,198.2,1.122222,0.635256,185.76,23.561644,119,6,22.86,23.56,weak_constructive_watch(약한 건설적 관찰)
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,312,198.2,1.122222,0.635256,185.76,23.561644,119,6,22.86,23.56,weak_constructive_watch(약한 건설적 관찰)
mt5_ta_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,tier_only_total,309,173.26,1.110259,0.560712,179.19,23.388272,118,6,22.86,22.37,weak_constructive_watch(약한 건설적 관찰)
mt5_rt_s264_lc_late21_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,late21,adapter_prototype,routed_total,309,173.26,1.110259,0.560712,179.19,23.388272,118,6,22.86,22.37,weak_constructive_watch(약한 건설적 관찰)
mt5_ta_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,tier_only_total,311,142.76,1.090721,0.459035,192.64,25.2991,163,6,25.89,25.3,fragile_or_low_edge(취약하거나 우위 약함)
mt5_rt_s262_lih_late21_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,late21,adapter_prototype,routed_total,311,142.76,1.090721,0.459035,192.64,25.2991,163,6,25.89,25.3,fragile_or_low_edge(취약하거나 우위 약함)
mt5_ta_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,tier_only_total,332,190.46,1.105067,0.573675,215.99,25.853442,170,6,26.42,25.85,weak_constructive_watch(약한 건설적 관찰)
mt5_rt_s258_stc_late21_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,late21,adapter_prototype,routed_total,332,190.46,1.105067,0.573675,215.99,25.853442,170,6,26.42,25.85,weak_constructive_watch(약한 건설적 관찰)
mt5_ta_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,tier_only_total,313,189.67,1.117835,0.605974,184.11,23.547412,119,6,22.88,22.39,weak_constructive_watch(약한 건설적 관찰)
mt5_rt_s264_aia_late21_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,late21,adapter_prototype,routed_total,313,189.67,1.117835,0.605974,184.11,23.547412,119,6,22.88,22.39,weak_constructive_watch(약한 건설적 관찰)
mt5_ta_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,tier_only_total,314,269.2,1.16028,0.857325,226.2,26.947178,205,6,28.73,26.95,constructive_but_dd_review_required(건설적이나 손실폭 검토 필요)
mt5_rt_s264_aih_atrcomp_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,atrcomp,p2_replacement,routed_total,314,269.2,1.16028,0.857325,226.2,26.947178,205,6,28.73,26.95,constructive_but_dd_review_required(건설적이나 손실폭 검토 필요)
mt5_ta_s264_aia_atrcomp_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,p2_replacement,tier_only_total,315,261.08,1.156383,0.828825,225.22,27.071013,205,6,28.89,27.07,constructive_but_dd_review_required(건설적이나 손실폭 검토 필요)
mt5_rt_s264_aia_atrcomp_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,atrcomp,p2_replacement,routed_total,315,261.08,1.156383,0.828825,225.22,27.071013,205,6,28.89,27.07,constructive_but_dd_review_required(건설적이나 손실폭 검토 필요)
mt5_ta_s258_stc_atrcomp_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,p2_replacement,tier_only_total,334,260.91,1.138808,0.781168,259.39,29.138723,214,6,29.99,29.14,weak_constructive_watch(약한 건설적 관찰)
mt5_rt_s258_stc_atrcomp_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,p2_replacement,routed_total,334,260.91,1.138808,0.781168,259.39,29.138723,214,6,29.99,29.14,weak_constructive_watch(약한 건설적 관찰)
mt5_ta_s264_lc_atrcomp_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,p2_replacement,tier_only_total,311,240.12,1.147474,0.77209,218.27,26.933281,204,6,28.78,26.93,weak_constructive_watch(약한 건설적 관찰)
mt5_rt_s264_lc_atrcomp_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,atrcomp,p2_replacement,routed_total,311,240.12,1.147474,0.77209,218.27,26.933281,204,6,28.78,26.93,weak_constructive_watch(약한 건설적 관찰)
mt5_ta_s258_stc_vlowadx_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,vlowadx,p2_replacement,tier_only_total,357,203.28,1.095019,0.569412,368.14,39.02558,278,6,39.62,39.03,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)"
mt5_rt_s258_stc_vlowadx_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,vlowadx,p2_replacement,routed_total,357,203.28,1.095019,0.569412,368.14,39.02558,278,6,39.62,39.03,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)"
mt5_ta_s262_lih_atrcomp_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,p2_replacement,tier_only_total,313,201.92,1.124029,0.645112,232.28,28.662035,206,6,30.48,28.66,weak_constructive_watch(약한 건설적 관찰)
mt5_rt_s262_lih_atrcomp_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,atrcomp,p2_replacement,routed_total,313,201.92,1.124029,0.645112,232.28,28.662035,206,6,30.48,28.66,weak_constructive_watch(약한 건설적 관찰)
mt5_ta_s264_aih_vlowadx_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,vlowadx,p2_replacement,tier_only_total,334,196.82,1.108254,0.589281,277.4,32.916049,259,6,34.07,32.92,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)"
mt5_rt_s264_aih_vlowadx_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,vlowadx,p2_replacement,routed_total,334,196.82,1.108254,0.589281,277.4,32.916049,259,6,34.07,32.92,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)"
mt5_ta_s264_aia_vlowadx_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,vlowadx,p2_replacement,tier_only_total,334,196.82,1.108254,0.589281,277.4,32.916049,259,6,34.07,32.92,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)"
mt5_rt_s264_aia_vlowadx_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,vlowadx,p2_replacement,routed_total,334,196.82,1.108254,0.589281,277.4,32.916049,259,6,34.07,32.92,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)"
mt5_ta_s264_lc_vlowadx_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,vlowadx,p2_replacement,tier_only_total,331,175.16,1.099137,0.529184,275.58,33.343416,257,6,34.39,33.34,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)"
mt5_rt_s264_lc_vlowadx_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,vlowadx,p2_replacement,routed_total,331,175.16,1.099137,0.529184,275.58,33.343416,257,6,34.39,33.34,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)"
mt5_ta_s262_lih_vlowadx_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,vlowadx,p2_replacement,tier_only_total,333,142.27,1.080619,0.427237,292.91,35.440235,259,6,36.43,35.44,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)"
mt5_rt_s262_lih_vlowadx_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,vlowadx,p2_replacement,routed_total,333,142.27,1.080619,0.427237,292.91,35.440235,259,6,36.43,35.44,"dd_watch_not_adapter_ready(손실폭 감시, 어댑터 준비 아님)"
