record_view,candidate_alias,candidate_role,feature_axis,role_scope,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-01,22,56.25,2.062323,2.556818,0.590909,18.04,3.313192,8,3
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-02,24,169.52,2.899597,7.063333,0.625,45.65,6.480141,6,4
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-03,20,-24.56,0.785839,-1.228,0.45,45.51,8.911473,15,3
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-04,25,-24.28,0.82219,-0.9712,0.48,70.77,13.427569,21,4
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-05,17,87.25,2.451264,5.132353,0.705882,42.0,7.335604,5,2
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-06,14,-42.5,0.680235,-3.035714,0.428571,80.19,15.297013,7,4
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-07,32,-85.17,0.589997,-2.661563,0.4375,127.45,25.06835,29,5
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-08,40,64.54,1.334647,1.6135,0.55,61.14,10.526316,15,2
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-09,35,15.06,1.113404,0.430286,0.571429,60.35,11.988955,32,4
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-10,32,11.43,1.072447,0.357187,0.4375,67.98,11.732625,26,4
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-11,25,58.73,1.401353,2.3492,0.56,56.89,11.179892,13,3
mt5_ta_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,tier_only_total,month,2024-12,26,-88.07,0.554527,-3.387308,0.423077,141.74,28.348,26,6
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-01,22,56.25,2.062323,2.556818,0.590909,18.04,3.313192,8,3
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-02,24,169.52,2.899597,7.063333,0.625,45.65,6.480141,6,4
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-03,20,-24.56,0.785839,-1.228,0.45,45.51,8.911473,15,3
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-04,25,-24.28,0.82219,-0.9712,0.48,70.77,13.427569,21,4
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-05,17,87.25,2.451264,5.132353,0.705882,42.0,7.335604,5,2
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-06,14,-42.5,0.680235,-3.035714,0.428571,80.19,15.297013,7,4
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-07,32,-85.17,0.589997,-2.661563,0.4375,127.45,25.06835,29,5
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-08,40,64.54,1.334647,1.6135,0.55,61.14,10.526316,15,2
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-09,35,15.06,1.113404,0.430286,0.571429,60.35,11.988955,32,4
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-10,32,11.43,1.072447,0.357187,0.4375,67.98,11.732625,26,4
mt5_rt_s264_aih_late21_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,late21,adapter_prototype,routed_total,month,2024-11,25,58.73,1.401353,2.3492,0.56,56.89,11.179892,13,3
