run_id,source_run_id,model_id,label_id,horizon_m5,policy_id,threshold_id,validation_net,oos_net,validation_profit_factor,oos_profit_factor,validation_trade_density,oos_trade_density,density_gap_to_3_per_day,validation_trade_count,oos_trade_count,validation_expectancy,oos_expectancy,oos_max_drawdown,selection_score,review_class,why,claim_boundary
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_3_0,-467.906,-124.267,0.4909544672,0.6664447743,0.5081967213,0.4122137405,2.5877862595,93,54,-5.0312473118,-2.3012407407,-159.805,-288.7574312975,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_5_0,-380.933,-34.59,0.657187108,0.9438911238,0.8469945355,0.8015267176,2.1984732824,155,105,-2.4576322581,-0.3294285714,-185.0,-171.208916412,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_8_0,-353.622,20.663,0.7429338467,1.0228253101,1.2295081967,1.2900763359,1.7704918033,225,169,-1.5716533333,0.1222662722,-145.392,-96.9752125375,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_12_0,-755.392,-156.755,0.6094581006,0.8841145525,1.7267759563,1.9389312977,1.2732240437,316,254,-2.3904810127,-0.6171456693,-245.948,-422.5832375265,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_3_0,-2.561,152.981,0.9950309185,1.5691659753,0.4754098361,0.6259541985,2.5245901639,87,82,-0.0294367816,1.8656219512,-68.01,218.0735380285,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_5_0,-127.847,137.061,0.8452610774,1.2782167948,0.8196721311,1.0534351145,2.1803278689,150,138,-0.8523133333,0.9931956522,-73.905,125.0553409485,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_8_0,-184.469,98.096,0.8431105895,1.13732281,1.2513661202,1.534351145,1.7486338798,229,201,-0.8055414847,0.488039801,-115.745,48.422742925,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_12_0,-76.385,-42.949,0.9458017558,0.9605785135,1.7486338798,2.0916030534,1.2513661202,320,274,-0.238703125,-0.1567481752,-143.563,-70.710774733,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_3_0,-254.022,120.861,0.6271154594,1.2345472011,0.6557377049,0.7404580153,2.3442622951,120,97,-2.11685,1.2459896907,-76.95,57.6452542085,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,native_fwd12_contract_label_class,12,short_only_margin,short_only_margin__validation_density_5_0,-113.865,56.142,0.8539939605,1.0795318357,0.9398907104,1.0763358779,2.0601092896,172,141,-0.662005814,0.3981702128,-128.485,20.9359496735,no_cross_split_edge,cross split edge not preserved(교차 분할 엣지 보존 실패),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
