run_id,source_run_id,label_id,horizon_m5,policy_id,row_count,density_pass_rows,profit_positive_rows,profit_pf_pass_rows,best_score_model_id,best_score_threshold_id,best_score_validation_net,best_score_oos_net,best_score_validation_density,best_score_oos_density,best_density_model_id,best_density_threshold_id,best_density_validation_net,best_density_oos_net,best_density_validation_density,best_density_oos_density,attribution,claim_boundary
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h24_move8pts,24,two_sided_argmax_margin,12,0,2,2,all58__dense_h24_move8pts__rf_depth5_leaf80_n48,two_sided_argmax_margin__validation_density_5_0,152.887,439.321,0.6830601093,0.8473282443,all58__dense_h24_move8pts__lr_balanced_c0_40,two_sided_argmax_margin__validation_density_12_0,-372.453,15.293,1.2349726776,1.572519084,long hold horizon(긴 보유 기간)이 non-overlap proxy(비중첩 프록시)에서 trade density(거래 밀도)를 압축한다.,research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h12_move5pts,12,long_only_margin,20,0,4,2,runtime_core__dense_h12_move5pts__rf_depth4_leaf120_n48,long_only_margin__validation_density_3_0,68.003,199.049,0.5027322404,0.7328244275,all58__dense_h12_move5pts__rf_depth5_leaf80_n48,long_only_margin__validation_density_12_0,201.038,45.878,2.2896174863,2.6106870229,long-only policy(롱 전용 정책)는 salvage clue(회수 단서)이지만 density/PF(밀도/수익 팩터) 동시 조건이 약하다.,research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h24_move8pts,24,long_only_margin,12,0,3,2,all58__dense_h24_move8pts__rf_depth5_leaf80_n48,long_only_margin__validation_density_5_0,55.991,146.168,0.7431693989,0.8473282443,all58__dense_h24_move8pts__rf_depth4_leaf120_n48,long_only_margin__validation_density_12_0,31.799,-164.853,1.3661202186,1.5801526718,long hold horizon(긴 보유 기간)이 non-overlap proxy(비중첩 프록시)에서 trade density(거래 밀도)를 압축한다.,research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h6_move3pts,6,long_only_margin,20,4,3,2,all58__dense_h6_move3pts__rf_depth5_leaf80_n48,long_only_margin__validation_density_3_0,60.145,89.391,1.1092896175,1.1450381679,runtime_core__dense_h6_move3pts__rf_depth4_leaf120_n48,long_only_margin__validation_density_12_0,-106.46,-150.819,3.6830601093,4.2824427481,long-only policy(롱 전용 정책)는 salvage clue(회수 단서)이지만 density/PF(밀도/수익 팩터) 동시 조건이 약하다.,research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h24_move8pts,24,short_only_margin,12,0,2,1,all58__dense_h24_move8pts__rf_depth4_leaf120_n48,short_only_margin__validation_density_3_0,-24.596,190.137,0.4316939891,0.4427480916,all58__dense_h24_move8pts__lr_balanced_c0_40,short_only_margin__validation_density_12_0,-408.035,118.124,1.3825136612,1.641221374,long hold horizon(긴 보유 기간)이 non-overlap proxy(비중첩 프록시)에서 trade density(거래 밀도)를 압축한다.,research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,native_fwd12_contract_label_class,12,long_only_margin,12,0,3,1,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,long_only_margin__validation_density_3_0,-2.561,152.981,0.4754098361,0.6259541985,all58__native_fwd12_contract_label_class__rf_depth5_leaf80_n48,long_only_margin__validation_density_12_0,30.022,-123.785,1.9617486339,2.3053435115,long-only policy(롱 전용 정책)는 salvage clue(회수 단서)이지만 density/PF(밀도/수익 팩터) 동시 조건이 약하다.,research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h12_move5pts,12,two_sided_argmax_margin,20,0,0,0,all58__dense_h12_move5pts__rf_depth5_leaf80_n48,two_sided_argmax_margin__validation_density_3_0,-212.678,309.252,0.956284153,0.9389312977,all58__dense_h12_move5pts__lr_balanced_c0_40,two_sided_argmax_margin__validation_density_12_0,-483.609,67.559,1.7759562842,2.5648854962,"mixed attribution(혼합 귀속): threshold(임계값), hold horizon(보유 기간), side policy(방향 정책)를 함께 재설계해야 한다.",research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h6_move3pts,6,two_sided_argmax_margin,20,3,0,0,all58__dense_h6_move3pts__rf_depth5_leaf80_n48,two_sided_argmax_margin__validation_density_5_0,-224.373,270.63,1.781420765,1.6717557252,runtime_core__dense_h6_move3pts__lr_balanced_c0_40,two_sided_argmax_margin__validation_density_12_0,-462.752,125.749,2.7103825137,4.2061068702,short horizon(짧은 보유 기간)은 density(밀도)를 회복하지만 validation edge(검증 엣지)를 비용 위로 유지하지 못한다.,research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,native_fwd12_contract_label_class,12,two_sided_argmax_margin,12,0,2,0,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,two_sided_argmax_margin__validation_density_3_0,-38.571,261.51,0.6229508197,0.4809160305,all58__native_fwd12_contract_label_class__lr_balanced_c0_40,two_sided_argmax_margin__validation_density_12_0,-755.392,-156.755,1.7267759563,1.9389312977,"mixed attribution(혼합 귀속): threshold(임계값), hold horizon(보유 기간), side policy(방향 정책)를 함께 재설계해야 한다.",research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,dense_h12_move5pts,12,short_only_margin,20,0,0,0,all58__dense_h12_move5pts__rf_depth5_leaf80_n48,short_only_margin__validation_density_3_0,-201.398,256.305,0.7322404372,0.7328244275,all58__dense_h12_move5pts__rf_depth5_leaf80_n48,short_only_margin__validation_density_12_0,-173.981,-19.881,2.131147541,2.2900763359,"mixed attribution(혼합 귀속): threshold(임계값), hold horizon(보유 기간), side policy(방향 정책)를 함께 재설계해야 한다.",research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
