adapter_id,validation_pf,validation_net,validation_dd_percent,validation_mid_pf,oos_pf,oos_net,oos_dd_percent,oos_trades,oos_mid_pf,oos_mid_net,strict_pass,failure_label
s152_margin_restore_hold2_cd5_sht54_lng52_risk035,1.56,666.35,12.63,1.242373601,1.57,454.26,12.62,184.0,1.529997993,158.48,False,dd_compressed_profit_collapsed
s152_margin_restore_margin_trim_h3_cd5_sht54_lng52_risk035,1.43,1075.52,13.59,1.282078817,1.76,1261.13,13.79,198.0,1.611944327,317.44,False,oos_mid_lifted_validation_failed
s152_margin_restore_session_narrow_h3_cd5_sht54_lng52_risk035,1.56,1326.09,11.84,1.317371171,1.69,988.2,18.94,188.0,1.487790313,228.72,False,validation_preserved_oos_dd_failed
s152_margin_restore_threshold_guard_h3_cd5_sht55_lng53_risk035,1.59,1416.97,11.82,1.378649267,1.73,1045.62,18.94,187.0,1.578473376,264.64,False,validation_preserved_oos_dd_failed
