run_id,queue_id,variant_id,guardrail_block_count,guardrail_pass_count,previous_dd_block_count,hour16_short_block_count,trade_count,claim_boundary(주장 경계)
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,baseline_replay_control,baseline_replay_control__ps0_45__adx40_0__hold8__none,0,4653,0,0,1081,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control,maxhold6_density_control__ps0_45__adx40_0__hold6__none,0,4497,0,0,1264,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,adx42_pf_control,adx42_pf_control__ps0_45__adx42_0__hold8__none,0,4824,0,0,1112,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,adx38_density_counterfactual,adx38_density_counterfactual__ps0_45__adx38_0__hold8__none,0,4499,0,0,1057,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,short050_quality_probe,short050_quality_probe__ps0_5__adx40_0__hold8__short_only_threshold,0,4402,0,0,960,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,short055_quality_probe,short055_quality_probe__ps0_55__adx40_0__hold8__short_only_threshold,0,4389,0,0,951,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,hour16_soft_guardrail,hour16_soft_guardrail__ps0_45__adx40_0__hold8__soft_guard_entry_hour_16,58,4596,0,58,1057,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,hour16_maxhold6_guardrail,hour16_maxhold6_guardrail__ps0_45__adx40_0__hold6__soft_guard_entry_hour_16,59,4441,0,59,1236,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,prevdd_2pct_soft_stop,prevdd_2pct_soft_stop__ps0_45__adx40_0__hold8__soft_stop_prev_closed_dd_ge_2pct,5052,16,5052,0,5,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,prevdd_5pct_soft_stop,prevdd_5pct_soft_stop__ps0_45__adx40_0__hold8__soft_stop_prev_closed_dd_ge_5pct,4892,164,4892,0,40,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,short050_hour16_soft_guardrail,short050_hour16_soft_guardrail__ps0_5__adx40_0__hold8__short_threshold_plus_hour16_soft_guard,2,4399,0,2,957,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,adx42_maxhold6_short050,adx42_maxhold6_short050__ps0_5__adx42_0__hold6__none,0,4421,0,0,1173,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_1,stress_zone_1__ps0_45__adx40_0__hold8__entry_hour16,567,4125,0,0,982,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_2,stress_zone_2__ps0_45__adx40_0__hold8__entry_hour16_sideshort,58,4596,0,58,1057,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_3,stress_zone_3__ps0_45__adx40_0__hold8__entry_month2025_03,435,4260,0,0,994,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_4,stress_zone_4__ps0_45__adx40_0__hold8__entry_month2025_03_sidelong,392,4295,0,0,1013,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
